Epoch,Loss,TestAcc,TestAuc
1,0.7074,0.7118,0.5103
2,0.5958,0.7118,0.4981
3,0.5822,0.7118,0.4896
4,0.5771,0.7118,0.5046
5,0.5827,0.7118,0.5549
6,0.5879,0.7118,0.5329
7,0.5801,0.7118,0.5550
8,0.5862,0.7118,0.5180
9,0.5866,0.7118,0.4582
10,0.5815,0.7118,0.4974
11,0.5749,0.7118,0.5100
12,0.5779,0.7118,0.4913
13,0.5769,0.7118,0.5016
14,0.5768,0.7118,0.5026
15,0.5746,0.7118,0.4927
16,0.5769,0.7118,0.4346
17,0.5776,0.7118,0.5506
18,0.5772,0.7118,0.5474
19,0.5775,0.7118,0.5386
20,0.5740,0.7118,0.5111
21,0.5778,0.7118,0.5095
22,0.5741,0.7118,0.5269
23,0.5756,0.7118,0.5766
24,0.5752,0.7118,0.5304
25,0.5740,0.7118,0.5002
26,0.5750,0.7118,0.4772
27,0.5759,0.7118,0.5568
28,0.5743,0.7118,0.5954
29,0.5739,0.7118,0.5134
30,0.5756,0.7118,0.5118
31,0.5760,0.7118,0.3706
32,0.5739,0.7118,0.4712
33,0.5749,0.7118,0.4693
34,0.5755,0.7118,0.4742
35,0.5754,0.7118,0.5065
36,0.5746,0.7118,0.4909
37,0.5748,0.7118,0.4930
38,0.5740,0.7118,0.4841
39,0.5748,0.7118,0.4848
40,0.5747,0.7118,0.5140
41,0.5748,0.7118,0.4886
42,0.5752,0.7118,0.4865
43,0.5742,0.7118,0.4971
44,0.5765,0.7118,0.4782
45,0.5729,0.7118,0.5104
46,0.5778,0.7118,0.5034
47,0.5748,0.7118,0.5208
48,0.5746,0.7118,0.5042
49,0.5739,0.7118,0.4983
50,0.5743,0.7118,0.4991
51,0.5740,0.7118,0.4924
52,0.5741,0.7118,0.5048
53,0.5737,0.7118,0.5175
54,0.5746,0.7118,0.5180
55,0.5742,0.7118,0.5163
56,0.5740,0.7118,0.5170
57,0.5736,0.7118,0.5181
58,0.5747,0.7118,0.5168
59,0.5737,0.7118,0.5180
60,0.5733,0.7118,0.5188
61,0.5754,0.7118,0.5247
62,0.5736,0.7118,0.4881
63,0.5733,0.7118,0.4859
64,0.5758,0.7118,0.5141
65,0.5742,0.7118,0.5154
66,0.5744,0.7118,0.4957
67,0.5740,0.7118,0.4577
68,0.5739,0.7118,0.5154
69,0.5737,0.7118,0.5180
70,0.5725,0.7118,0.5279
71,0.5783,0.7118,0.5112
72,0.5754,0.7118,0.4780
73,0.5742,0.7118,0.4782
74,0.5742,0.7118,0.4789
75,0.5740,0.7118,0.4787
76,0.5739,0.7118,0.4801
77,0.5740,0.7118,0.4789
78,0.5741,0.7118,0.4798
79,0.5740,0.7118,0.4790
80,0.5740,0.7118,0.4748
81,0.5744,0.7118,0.4865
82,0.5740,0.7118,0.4776
83,0.5739,0.7118,0.5257
84,0.5739,0.7118,0.5227
85,0.5737,0.7118,0.5251
86,0.5751,0.7118,0.5311
87,0.5751,0.7118,0.4793
88,0.5745,0.7118,0.5918
89,0.5743,0.7118,0.5390
90,0.5744,0.7118,0.4798
91,0.5743,0.7118,0.4799
92,0.5742,0.7118,0.4831
93,0.5743,0.7118,0.4820
94,0.5743,0.7118,0.4824
95,0.5742,0.7118,0.4829
96,0.5745,0.7118,0.4829
97,0.5741,0.7118,0.5218
98,0.5739,0.7118,0.5212
99,0.5739,0.7118,0.5210
100,0.5736,0.7118,0.5214
