Epoch,Loss,TestAcc,TestAuc
1,0.6154,0.6979,0.4997
2,0.5909,0.6979,0.5275
3,0.5884,0.6979,0.5006
4,0.5935,0.6979,0.5250
5,0.5926,0.6979,0.5200
6,0.5955,0.6979,0.5238
7,0.5899,0.6979,0.5164
8,0.5861,0.6979,0.5211
9,0.5919,0.6979,0.4535
10,0.5886,0.6979,0.4556
11,0.5920,0.6979,0.4564
12,0.5870,0.6979,0.4594
13,0.5888,0.6979,0.5497
14,0.5872,0.6979,0.5382
15,0.5925,0.6979,0.6624
16,0.5876,0.6979,0.4735
17,0.5879,0.6979,0.5047
18,0.5927,0.6979,0.5321
19,0.5881,0.6979,0.4661
20,0.5897,0.6979,0.5059
21,0.5881,0.6979,0.4743
22,0.5891,0.6979,0.4777
23,0.5887,0.6979,0.5047
24,0.5873,0.6979,0.5002
25,0.5876,0.6979,0.5369
26,0.5866,0.6979,0.5393
27,0.5871,0.6979,0.5791
28,0.5879,0.6979,0.5329
29,0.6005,0.6979,0.4623
30,0.5890,0.6979,0.4731
31,0.5910,0.6979,0.4708
32,0.5913,0.6979,0.4713
33,0.5873,0.6979,0.4744
34,0.5886,0.6979,0.4742
35,0.5868,0.6979,0.4720
36,0.5885,0.6979,0.4733
37,0.5872,0.6979,0.4738
38,0.5882,0.6979,0.4743
39,0.5870,0.6979,0.4763
40,0.5872,0.6979,0.4744
41,0.5867,0.6979,0.4742
42,0.5881,0.6979,0.4766
43,0.5876,0.6979,0.4755
44,0.5879,0.6979,0.4767
45,0.5872,0.6979,0.4754
46,0.5868,0.6979,0.4797
47,0.5879,0.6979,0.4845
48,0.5875,0.6979,0.4866
49,0.5873,0.6979,0.5343
50,0.5874,0.6979,0.5227
51,0.5872,0.6979,0.5216
52,0.5875,0.6979,0.4953
53,0.5871,0.6979,0.4859
54,0.5871,0.6979,0.4897
55,0.5869,0.6979,0.4853
56,0.5875,0.6979,0.4577
57,0.5871,0.6979,0.5016
58,0.5873,0.6979,0.4746
59,0.5873,0.6979,0.4838
60,0.5870,0.6979,0.4842
61,0.5871,0.6979,0.4856
62,0.5871,0.6979,0.4861
63,0.5872,0.6979,0.4836
64,0.5871,0.6979,0.4859
65,0.5871,0.6979,0.4888
66,0.5871,0.6979,0.5293
67,0.5876,0.6979,0.5081
68,0.5871,0.6979,0.5507
69,0.5870,0.6979,0.5026
70,0.5875,0.6979,0.4900
71,0.5869,0.6979,0.4891
72,0.5876,0.6979,0.4866
73,0.5877,0.6979,0.4877
74,0.5870,0.6979,0.4870
75,0.5870,0.6979,0.4878
76,0.5871,0.6979,0.4861
77,0.5868,0.6979,0.4864
78,0.5870,0.6979,0.4876
79,0.5871,0.6979,0.4869
80,0.5874,0.6979,0.4873
81,0.5878,0.6979,0.4869
82,0.5871,0.6979,0.5165
83,0.5873,0.6979,0.5439
84,0.5875,0.6979,0.5677
85,0.5872,0.6979,0.5487
86,0.5869,0.6979,0.4919
87,0.5871,0.6979,0.4860
88,0.5871,0.6979,0.5294
89,0.5871,0.6979,0.4881
90,0.5869,0.6979,0.4868
91,0.5872,0.6979,0.4932
92,0.5872,0.6979,0.4850
93,0.5872,0.6979,0.4856
94,0.5871,0.6979,0.4858
95,0.5871,0.6979,0.4856
96,0.5870,0.6979,0.4856
97,0.5874,0.6979,0.4850
98,0.5877,0.6979,0.4843
99,0.5874,0.6979,0.4843
100,0.5872,0.6979,0.4852
