Epoch,Loss,TestAcc,TestAuc
1,0.6486,0.6840,0.4865
2,0.6132,0.6840,0.4841
3,0.6157,0.6840,0.4905
4,0.6086,0.6840,0.4881
5,0.6161,0.6840,0.4949
6,0.6078,0.6840,0.5979
7,0.6010,0.6840,0.5276
8,0.6092,0.6840,0.5063
9,0.6104,0.6840,0.5031
10,0.6038,0.6840,0.5026
11,0.6057,0.6840,0.4927
12,0.6052,0.6840,0.4918
13,0.6055,0.6840,0.4878
14,0.6203,0.6840,0.4712
15,0.6060,0.6840,0.4200
16,0.6043,0.6840,0.4269
17,0.6052,0.6840,0.4241
18,0.6033,0.6840,0.4249
19,0.6036,0.6840,0.4275
20,0.6065,0.6840,0.3981
21,0.6054,0.6840,0.5013
22,0.6035,0.6840,0.4812
23,0.6030,0.6840,0.4340
24,0.6026,0.6840,0.4733
25,0.6069,0.6840,0.4412
26,0.6042,0.6840,0.5014
27,0.6040,0.6840,0.4981
28,0.6048,0.6840,0.4976
29,0.6091,0.6840,0.4859
30,0.6083,0.6840,0.4676
31,0.6042,0.6840,0.4075
32,0.6041,0.6840,0.3674
33,0.6042,0.6840,0.4167
34,0.6037,0.6840,0.3240
35,0.6020,0.6840,0.3124
36,0.6050,0.6840,0.4626
37,0.6031,0.6840,0.4753
38,0.6032,0.6840,0.4885
39,0.6032,0.6840,0.5062
40,0.6045,0.6840,0.5050
41,0.6023,0.6840,0.4940
42,0.6032,0.6840,0.6504
43,0.6038,0.6840,0.4744
44,0.6040,0.6840,0.4608
45,0.6036,0.6840,0.4842
46,0.6028,0.6840,0.4903
47,0.6025,0.6840,0.4964
48,0.6032,0.6840,0.4974
49,0.6026,0.6840,0.4954
50,0.6015,0.6840,0.4248
51,0.6027,0.6840,0.4775
52,0.6032,0.6840,0.4952
53,0.6012,0.6840,0.5022
54,0.6037,0.6840,0.5048
55,0.6033,0.6840,0.5163
56,0.6015,0.6840,0.5042
57,0.6030,0.6840,0.5090
58,0.6029,0.6840,0.5065
59,0.6028,0.6840,0.5038
60,0.6034,0.6840,0.5290
61,0.6031,0.6840,0.6045
62,0.6028,0.6840,0.4883
63,0.6031,0.6840,0.5000
64,0.6029,0.6840,0.4593
65,0.6026,0.6840,0.4302
66,0.6030,0.6840,0.4944
67,0.6026,0.6840,0.5011
68,0.6029,0.6840,0.5221
69,0.6027,0.6840,0.5667
70,0.6029,0.6840,0.5103
71,0.6024,0.6840,0.5173
72,0.6030,0.6840,0.5059
73,0.6028,0.6840,0.5130
74,0.6027,0.6840,0.4975
75,0.6026,0.6840,0.5833
76,0.6023,0.6840,0.5139
77,0.6073,0.6840,0.5045
78,0.6048,0.6840,0.5082
79,0.6029,0.6840,0.5008
80,0.6031,0.6840,0.5619
81,0.6023,0.6840,0.5293
82,0.6025,0.6840,0.5175
83,0.6024,0.6840,0.5206
84,0.6022,0.6840,0.5161
85,0.6034,0.6840,0.5159
86,0.6023,0.6840,0.5144
87,0.6028,0.6840,0.5162
88,0.6021,0.6840,0.5138
89,0.6035,0.6840,0.5256
90,0.6028,0.6840,0.5117
91,0.6025,0.6840,0.4877
92,0.6036,0.6840,0.4884
93,0.6027,0.6840,0.4861
94,0.6025,0.6840,0.3728
95,0.6024,0.6840,0.4884
96,0.6029,0.6840,0.5089
97,0.6025,0.6840,0.5140
98,0.6026,0.6840,0.5099
99,0.6025,0.6840,0.5085
100,0.6026,0.6840,0.5056
