Epoch,Loss,TestAcc,TestAuc
1,0.6557,0.7049,0.4616
2,0.5938,0.7049,0.4649
3,0.5864,0.7049,0.4677
4,0.5818,0.7049,0.4692
5,0.5896,0.7049,0.4556
6,0.5797,0.7049,0.4622
7,0.5827,0.7049,0.4912
8,0.5802,0.7049,0.6042
9,0.5781,0.7049,0.4842
10,0.5828,0.7049,0.5316
11,0.5843,0.7049,0.5276
12,0.5773,0.7049,0.5319
13,0.5778,0.7049,0.5408
14,0.5871,0.7049,0.3980
15,0.5779,0.7049,0.4612
16,0.5782,0.7049,0.4572
17,0.5769,0.7049,0.5059
18,0.5766,0.7049,0.5218
19,0.5760,0.7049,0.5224
20,0.5768,0.7049,0.5205
21,0.5773,0.7049,0.4728
22,0.5782,0.7049,0.4649
23,0.5776,0.7049,0.5322
24,0.5738,0.7049,0.5356
25,0.5776,0.7049,0.5366
26,0.5759,0.7049,0.4585
27,0.5781,0.7049,0.4606
28,0.5762,0.7049,0.4511
29,0.5764,0.7049,0.4618
30,0.5753,0.7049,0.4599
31,0.5755,0.7049,0.4148
32,0.5763,0.7049,0.5025
33,0.5813,0.7049,0.5340
34,0.5774,0.7049,0.5255
35,0.5768,0.7049,0.4955
36,0.5772,0.7049,0.4604
37,0.5785,0.7049,0.4973
38,0.5768,0.7049,0.4639
39,0.5766,0.7049,0.5254
40,0.5759,0.7049,0.5191
41,0.5758,0.7049,0.5030
42,0.5762,0.7049,0.4487
43,0.5757,0.7049,0.4722
44,0.5757,0.7049,0.4589
45,0.5770,0.7049,0.4466
46,0.5764,0.7049,0.5323
47,0.5754,0.7049,0.5374
48,0.5750,0.7049,0.5209
49,0.5758,0.7049,0.5245
50,0.5760,0.7049,0.5246
51,0.5776,0.7049,0.5213
52,0.5760,0.7049,0.4777
53,0.5761,0.7049,0.4867
54,0.5762,0.7049,0.4661
55,0.5761,0.7049,0.4481
56,0.5765,0.7049,0.5273
57,0.5758,0.7049,0.5322
58,0.5754,0.7049,0.5366
59,0.5763,0.7049,0.5362
60,0.5760,0.7049,0.5345
61,0.5760,0.7049,0.5319
62,0.5765,0.7049,0.5382
63,0.5755,0.7049,0.5343
64,0.5761,0.7049,0.5382
65,0.5754,0.7049,0.5446
66,0.5829,0.7049,0.5478
67,0.5763,0.7049,0.5203
68,0.5761,0.7049,0.5407
69,0.5768,0.7049,0.5401
70,0.5762,0.7049,0.6168
71,0.5761,0.7049,0.4719
72,0.5758,0.7049,0.5750
73,0.5758,0.7049,0.5496
74,0.5763,0.7049,0.5461
75,0.5753,0.7049,0.5450
76,0.5748,0.7049,0.5395
77,0.5768,0.7049,0.5411
78,0.5763,0.7049,0.5401
79,0.5758,0.7049,0.5386
80,0.5756,0.7049,0.5443
81,0.5763,0.7049,0.5458
82,0.5759,0.7049,0.5404
83,0.5755,0.7049,0.5424
84,0.5754,0.7049,0.5377
85,0.5768,0.7049,0.5422
86,0.5759,0.7049,0.5415
87,0.5761,0.7049,0.5418
88,0.5759,0.7049,0.4714
89,0.5766,0.7049,0.4824
90,0.5758,0.7049,0.4804
91,0.5756,0.7049,0.4595
92,0.5761,0.7049,0.4613
93,0.5758,0.7049,0.5484
94,0.5755,0.7049,0.5455
95,0.5751,0.7049,0.5429
96,0.5777,0.7049,0.5399
97,0.5761,0.7049,0.4885
98,0.5760,0.7049,0.5379
99,0.5758,0.7049,0.5379
100,0.5760,0.7049,0.5386
