Epoch,Loss,TestAcc,TestAuc
1,0.4514,0.8472,0.4058
2,0.4110,0.8472,0.3961
3,0.3967,0.8472,0.4101
4,0.4090,0.8472,0.4049
5,0.3988,0.8472,0.3920
6,0.3940,0.8472,0.3933
7,0.3872,0.8472,0.4458
8,0.3948,0.8472,0.6929
9,0.4003,0.8472,0.4220
10,0.3889,0.8472,0.4067
11,0.3869,0.8472,0.4342
12,0.3865,0.8472,0.5483
13,0.3873,0.8472,0.4264
14,0.3897,0.8472,0.3532
15,0.3821,0.8472,0.4637
16,0.3890,0.8472,0.5534
17,0.3866,0.8472,0.5661
18,0.3889,0.8472,0.4273
19,0.3863,0.8472,0.4308
20,0.3865,0.8472,0.5732
21,0.3878,0.8472,0.5874
22,0.3903,0.8472,0.5727
23,0.3882,0.8472,0.4588
24,0.3841,0.8472,0.5977
25,0.3888,0.8472,0.5921
26,0.3820,0.8472,0.5308
27,0.3849,0.8472,0.5656
28,0.3875,0.8472,0.4500
29,0.3888,0.8472,0.4748
30,0.3872,0.8472,0.4425
31,0.3865,0.8472,0.5496
32,0.3845,0.8472,0.5317
33,0.3859,0.8472,0.5621
34,0.3852,0.8472,0.5759
35,0.3844,0.8472,0.5816
36,0.3876,0.8472,0.5970
37,0.3877,0.8472,0.6073
38,0.3846,0.8472,0.4590
39,0.3888,0.8472,0.4364
40,0.3855,0.8472,0.5794
41,0.3904,0.8472,0.5784
42,0.3867,0.8472,0.5863
43,0.3871,0.8472,0.5882
44,0.3932,0.8472,0.6651
45,0.3834,0.8472,0.6026
46,0.3851,0.8472,0.5912
47,0.3851,0.8472,0.6072
48,0.3853,0.8472,0.6010
49,0.3844,0.8472,0.5847
50,0.3888,0.8472,0.5804
51,0.3860,0.8472,0.5749
52,0.3821,0.8472,0.5699
53,0.3845,0.8472,0.6338
54,0.3849,0.8472,0.6094
55,0.3834,0.8472,0.6082
56,0.3834,0.8472,0.5911
57,0.3841,0.8472,0.6491
58,0.3882,0.8472,0.5389
59,0.3835,0.8472,0.5911
60,0.3823,0.8472,0.5836
61,0.3845,0.8472,0.4409
62,0.3856,0.8472,0.4684
63,0.3835,0.8472,0.4311
64,0.3838,0.8472,0.4368
65,0.3850,0.8472,0.4338
66,0.3849,0.8472,0.4657
67,0.3852,0.8472,0.4207
68,0.3848,0.8472,0.4337
69,0.3838,0.8472,0.6068
70,0.3836,0.8472,0.6006
71,0.3831,0.8472,0.5790
72,0.3874,0.8472,0.6001
73,0.3851,0.8472,0.5932
74,0.3836,0.8472,0.5965
75,0.3823,0.8472,0.6007
76,0.3843,0.8472,0.6740
77,0.3834,0.8472,0.6081
78,0.3858,0.8472,0.5111
79,0.3816,0.8472,0.6081
80,0.3859,0.8472,0.6103
81,0.3843,0.8472,0.5601
82,0.3846,0.8472,0.6595
83,0.3837,0.8472,0.6532
84,0.3844,0.8472,0.5318
85,0.3846,0.8472,0.5607
86,0.3844,0.8472,0.6529
87,0.3841,0.8472,0.6075
88,0.3845,0.8472,0.5987
89,0.3842,0.8472,0.5991
90,0.3819,0.8472,0.6575
91,0.3838,0.8472,0.6099
92,0.3844,0.8472,0.6018
93,0.3844,0.8472,0.6052
94,0.3841,0.8472,0.6025
95,0.3855,0.8472,0.6043
96,0.3842,0.8472,0.6055
97,0.3840,0.8472,0.6009
98,0.3837,0.8472,0.6067
99,0.3841,0.8472,0.6309
100,0.3848,0.8472,0.5126
