Epoch,Loss,TestAcc,TestAuc
1,0.4860,0.8333,0.4546
2,0.4221,0.8333,0.4575
3,0.4113,0.8333,0.4557
4,0.3882,0.8333,0.4597
5,0.4310,0.8333,0.4388
6,0.3839,0.8333,0.4531
7,0.3877,0.8333,0.4595
8,0.3884,0.8333,0.5024
9,0.3835,0.8333,0.5342
10,0.3817,0.8333,0.4630
11,0.3817,0.8333,0.4414
12,0.3797,0.8333,0.4568
13,0.3870,0.8333,0.4601
14,0.3838,0.8333,0.4571
15,0.3775,0.8333,0.4602
16,0.3794,0.8333,0.4558
17,0.3821,0.8333,0.4586
18,0.3796,0.8333,0.4546
19,0.3801,0.8333,0.4596
20,0.3828,0.8333,0.4605
21,0.3820,0.8333,0.3931
22,0.3770,0.8333,0.4539
23,0.3843,0.8333,0.4470
24,0.3805,0.8333,0.4584
25,0.3732,0.8333,0.3970
26,0.3853,0.8333,0.3747
27,0.3880,0.8333,0.4583
28,0.3789,0.8333,0.4644
29,0.3804,0.8333,0.4444
30,0.3781,0.8333,0.4676
31,0.3796,0.8333,0.4477
32,0.3784,0.8333,0.4467
33,0.3824,0.8333,0.4662
34,0.3781,0.8333,0.4497
35,0.3752,0.8333,0.4419
36,0.3767,0.8333,0.4689
37,0.3751,0.8333,0.4724
38,0.3769,0.8333,0.4692
39,0.3786,0.8333,0.4549
40,0.3776,0.8333,0.4337
41,0.3759,0.8333,0.4670
42,0.3789,0.8333,0.4702
43,0.3793,0.8333,0.4658
44,0.3772,0.8333,0.4675
45,0.3762,0.8333,0.4738
46,0.3746,0.8333,0.4731
47,0.3776,0.8333,0.4739
48,0.3760,0.8333,0.4732
49,0.3775,0.8333,0.4775
50,0.3791,0.8333,0.6070
51,0.3769,0.8333,0.4736
52,0.3761,0.8333,0.5331
53,0.3772,0.8333,0.6377
54,0.3813,0.8333,0.5878
55,0.3756,0.8333,0.5068
56,0.3767,0.8333,0.5474
57,0.3764,0.8333,0.5715
58,0.3764,0.8333,0.5089
59,0.3763,0.8333,0.4947
60,0.3772,0.8333,0.5447
61,0.3757,0.8333,0.6933
62,0.3767,0.8333,0.5493
63,0.3764,0.8333,0.5430
64,0.3773,0.8333,0.5726
65,0.3755,0.8333,0.5717
66,0.3754,0.8333,0.5206
67,0.3764,0.8333,0.5551
68,0.3748,0.8333,0.5143
69,0.3766,0.8333,0.5496
70,0.3766,0.8333,0.4753
71,0.3781,0.8333,0.4691
72,0.3771,0.8333,0.4688
73,0.3754,0.8333,0.5350
74,0.3768,0.8333,0.5951
75,0.3764,0.8333,0.4965
76,0.3751,0.8333,0.5473
77,0.3794,0.8333,0.4725
78,0.3774,0.8333,0.5031
79,0.3760,0.8333,0.5452
80,0.3768,0.8333,0.5440
81,0.3760,0.8333,0.5450
82,0.3775,0.8333,0.5419
83,0.3757,0.8333,0.5416
84,0.3755,0.8333,0.5456
85,0.3745,0.8333,0.5515
86,0.3767,0.8333,0.5567
87,0.3724,0.8333,0.5670
88,0.3776,0.8333,0.4639
89,0.3755,0.8333,0.4855
90,0.3760,0.8333,0.5463
91,0.3759,0.8333,0.5539
92,0.3758,0.8333,0.5212
93,0.3752,0.8333,0.4769
94,0.3762,0.8333,0.4782
95,0.3761,0.8333,0.4890
96,0.3760,0.8333,0.6431
97,0.3753,0.8333,0.5556
98,0.3764,0.8333,0.4721
99,0.3754,0.8333,0.5433
100,0.3756,0.8333,0.5424
