Epoch,Loss,TestAcc,TestAuc
1,0.5859,0.8576,0.5254
2,0.4671,0.8576,0.5260
3,0.4403,0.8576,0.5237
4,0.4462,0.8576,0.5225
5,0.4339,0.8576,0.5198
6,0.4286,0.8576,0.5221
7,0.4272,0.8576,0.5130
8,0.4250,0.8576,0.5131
9,0.4204,0.8576,0.4385
10,0.4288,0.8576,0.4670
11,0.4248,0.8576,0.5225
12,0.4273,0.8576,0.3549
13,0.4208,0.8576,0.5103
14,0.4239,0.8576,0.5113
15,0.4190,0.8576,0.5041
16,0.4209,0.8576,0.4750
17,0.4213,0.8576,0.3427
18,0.4209,0.8576,0.5185
19,0.4200,0.8576,0.5193
20,0.4214,0.8576,0.5275
21,0.4176,0.8576,0.5291
22,0.4230,0.8576,0.5239
23,0.4211,0.8576,0.5205
24,0.4230,0.8576,0.3781
25,0.4219,0.8576,0.3871
26,0.4195,0.8576,0.3846
27,0.4196,0.8576,0.3890
28,0.4204,0.8576,0.3881
29,0.4234,0.8576,0.5131
30,0.4213,0.8576,0.5167
31,0.4191,0.8576,0.3799
32,0.4197,0.8576,0.4248
33,0.4194,0.8576,0.4199
34,0.4189,0.8576,0.4388
35,0.4186,0.8576,0.3830
36,0.4197,0.8576,0.4476
37,0.4177,0.8576,0.3886
38,0.4203,0.8576,0.4513
39,0.4186,0.8576,0.5172
40,0.4198,0.8576,0.4701
41,0.4220,0.8576,0.4778
42,0.4222,0.8576,0.4910
43,0.4206,0.8576,0.4470
44,0.4199,0.8576,0.4633
45,0.4195,0.8576,0.4670
46,0.4172,0.8576,0.5338
47,0.4207,0.8576,0.4793
48,0.4188,0.8576,0.4804
49,0.4184,0.8576,0.5111
50,0.4196,0.8576,0.5255
51,0.4197,0.8576,0.4580
52,0.4203,0.8576,0.5326
53,0.4182,0.8576,0.5317
54,0.4187,0.8576,0.4801
55,0.4179,0.8576,0.4806
56,0.4180,0.8576,0.4774
57,0.4182,0.8576,0.4191
58,0.4177,0.8576,0.4707
59,0.4202,0.8576,0.5252
60,0.4192,0.8576,0.4001
61,0.4182,0.8576,0.3769
62,0.4160,0.8576,0.4330
63,0.4190,0.8576,0.4596
64,0.4179,0.8576,0.4543
65,0.4182,0.8576,0.3518
66,0.4202,0.8576,0.4683
67,0.4178,0.8576,0.4587
68,0.4171,0.8576,0.4695
69,0.4173,0.8576,0.4609
70,0.4174,0.8576,0.4681
71,0.4179,0.8576,0.4326
72,0.4184,0.8576,0.4640
73,0.4186,0.8576,0.5146
74,0.4188,0.8576,0.4465
75,0.4192,0.8576,0.5170
76,0.4175,0.8576,0.3334
77,0.4184,0.8576,0.5186
78,0.4189,0.8576,0.5168
79,0.4179,0.8576,0.4584
80,0.4170,0.8576,0.5214
81,0.4182,0.8576,0.5192
82,0.4177,0.8576,0.3994
83,0.4179,0.8576,0.5200
84,0.4176,0.8576,0.3484
85,0.4178,0.8576,0.4153
86,0.4175,0.8576,0.3315
87,0.4189,0.8576,0.3516
88,0.4158,0.8576,0.4756
89,0.4200,0.8576,0.5275
90,0.4190,0.8576,0.4761
91,0.4175,0.8576,0.4667
92,0.4179,0.8576,0.4745
93,0.4173,0.8576,0.4757
94,0.4178,0.8576,0.4728
95,0.4180,0.8576,0.5088
96,0.4182,0.8576,0.4367
97,0.4178,0.8576,0.4658
98,0.4181,0.8576,0.5241
99,0.4177,0.8576,0.5213
100,0.4165,0.8576,0.5272
