Epoch,Loss,TestAcc,TestAuc
1,0.3019,0.9479,0.5930
2,0.2583,0.9479,0.5945
3,0.2591,0.9479,0.5938
4,0.2443,0.9479,0.5935
5,0.2417,0.9479,0.5757
6,0.2461,0.9479,0.5930
7,0.2474,0.9479,0.5933
8,0.2359,0.9479,0.5938
9,0.2339,0.9479,0.5916
10,0.2274,0.9479,0.5911
11,0.2317,0.9479,0.5930
12,0.2308,0.9479,0.3889
13,0.2289,0.9479,0.5845
14,0.2302,0.9479,0.5889
15,0.2312,0.9479,0.5864
16,0.2280,0.9479,0.3939
17,0.2315,0.9479,0.5525
18,0.2282,0.9479,0.5864
19,0.2293,0.9479,0.5933
20,0.2338,0.9479,0.5842
21,0.2282,0.9479,0.5918
22,0.2315,0.9479,0.5884
23,0.2264,0.9479,0.5884
24,0.2279,0.9479,0.5901
25,0.2294,0.9479,0.5911
26,0.2274,0.9479,0.3425
27,0.2287,0.9479,0.5845
28,0.2275,0.9479,0.5874
29,0.2281,0.9479,0.5818
30,0.2295,0.9479,0.5774
31,0.2255,0.9479,0.5786
32,0.2244,0.9479,0.5840
33,0.2291,0.9479,0.5894
34,0.2282,0.9479,0.5784
35,0.2275,0.9479,0.5906
36,0.2271,0.9479,0.5906
37,0.2345,0.9479,0.5786
38,0.2265,0.9479,0.5857
39,0.2297,0.9479,0.5774
40,0.2294,0.9479,0.5676
41,0.2283,0.9479,0.5813
42,0.2299,0.9479,0.4066
43,0.2295,0.9479,0.3852
44,0.2250,0.9479,0.5759
45,0.2260,0.9479,0.5791
46,0.2268,0.9479,0.5752
47,0.2278,0.9479,0.5833
48,0.2296,0.9479,0.5867
49,0.2262,0.9479,0.5896
50,0.2255,0.9479,0.5896
51,0.2261,0.9479,0.4050
52,0.2249,0.9479,0.5889
53,0.2255,0.9479,0.5891
54,0.2254,0.9479,0.5855
55,0.2247,0.9479,0.5891
56,0.2274,0.9479,0.4158
57,0.2310,0.9479,0.3977
58,0.2268,0.9479,0.5928
59,0.2251,0.9479,0.5921
60,0.2256,0.9479,0.5825
61,0.2247,0.9479,0.5930
62,0.2268,0.9479,0.5891
63,0.2259,0.9479,0.5877
64,0.2258,0.9479,0.5742
65,0.2246,0.9479,0.5669
66,0.2244,0.9479,0.3966
67,0.2280,0.9479,0.4636
68,0.2262,0.9479,0.3381
69,0.2300,0.9479,0.4424
70,0.2250,0.9479,0.3918
71,0.2274,0.9479,0.3828
72,0.2266,0.9479,0.3393
73,0.2249,0.9479,0.3884
74,0.2248,0.9479,0.5745
75,0.2242,0.9479,0.4265
76,0.2260,0.9479,0.3589
77,0.2251,0.9479,0.3879
78,0.2253,0.9479,0.3777
79,0.2267,0.9479,0.5857
80,0.2252,0.9479,0.5857
81,0.2245,0.9479,0.5718
82,0.2257,0.9479,0.5672
83,0.2250,0.9479,0.5816
84,0.2251,0.9479,0.5759
85,0.2262,0.9479,0.5872
86,0.2253,0.9479,0.3762
87,0.2249,0.9479,0.5799
88,0.2254,0.9479,0.3779
89,0.2248,0.9479,0.5835
90,0.2257,0.9479,0.3845
91,0.2260,0.9479,0.5784
92,0.2240,0.9479,0.5904
93,0.2264,0.9479,0.5867
94,0.2259,0.9479,0.3957
95,0.2255,0.9479,0.5855
96,0.2249,0.9479,0.5714
97,0.2257,0.9479,0.5857
98,0.2274,0.9479,0.3332
99,0.2278,0.9479,0.5852
100,0.2261,0.9479,0.5664
