Epoch,Loss,TestAcc,TestAuc
1,0.8305,0.7812,0.5049
2,0.5115,0.7812,0.5062
3,0.4956,0.7812,0.5566
4,0.4869,0.7812,0.5996
5,0.4796,0.7812,0.5817
6,0.4772,0.7812,0.4963
7,0.4744,0.7812,0.5111
8,0.4808,0.7812,0.5458
9,0.4704,0.7812,0.6066
10,0.4898,0.7812,0.5095
11,0.4726,0.7812,0.4641
12,0.4749,0.7812,0.4794
13,0.4693,0.7812,0.5093
14,0.4716,0.7812,0.4892
15,0.4701,0.7812,0.4168
16,0.4717,0.7812,0.4765
17,0.4688,0.7812,0.4715
18,0.4690,0.7812,0.4876
19,0.4825,0.7812,0.4997
20,0.4655,0.7812,0.5005
21,0.4675,0.7812,0.5084
22,0.4659,0.7812,0.5116
23,0.4712,0.7812,0.4960
24,0.4678,0.7812,0.4004
25,0.4725,0.7812,0.4977
26,0.4691,0.7812,0.4914
27,0.4674,0.7812,0.4954
28,0.4707,0.7812,0.3920
29,0.4809,0.7812,0.4594
30,0.4715,0.7812,0.4364
31,0.4670,0.7812,0.4328
32,0.4671,0.7812,0.4365
33,0.4658,0.7812,0.4465
34,0.4664,0.7812,0.4257
35,0.4718,0.7812,0.5006
36,0.4679,0.7812,0.4960
37,0.4698,0.7812,0.4759
38,0.4680,0.7812,0.4905
39,0.4684,0.7812,0.4763
40,0.4666,0.7812,0.5031
41,0.4657,0.7812,0.5013
42,0.4669,0.7812,0.5040
43,0.4650,0.7812,0.4958
44,0.4657,0.7812,0.4806
45,0.4664,0.7812,0.5160
46,0.4645,0.7812,0.4965
47,0.4643,0.7812,0.5207
48,0.4661,0.7812,0.4960
49,0.4674,0.7812,0.5170
50,0.4653,0.7812,0.4887
51,0.4672,0.7812,0.4606
52,0.4669,0.7812,0.4877
53,0.4656,0.7812,0.5006
54,0.4666,0.7812,0.4982
55,0.4657,0.7812,0.5042
56,0.4648,0.7812,0.5030
57,0.4636,0.7812,0.5955
58,0.4656,0.7812,0.5214
59,0.4655,0.7812,0.5178
60,0.4645,0.7812,0.5032
61,0.4643,0.7812,0.5144
62,0.4648,0.7812,0.5092
63,0.4646,0.7812,0.5023
64,0.4664,0.7812,0.5066
65,0.4662,0.7812,0.5013
66,0.4650,0.7812,0.4981
67,0.4656,0.7812,0.5062
68,0.4658,0.7812,0.4982
69,0.4644,0.7812,0.4995
70,0.4638,0.7812,0.4972
71,0.4649,0.7812,0.4977
72,0.4657,0.7812,0.4989
73,0.4653,0.7812,0.4996
74,0.4647,0.7812,0.5054
75,0.4651,0.7812,0.5047
76,0.4653,0.7812,0.5035
77,0.4645,0.7812,0.5047
78,0.4657,0.7812,0.6063
79,0.4662,0.7812,0.5020
80,0.4647,0.7812,0.5004
81,0.4635,0.7812,0.5025
82,0.4664,0.7812,0.5011
83,0.4647,0.7812,0.4982
84,0.4651,0.7812,0.4995
85,0.4649,0.7812,0.5022
86,0.4649,0.7812,0.5076
87,0.4648,0.7812,0.5035
88,0.4638,0.7812,0.5058
89,0.4659,0.7812,0.5155
90,0.4659,0.7812,0.5040
91,0.4654,0.7812,0.5142
92,0.4648,0.7812,0.6468
93,0.4651,0.7812,0.5197
94,0.4654,0.7812,0.5519
95,0.4657,0.7812,0.5148
96,0.4646,0.7812,0.5174
97,0.4645,0.7812,0.5123
98,0.4661,0.7812,0.5169
99,0.4653,0.7812,0.5075
100,0.4653,0.7812,0.4923
