Epoch,Loss,TestAcc,TestAuc
1,0.1800,0.9722,0.5658
2,0.1661,0.9722,0.5592
3,0.1367,0.9722,0.5471
4,0.1355,0.9722,0.5404
5,0.1333,0.9722,0.5440
6,0.1228,0.9722,0.5243
7,0.1226,0.9722,0.5364
8,0.1222,0.9722,0.5480
9,0.1185,0.9722,0.5359
10,0.1190,0.9722,0.5422
11,0.1136,0.9722,0.5328
12,0.1216,0.9722,0.6290
13,0.1181,0.9722,0.5301
14,0.1165,0.9722,0.5199
15,0.1123,0.9722,0.5199
16,0.1114,0.9722,0.5136
17,0.1150,0.9722,0.5176
18,0.1130,0.9722,0.5092
19,0.1143,0.9722,0.5203
20,0.1162,0.9722,0.5194
21,0.1158,0.9722,0.5167
22,0.1164,0.9722,0.5029
23,0.1142,0.9722,0.5154
24,0.1129,0.9722,0.5194
25,0.1138,0.9722,0.5221
26,0.1133,0.9722,0.5163
27,0.1113,0.9722,0.5275
28,0.1150,0.9722,0.5248
29,0.1144,0.9722,0.5243
30,0.1145,0.9722,0.5199
31,0.1138,0.9722,0.5279
32,0.1115,0.9722,0.5301
33,0.1139,0.9722,0.5301
34,0.1147,0.9722,0.5368
35,0.1126,0.9722,0.5364
36,0.1138,0.9722,0.5377
37,0.1094,0.9722,0.5382
38,0.1105,0.9722,0.5408
39,0.1132,0.9722,0.5373
40,0.1114,0.9722,0.5373
41,0.1132,0.9722,0.5404
42,0.1155,0.9722,0.5408
43,0.1127,0.9722,0.5609
44,0.1139,0.9722,0.5408
45,0.1141,0.9722,0.5083
46,0.1129,0.9722,0.4886
47,0.1128,0.9722,0.5458
48,0.1128,0.9722,0.5989
49,0.1142,0.9722,0.5342
50,0.1124,0.9722,0.5306
51,0.1143,0.9722,0.4199
52,0.1133,0.9722,0.5346
53,0.1121,0.9722,0.5301
54,0.1119,0.9722,0.5391
55,0.1132,0.9722,0.5368
56,0.1116,0.9722,0.5199
57,0.1125,0.9722,0.5310
58,0.1127,0.9722,0.4551
59,0.1126,0.9722,0.5310
60,0.1141,0.9722,0.5431
61,0.1123,0.9722,0.4042
62,0.1106,0.9722,0.4217
63,0.1135,0.9722,0.4230
64,0.1126,0.9722,0.4400
65,0.1126,0.9722,0.5471
66,0.1141,0.9722,0.5489
67,0.1123,0.9722,0.3967
68,0.1115,0.9722,0.5431
69,0.1148,0.9722,0.5386
70,0.1137,0.9722,0.5458
71,0.1115,0.9722,0.4020
72,0.1105,0.9722,0.5467
73,0.1133,0.9722,0.5471
74,0.1133,0.9722,0.5449
75,0.1123,0.9722,0.5346
76,0.1136,0.9722,0.5413
77,0.1122,0.9722,0.5261
78,0.1128,0.9722,0.5194
79,0.1140,0.9722,0.5337
80,0.1125,0.9722,0.5462
81,0.1130,0.9722,0.4379
82,0.1115,0.9722,0.5489
83,0.1119,0.9722,0.5480
84,0.1120,0.9722,0.5529
85,0.1121,0.9722,0.5511
86,0.1110,0.9722,0.4422
87,0.1144,0.9722,0.4346
88,0.1121,0.9722,0.5556
89,0.1126,0.9722,0.5547
90,0.1119,0.9722,0.5623
91,0.1140,0.9722,0.6520
92,0.1118,0.9722,0.5654
93,0.1131,0.9722,0.5645
94,0.1121,0.9722,0.4632
95,0.1133,0.9722,0.5511
96,0.1132,0.9722,0.4337
97,0.1122,0.9722,0.5511
98,0.1147,0.9722,0.5498
99,0.1138,0.9722,0.4359
100,0.1140,0.9722,0.5547
