Epoch,Loss,TestAcc,TestAuc
1,0.6782,0.7882,0.4823
2,0.5230,0.7882,0.4848
3,0.5329,0.7882,0.4868
4,0.4994,0.7882,0.4889
5,0.5125,0.7882,0.5095
6,0.5128,0.7882,0.5485
7,0.5044,0.7882,0.5844
8,0.5071,0.7882,0.6211
9,0.4924,0.7882,0.5430
10,0.4978,0.7882,0.4999
11,0.5015,0.7882,0.6600
12,0.4953,0.7882,0.5445
13,0.4973,0.7882,0.5056
14,0.5023,0.7882,0.5551
15,0.4969,0.7882,0.5316
16,0.4962,0.7882,0.5333
17,0.4962,0.7882,0.6820
18,0.4966,0.7882,0.5396
19,0.4983,0.7882,0.7093
20,0.4936,0.7882,0.5486
21,0.4981,0.7882,0.6139
22,0.4965,0.7882,0.5150
23,0.4971,0.7882,0.5206
24,0.4964,0.7882,0.5235
25,0.4946,0.7882,0.5324
26,0.4939,0.7882,0.6359
27,0.4964,0.7882,0.6488
28,0.4896,0.7882,0.5045
29,0.4978,0.7882,0.5135
30,0.4936,0.7882,0.6768
31,0.4953,0.7882,0.5260
32,0.4955,0.7882,0.7150
33,0.4955,0.7882,0.5253
34,0.4943,0.7882,0.5373
35,0.4929,0.7882,0.5559
36,0.4935,0.7882,0.6231
37,0.5009,0.7882,0.5240
38,0.4972,0.7882,0.5309
39,0.4943,0.7882,0.5249
40,0.5011,0.7882,0.6900
41,0.4955,0.7882,0.5434
42,0.4939,0.7882,0.5475
43,0.4952,0.7882,0.6119
44,0.4955,0.7882,0.5089
45,0.4919,0.7882,0.5383
46,0.4951,0.7882,0.5675
47,0.4942,0.7882,0.5817
48,0.4973,0.7882,0.5932
49,0.4951,0.7882,0.6247
50,0.4955,0.7882,0.6087
51,0.4940,0.7882,0.6140
52,0.4929,0.7882,0.5272
53,0.4925,0.7882,0.5257
54,0.4900,0.7882,0.5293
55,0.4917,0.7882,0.6241
56,0.4929,0.7882,0.5269
57,0.4996,0.7882,0.5716
58,0.4959,0.7882,0.4927
59,0.4949,0.7882,0.4929
60,0.4948,0.7882,0.5027
61,0.4928,0.7882,0.6233
62,0.4919,0.7882,0.5294
63,0.4929,0.7882,0.6894
64,0.4935,0.7882,0.5320
65,0.4945,0.7882,0.5291
66,0.4929,0.7882,0.5294
67,0.4938,0.7882,0.5359
68,0.4942,0.7882,0.7171
69,0.4934,0.7882,0.6254
70,0.4923,0.7882,0.5335
71,0.4924,0.7882,0.5324
72,0.4949,0.7882,0.5287
73,0.4925,0.7882,0.5317
74,0.4936,0.7882,0.5349
75,0.4917,0.7882,0.5352
76,0.4942,0.7882,0.6080
77,0.4944,0.7882,0.5189
78,0.4947,0.7882,0.5226
79,0.4933,0.7882,0.5233
80,0.4932,0.7882,0.6418
81,0.4935,0.7882,0.6572
82,0.4926,0.7882,0.5362
83,0.4937,0.7882,0.5325
84,0.4934,0.7882,0.5387
85,0.4932,0.7882,0.5588
86,0.4933,0.7882,0.5279
87,0.4937,0.7882,0.5831
88,0.4931,0.7882,0.6370
89,0.4926,0.7882,0.6242
90,0.4925,0.7882,0.5295
91,0.4943,0.7882,0.5246
92,0.4932,0.7882,0.5227
93,0.4926,0.7882,0.5261
94,0.4924,0.7882,0.5265
95,0.4928,0.7882,0.5258
96,0.4935,0.7882,0.5282
97,0.4932,0.7882,0.5264
98,0.4919,0.7882,0.5258
99,0.4941,0.7882,0.5259
100,0.4930,0.7882,0.5311
