Epoch,Loss,TestAcc,TestAuc
1,0.2553,0.9792,0.6022
2,0.1484,0.9792,0.6028
3,0.1348,0.9792,0.6052
4,0.0991,0.9792,0.6034
5,0.1072,0.9792,0.6046
6,0.1059,0.9792,0.6052
7,0.1010,0.9792,0.6064
8,0.0885,0.9792,0.6052
9,0.0966,0.9792,0.6064
10,0.0820,0.9792,0.6099
11,0.1011,0.9792,0.6117
12,0.0869,0.9792,0.5768
13,0.0842,0.9792,0.5780
14,0.0855,0.9792,0.5916
15,0.0910,0.9792,0.5963
16,0.0865,0.9792,0.5987
17,0.0864,0.9792,0.5987
18,0.0821,0.9792,0.5975
19,0.0769,0.9792,0.5999
20,0.0832,0.9792,0.6011
21,0.0815,0.9792,0.6034
22,0.0783,0.9792,0.6040
23,0.0809,0.9792,0.6022
24,0.0804,0.9792,0.5981
25,0.0792,0.9792,0.5987
26,0.0789,0.9792,0.5981
27,0.0832,0.9792,0.6011
28,0.0818,0.9792,0.6034
29,0.0825,0.9792,0.6017
30,0.0912,0.9792,0.5969
31,0.0820,0.9792,0.5857
32,0.0823,0.9792,0.5975
33,0.0791,0.9792,0.5987
34,0.0785,0.9792,0.5969
35,0.0838,0.9792,0.5963
36,0.0961,0.9792,0.5946
37,0.0832,0.9792,0.5928
38,0.0796,0.9792,0.5922
39,0.0862,0.9792,0.5922
40,0.0783,0.9792,0.5946
41,0.0807,0.9792,0.5910
42,0.0835,0.9792,0.5904
43,0.0797,0.9792,0.5904
44,0.0769,0.9792,0.5916
45,0.0786,0.9792,0.5916
46,0.0790,0.9792,0.5875
47,0.0803,0.9792,0.5892
48,0.0795,0.9792,0.5928
49,0.0812,0.9792,0.5928
50,0.0803,0.9792,0.5904
51,0.0795,0.9792,0.5904
52,0.0751,0.9792,0.5916
53,0.0771,0.9792,0.5887
54,0.0786,0.9792,0.5928
55,0.0946,0.9792,0.5922
56,0.0802,0.9792,0.5928
57,0.0821,0.9792,0.5910
58,0.0815,0.9792,0.5916
59,0.0823,0.9792,0.5916
60,0.0807,0.9792,0.5904
61,0.0806,0.9792,0.5875
62,0.0801,0.9792,0.5916
63,0.0803,0.9792,0.5881
64,0.0796,0.9792,0.5928
65,0.0792,0.9792,0.5916
66,0.0781,0.9792,0.5922
67,0.0809,0.9792,0.5952
68,0.0774,0.9792,0.5952
69,0.0804,0.9792,0.5952
70,0.0783,0.9792,0.5952
71,0.0800,0.9792,0.5957
72,0.0777,0.9792,0.5946
73,0.0806,0.9792,0.5946
74,0.0786,0.9792,0.5969
75,0.0781,0.9792,0.5946
76,0.0794,0.9792,0.5969
77,0.0764,0.9792,0.5969
78,0.0805,0.9792,0.5981
79,0.0751,0.9792,0.5975
80,0.0791,0.9792,0.5957
81,0.0784,0.9792,0.5975
82,0.0810,0.9792,0.5963
83,0.0778,0.9792,0.5981
84,0.0799,0.9792,0.5969
85,0.0806,0.9792,0.5963
86,0.0803,0.9792,0.5963
87,0.0779,0.9792,0.5975
88,0.0774,0.9792,0.5957
89,0.0808,0.9792,0.5981
90,0.0778,0.9792,0.5975
91,0.0778,0.9792,0.5969
92,0.0773,0.9792,0.5975
93,0.0800,0.9792,0.5975
94,0.0773,0.9792,0.5969
95,0.0802,0.9792,0.5969
96,0.0790,0.9792,0.5975
97,0.0774,0.9792,0.5969
98,0.0772,0.9792,0.5969
99,0.0778,0.9792,0.5975
100,0.0774,0.9792,0.5963
