Epoch,Loss,TestAcc,TestAuc
1,0.1897,0.9861,0.3917
2,0.1476,0.9861,0.3908
3,0.1187,0.9861,0.3829
4,0.1078,0.9861,0.3856
5,0.1005,0.9861,0.3864
6,0.0938,0.9861,0.3873
7,0.0955,0.9861,0.3838
8,0.1065,0.9861,0.3882
9,0.0910,0.9861,0.3873
10,0.0943,0.9861,0.3873
11,0.0930,0.9861,0.3882
12,0.0921,0.9861,0.3873
13,0.0946,0.9861,0.3864
14,0.0902,0.9861,0.3856
15,0.0924,0.9861,0.3864
16,0.0901,0.9861,0.3864
17,0.0933,0.9861,0.3847
18,0.0900,0.9861,0.3873
19,0.0951,0.9861,0.3856
20,0.0897,0.9861,0.3856
21,0.0918,0.9861,0.6549
22,0.1057,0.9861,0.3882
23,0.0881,0.9861,0.3882
24,0.0916,0.9861,0.3891
25,0.0955,0.9861,0.3908
26,0.0892,0.9861,0.3926
27,0.0897,0.9861,0.3864
28,0.0925,0.9861,0.3847
29,0.0921,0.9861,0.3864
30,0.0896,0.9861,0.3856
31,0.0887,0.9861,0.3847
32,0.0909,0.9861,0.3838
33,0.0923,0.9861,0.3838
34,0.0923,0.9861,0.3856
35,0.0890,0.9861,0.3785
36,0.0874,0.9861,0.3829
37,0.0908,0.9861,0.3864
38,0.0933,0.9861,0.3768
39,0.0904,0.9861,0.3776
40,0.0878,0.9861,0.3812
41,0.0884,0.9861,0.3838
42,0.0910,0.9861,0.3750
43,0.0892,0.9861,0.3732
44,0.0896,0.9861,0.2711
45,0.0901,0.9861,0.2817
46,0.0884,0.9861,0.6180
47,0.0895,0.9861,0.6171
48,0.0915,0.9861,0.3697
49,0.0894,0.9861,0.3724
50,0.0892,0.9861,0.3319
51,0.0908,0.9861,0.3688
52,0.0878,0.9861,0.3724
53,0.0889,0.9861,0.3706
54,0.0900,0.9861,0.6206
55,0.0896,0.9861,0.3882
56,0.0893,0.9861,0.3873
57,0.0929,0.9861,0.3873
58,0.0889,0.9861,0.3873
59,0.0867,0.9861,0.3864
60,0.0886,0.9861,0.3856
61,0.0927,0.9861,0.3856
62,0.0895,0.9861,0.3812
63,0.0881,0.9861,0.3812
64,0.0901,0.9861,0.3812
65,0.0897,0.9861,0.5951
66,0.0895,0.9861,0.3820
67,0.0895,0.9861,0.3776
68,0.0887,0.9861,0.3794
69,0.0905,0.9861,0.3776
70,0.0885,0.9861,0.3820
71,0.0904,0.9861,0.3820
72,0.0899,0.9861,0.6136
73,0.0887,0.9861,0.3803
74,0.0889,0.9861,0.3820
75,0.0877,0.9861,0.3829
76,0.0878,0.9861,0.3812
77,0.0877,0.9861,0.3820
78,0.0911,0.9861,0.3794
79,0.0879,0.9861,0.3812
80,0.0893,0.9861,0.3838
81,0.0876,0.9861,0.3829
82,0.0895,0.9861,0.3829
83,0.0891,0.9861,0.3812
84,0.0895,0.9861,0.3653
85,0.0882,0.9861,0.3741
86,0.0886,0.9861,0.3732
87,0.0882,0.9861,0.3820
88,0.0885,0.9861,0.3820
89,0.0867,0.9861,0.3812
90,0.0886,0.9861,0.3829
91,0.0895,0.9861,0.3820
92,0.0875,0.9861,0.3794
93,0.0880,0.9861,0.3812
94,0.0882,0.9861,0.3812
95,0.0889,0.9861,0.3794
96,0.0878,0.9861,0.3812
97,0.0896,0.9861,0.3820
98,0.0900,0.9861,0.3864
99,0.0914,0.9861,0.3838
100,0.0885,0.9861,0.3847
