Epoch,Loss,TestAcc,TestAuc
1,0.6306,0.6944,0.5968
2,0.5874,0.6944,0.5191
3,0.5828,0.6944,0.5061
4,0.5786,0.6944,0.5546
5,0.5756,0.6944,0.5791
6,0.5801,0.6944,0.5058
7,0.5801,0.6944,0.6732
8,0.5773,0.6944,0.6387
9,0.5796,0.6944,0.5776
10,0.5770,0.6944,0.5036
11,0.5777,0.6944,0.5649
12,0.5780,0.6944,0.5098
13,0.5757,0.6944,0.5047
14,0.5760,0.6944,0.5019
15,0.5799,0.6944,0.5129
16,0.5770,0.6944,0.5076
17,0.5766,0.6944,0.5297
18,0.5763,0.6944,0.5138
19,0.5767,0.6944,0.4909
20,0.5770,0.6944,0.5143
21,0.5766,0.6944,0.5096
22,0.5768,0.6944,0.4982
23,0.5767,0.6944,0.5043
24,0.5763,0.6944,0.5096
25,0.5761,0.6944,0.5055
26,0.5758,0.6944,0.5107
27,0.5745,0.6944,0.5221
28,0.5768,0.6944,0.6391
29,0.5778,0.6944,0.4830
30,0.5792,0.6944,0.4995
31,0.5765,0.6944,0.6508
32,0.5762,0.6944,0.5650
33,0.5767,0.6944,0.5050
34,0.5760,0.6944,0.5075
35,0.5768,0.6944,0.4400
36,0.5771,0.6944,0.5093
37,0.5756,0.6944,0.5065
38,0.5756,0.6944,0.5057
39,0.5760,0.6944,0.5098
40,0.5759,0.6944,0.5095
41,0.5760,0.6944,0.5092
42,0.5756,0.6944,0.5092
43,0.5756,0.6944,0.5117
44,0.5756,0.6944,0.5125
45,0.5791,0.6944,0.4958
46,0.5760,0.6944,0.5162
47,0.5765,0.6944,0.5167
48,0.5764,0.6944,0.5284
49,0.5763,0.6944,0.5561
50,0.5762,0.6944,0.4849
51,0.5761,0.6944,0.4894
52,0.5755,0.6944,0.5978
53,0.5754,0.6944,0.5829
54,0.5767,0.6944,0.5230
55,0.5767,0.6944,0.4591
56,0.5755,0.6944,0.5078
57,0.5769,0.6944,0.5080
58,0.5762,0.6944,0.5080
59,0.5754,0.6944,0.5084
60,0.5775,0.6944,0.6477
61,0.5753,0.6944,0.5120
62,0.5761,0.6944,0.5025
63,0.5758,0.6944,0.5289
64,0.5761,0.6944,0.5097
65,0.5746,0.6944,0.5072
66,0.5776,0.6944,0.5100
67,0.5759,0.6944,0.5117
68,0.5761,0.6944,0.5077
69,0.5760,0.6944,0.5071
70,0.5780,0.6944,0.4979
71,0.5756,0.6944,0.4942
72,0.5786,0.6944,0.5114
73,0.5777,0.6944,0.4968
74,0.5777,0.6944,0.5044
75,0.5768,0.6944,0.6344
76,0.5758,0.6944,0.5127
77,0.5759,0.6944,0.5970
78,0.5757,0.6944,0.5757
79,0.5760,0.6944,0.5110
80,0.5758,0.6944,0.5069
81,0.5757,0.6944,0.5001
82,0.5760,0.6944,0.5013
83,0.5760,0.6944,0.4991
84,0.5759,0.6944,0.4978
85,0.5757,0.6944,0.4929
86,0.5756,0.6944,0.5075
87,0.5758,0.6944,0.5069
88,0.5756,0.6944,0.5078
89,0.5757,0.6944,0.5076
90,0.5761,0.6944,0.5082
91,0.5758,0.6944,0.5089
92,0.5757,0.6944,0.5048
93,0.5756,0.6944,0.5051
94,0.5757,0.6944,0.5043
95,0.5758,0.6944,0.5051
96,0.5755,0.6944,0.5062
97,0.5761,0.6944,0.5064
98,0.5759,0.6944,0.5184
99,0.5757,0.6944,0.4959
100,0.5762,0.6944,0.4997
