Epoch,Loss,TestAcc,TestAuc
1,0.6326,0.7361,0.4974
2,0.5516,0.7361,0.4978
3,0.5360,0.7361,0.5213
4,0.5262,0.7361,0.5453
5,0.5433,0.7361,0.5897
6,0.5389,0.7361,0.5025
7,0.5657,0.7361,0.5338
8,0.5234,0.7361,0.5573
9,0.5264,0.7361,0.5263
10,0.5239,0.7361,0.5103
11,0.5254,0.7361,0.5069
12,0.5235,0.7361,0.5280
13,0.5284,0.7361,0.5334
14,0.5231,0.7361,0.5236
15,0.5253,0.7361,0.5283
16,0.5253,0.7361,0.6222
17,0.5252,0.7361,0.5400
18,0.5242,0.7361,0.5020
19,0.5243,0.7361,0.5035
20,0.5211,0.7361,0.5034
21,0.5230,0.7361,0.4975
22,0.5316,0.7361,0.5198
23,0.5256,0.7361,0.5346
24,0.5307,0.7361,0.5202
25,0.5253,0.7361,0.6235
26,0.5237,0.7361,0.5147
27,0.5247,0.7361,0.5413
28,0.5249,0.7361,0.5392
29,0.5225,0.7361,0.5928
30,0.5231,0.7361,0.5205
31,0.5242,0.7361,0.5209
32,0.5225,0.7361,0.5243
33,0.5225,0.7361,0.5056
34,0.5227,0.7361,0.5062
35,0.5227,0.7361,0.5048
36,0.5238,0.7361,0.4987
37,0.5224,0.7361,0.4976
38,0.5224,0.7361,0.4969
39,0.5217,0.7361,0.4968
40,0.5230,0.7361,0.4941
41,0.5248,0.7361,0.4813
42,0.5231,0.7361,0.5006
43,0.5238,0.7361,0.4951
44,0.5222,0.7361,0.4934
45,0.5231,0.7361,0.4925
46,0.5247,0.7361,0.4874
47,0.5233,0.7361,0.4939
48,0.5231,0.7361,0.4935
49,0.5234,0.7361,0.5034
50,0.5222,0.7361,0.4410
51,0.5226,0.7361,0.4925
52,0.5224,0.7361,0.5219
53,0.5228,0.7361,0.5257
54,0.5231,0.7361,0.4449
55,0.5223,0.7361,0.4008
56,0.5218,0.7361,0.4869
57,0.5232,0.7361,0.5039
58,0.5213,0.7361,0.5078
59,0.5233,0.7361,0.5238
60,0.5226,0.7361,0.5155
61,0.5230,0.7361,0.4969
62,0.5215,0.7361,0.5114
63,0.5216,0.7361,0.5057
64,0.5212,0.7361,0.5087
65,0.5230,0.7361,0.5089
66,0.5219,0.7361,0.5078
67,0.5242,0.7361,0.5072
68,0.5225,0.7361,0.5107
69,0.5226,0.7361,0.5099
70,0.5241,0.7361,0.5069
71,0.5229,0.7361,0.4900
72,0.5223,0.7361,0.5151
73,0.5226,0.7361,0.5159
74,0.5245,0.7361,0.4885
75,0.5235,0.7361,0.5109
76,0.5222,0.7361,0.5106
77,0.5223,0.7361,0.5104
78,0.5223,0.7361,0.5089
79,0.5227,0.7361,0.5107
80,0.5228,0.7361,0.5108
81,0.5225,0.7361,0.5128
82,0.5232,0.7361,0.5556
83,0.5227,0.7361,0.5403
84,0.5225,0.7361,0.4975
85,0.5229,0.7361,0.5167
86,0.5227,0.7361,0.6028
87,0.5237,0.7361,0.5149
88,0.5248,0.7361,0.5149
89,0.5226,0.7361,0.4888
90,0.5230,0.7361,0.5129
91,0.5227,0.7361,0.5119
92,0.5223,0.7361,0.5110
93,0.5224,0.7361,0.5115
94,0.5223,0.7361,0.5115
95,0.5224,0.7361,0.5118
96,0.5225,0.7361,0.5119
97,0.5225,0.7361,0.5121
98,0.5224,0.7361,0.5116
99,0.5225,0.7361,0.5123
100,0.5225,0.7361,0.5127
