Epoch,Loss,TestAcc,TestAuc
1,0.5985,0.7882,0.4711
2,0.4917,0.7882,0.4754
3,0.4934,0.7882,0.4804
4,0.4933,0.7882,0.4760
5,0.4697,0.7882,0.4707
6,0.4827,0.7882,0.4878
7,0.4744,0.7882,0.4864
8,0.4834,0.7882,0.4823
9,0.4713,0.7882,0.4788
10,0.4759,0.7882,0.4825
11,0.4776,0.7882,0.5115
12,0.4686,0.7882,0.5862
13,0.4715,0.7882,0.5325
14,0.4710,0.7882,0.5923
15,0.4716,0.7882,0.5305
16,0.4758,0.7882,0.5467
17,0.4779,0.7882,0.5289
18,0.4724,0.7882,0.5174
19,0.4746,0.7882,0.4849
20,0.4717,0.7882,0.4900
21,0.4721,0.7882,0.5352
22,0.4739,0.7882,0.5383
23,0.4732,0.7882,0.5325
24,0.4722,0.7882,0.4877
25,0.4727,0.7882,0.4848
26,0.4704,0.7882,0.5347
27,0.4734,0.7882,0.4798
28,0.4739,0.7882,0.6067
29,0.4794,0.7882,0.4838
30,0.4822,0.7882,0.4139
31,0.4784,0.7882,0.4719
32,0.4757,0.7882,0.4770
33,0.4697,0.7882,0.4676
34,0.4703,0.7882,0.4700
35,0.4726,0.7882,0.4467
36,0.4711,0.7882,0.5097
37,0.4718,0.7882,0.5197
38,0.4708,0.7882,0.5198
39,0.4729,0.7882,0.5094
40,0.4704,0.7882,0.5303
41,0.4681,0.7882,0.5923
42,0.4723,0.7882,0.4936
43,0.4717,0.7882,0.4769
44,0.4710,0.7882,0.5539
45,0.4685,0.7882,0.6125
46,0.4712,0.7882,0.5304
47,0.4763,0.7882,0.5100
48,0.4701,0.7882,0.4865
49,0.4736,0.7882,0.5519
50,0.4691,0.7882,0.5545
51,0.4701,0.7882,0.5009
52,0.4717,0.7882,0.5890
53,0.4727,0.7882,0.5320
54,0.4705,0.7882,0.5233
55,0.4695,0.7882,0.4741
56,0.4704,0.7882,0.5463
57,0.4702,0.7882,0.6134
58,0.4694,0.7882,0.6572
59,0.4700,0.7882,0.5352
60,0.4718,0.7882,0.5634
61,0.4701,0.7882,0.6604
62,0.4696,0.7882,0.5363
63,0.4709,0.7882,0.5474
64,0.4702,0.7882,0.5407
65,0.4711,0.7882,0.6514
66,0.4703,0.7882,0.5547
67,0.4699,0.7882,0.5708
68,0.4740,0.7882,0.4918
69,0.4708,0.7882,0.4691
70,0.4707,0.7882,0.4775
71,0.4703,0.7882,0.5858
72,0.4700,0.7882,0.5359
73,0.4700,0.7882,0.5322
74,0.4702,0.7882,0.5350
75,0.4696,0.7882,0.5411
76,0.4698,0.7882,0.5402
77,0.4695,0.7882,0.5362
78,0.4701,0.7882,0.5345
79,0.4701,0.7882,0.5349
80,0.4696,0.7882,0.5337
81,0.4703,0.7882,0.5330
82,0.4708,0.7882,0.5334
83,0.4700,0.7882,0.5321
84,0.4698,0.7882,0.5324
85,0.4723,0.7882,0.4900
86,0.4709,0.7882,0.5338
87,0.4702,0.7882,0.5357
88,0.4700,0.7882,0.5440
89,0.4707,0.7882,0.5280
90,0.4704,0.7882,0.5316
91,0.4708,0.7882,0.5322
92,0.4704,0.7882,0.5331
93,0.4705,0.7882,0.5350
94,0.4700,0.7882,0.5336
95,0.4702,0.7882,0.4679
96,0.4703,0.7882,0.4684
97,0.4704,0.7882,0.4715
98,0.4701,0.7882,0.5359
99,0.4709,0.7882,0.5328
100,0.4705,0.7882,0.5313
