Epoch,Loss,TestAcc,TestAuc
1,0.6844,0.6910,0.4776
2,0.6211,0.6910,0.4833
3,0.6109,0.6910,0.4836
4,0.6273,0.6910,0.5024
5,0.6075,0.6910,0.4931
6,0.6071,0.6910,0.4905
7,0.6083,0.6910,0.4998
8,0.6042,0.6910,0.5063
9,0.6068,0.6910,0.5199
10,0.6047,0.6910,0.4939
11,0.6078,0.6910,0.5227
12,0.6074,0.6910,0.5001
13,0.6054,0.6910,0.5108
14,0.6103,0.6910,0.5140
15,0.6071,0.6910,0.5017
16,0.6059,0.6910,0.5699
17,0.6053,0.6910,0.5290
18,0.6045,0.6910,0.5406
19,0.6038,0.6910,0.5385
20,0.6080,0.6910,0.5134
21,0.6048,0.6910,0.5127
22,0.6041,0.6910,0.5158
23,0.6073,0.6910,0.4839
24,0.6061,0.6910,0.5043
25,0.6046,0.6910,0.4717
26,0.6039,0.6910,0.4635
27,0.6046,0.6910,0.4363
28,0.6052,0.6910,0.3436
29,0.6038,0.6910,0.4741
30,0.6037,0.6910,0.4792
31,0.6059,0.6910,0.5061
32,0.6081,0.6910,0.5003
33,0.6054,0.6910,0.5134
34,0.6032,0.6910,0.5132
35,0.6045,0.6910,0.5132
36,0.6046,0.6910,0.5134
37,0.6031,0.6910,0.5143
38,0.6034,0.6910,0.5091
39,0.6037,0.6910,0.5131
40,0.6043,0.6910,0.5142
41,0.6026,0.6910,0.5155
42,0.6038,0.6910,0.5170
43,0.6040,0.6910,0.5181
44,0.6036,0.6910,0.4898
45,0.6029,0.6910,0.5294
46,0.6036,0.6910,0.5185
47,0.6031,0.6910,0.4850
48,0.6033,0.6910,0.4860
49,0.6064,0.6910,0.5221
50,0.6037,0.6910,0.6148
51,0.6052,0.6910,0.4857
52,0.6049,0.6910,0.4806
53,0.6033,0.6910,0.5178
54,0.6039,0.6910,0.5196
55,0.6032,0.6910,0.5177
56,0.6027,0.6910,0.5178
57,0.6043,0.6910,0.5182
58,0.6037,0.6910,0.4792
59,0.6034,0.6910,0.5179
60,0.6039,0.6910,0.5213
61,0.6030,0.6910,0.5224
62,0.6035,0.6910,0.5256
63,0.6032,0.6910,0.5224
64,0.6036,0.6910,0.5197
65,0.6034,0.6910,0.5194
66,0.6034,0.6910,0.5139
67,0.6033,0.6910,0.5170
68,0.6036,0.6910,0.5191
69,0.6036,0.6910,0.5191
70,0.6035,0.6910,0.5214
71,0.6034,0.6910,0.5210
72,0.6032,0.6910,0.5234
73,0.6026,0.6910,0.5213
74,0.6033,0.6910,0.5254
75,0.6040,0.6910,0.5224
76,0.6030,0.6910,0.4945
77,0.6034,0.6910,0.5105
78,0.6039,0.6910,0.6278
79,0.6033,0.6910,0.5215
80,0.6033,0.6910,0.5211
81,0.6036,0.6910,0.4728
82,0.6048,0.6910,0.5200
83,0.6037,0.6910,0.5247
84,0.6034,0.6910,0.5227
85,0.6032,0.6910,0.5241
86,0.6036,0.6910,0.5231
87,0.6039,0.6910,0.4769
88,0.6033,0.6910,0.5211
89,0.6041,0.6910,0.5234
90,0.6038,0.6910,0.5409
91,0.6041,0.6910,0.5258
92,0.6033,0.6910,0.5255
93,0.6033,0.6910,0.6528
94,0.6032,0.6910,0.5288
95,0.6032,0.6910,0.5234
96,0.6032,0.6910,0.5252
97,0.6035,0.6910,0.5265
98,0.6033,0.6910,0.6272
99,0.6032,0.6910,0.5230
100,0.6033,0.6910,0.5235
