Epoch,Loss,TestAcc,TestAuc
1,0.5802,0.7569,0.4875
2,0.5269,0.7569,0.4963
3,0.5356,0.7569,0.5023
4,0.5246,0.7569,0.5287
5,0.5226,0.7569,0.4992
6,0.5188,0.7569,0.6094
7,0.5103,0.7569,0.4900
8,0.5183,0.7569,0.4817
9,0.5149,0.7569,0.4853
10,0.5148,0.7569,0.4359
11,0.5160,0.7569,0.4878
12,0.5127,0.7569,0.4808
13,0.5103,0.7569,0.4620
14,0.5110,0.7569,0.4806
15,0.5096,0.7569,0.4555
16,0.5335,0.7569,0.4919
17,0.5192,0.7569,0.4958
18,0.5123,0.7569,0.4932
19,0.5141,0.7569,0.4944
20,0.5153,0.7569,0.4839
21,0.5119,0.7569,0.4893
22,0.5105,0.7569,0.4974
23,0.5120,0.7569,0.4957
24,0.5110,0.7569,0.4612
25,0.5317,0.7569,0.4771
26,0.5088,0.7569,0.4563
27,0.5093,0.7569,0.4820
28,0.5088,0.7569,0.4833
29,0.5093,0.7569,0.4952
30,0.5094,0.7569,0.4901
31,0.5101,0.7569,0.4964
32,0.5084,0.7569,0.4961
33,0.5100,0.7569,0.4984
34,0.5092,0.7569,0.4943
35,0.5096,0.7569,0.5033
36,0.5096,0.7569,0.4960
37,0.5094,0.7569,0.5066
38,0.5090,0.7569,0.4949
39,0.5091,0.7569,0.5026
40,0.5087,0.7569,0.5040
41,0.5083,0.7569,0.5025
42,0.5104,0.7569,0.5071
43,0.5087,0.7569,0.5020
44,0.5094,0.7569,0.5052
45,0.5082,0.7569,0.5057
46,0.5171,0.7569,0.4877
47,0.5111,0.7569,0.4849
48,0.5114,0.7569,0.4756
49,0.5099,0.7569,0.4788
50,0.5115,0.7569,0.4717
51,0.5089,0.7569,0.4824
52,0.5084,0.7569,0.5123
53,0.5099,0.7569,0.5180
54,0.5087,0.7569,0.5176
55,0.5096,0.7569,0.5103
56,0.5094,0.7569,0.4528
57,0.5099,0.7569,0.5010
58,0.5083,0.7569,0.5078
59,0.5091,0.7569,0.5072
60,0.5085,0.7569,0.5078
61,0.5092,0.7569,0.5044
62,0.5085,0.7569,0.5110
63,0.5088,0.7569,0.5051
64,0.5081,0.7569,0.5087
65,0.5064,0.7569,0.5121
66,0.5090,0.7569,0.5090
67,0.5095,0.7569,0.5123
68,0.5093,0.7569,0.5119
69,0.5085,0.7569,0.5128
70,0.5092,0.7569,0.5133
71,0.5084,0.7569,0.5148
72,0.5097,0.7569,0.5128
73,0.5088,0.7569,0.5142
74,0.5087,0.7569,0.5122
75,0.5089,0.7569,0.5151
76,0.5090,0.7569,0.4864
77,0.5103,0.7569,0.4912
78,0.5087,0.7569,0.4890
79,0.5086,0.7569,0.4972
80,0.5087,0.7569,0.5200
81,0.5089,0.7569,0.5232
82,0.5085,0.7569,0.5239
83,0.5086,0.7569,0.5257
84,0.5089,0.7569,0.4836
85,0.5091,0.7569,0.4859
86,0.5087,0.7569,0.4860
87,0.5086,0.7569,0.4853
88,0.5085,0.7569,0.4858
89,0.5088,0.7569,0.4967
90,0.5087,0.7569,0.5226
91,0.5086,0.7569,0.5073
92,0.5086,0.7569,0.4863
93,0.5088,0.7569,0.5228
94,0.5089,0.7569,0.5158
95,0.5094,0.7569,0.5206
96,0.5086,0.7569,0.5228
97,0.5086,0.7569,0.5236
98,0.5088,0.7569,0.5227
99,0.5094,0.7569,0.5217
100,0.5088,0.7569,0.4824
