Epoch,Loss,TestAcc,TestAuc
1,0.7125,0.6944,0.4778
2,0.6132,0.6944,0.4795
3,0.6079,0.6944,0.4859
4,0.5997,0.6944,0.4845
5,0.6047,0.6944,0.4840
6,0.5955,0.6944,0.4851
7,0.5926,0.6944,0.4860
8,0.5904,0.6944,0.4924
9,0.5823,0.6944,0.4901
10,0.5856,0.6944,0.4920
11,0.5882,0.6944,0.5813
12,0.5907,0.6944,0.5226
13,0.5944,0.6944,0.4879
14,0.5845,0.6944,0.5090
15,0.5858,0.6944,0.5137
16,0.5848,0.6944,0.4975
17,0.5839,0.6944,0.4980
18,0.5861,0.6944,0.5278
19,0.5837,0.6944,0.4943
20,0.5846,0.6944,0.5029
21,0.5839,0.6944,0.6105
22,0.5838,0.6944,0.5162
23,0.5917,0.6944,0.4789
24,0.5837,0.6944,0.4903
25,0.5960,0.6944,0.3985
26,0.6039,0.6944,0.4881
27,0.5823,0.6944,0.4871
28,0.5836,0.6944,0.4876
29,0.5890,0.6944,0.5191
30,0.5835,0.6944,0.4917
31,0.5819,0.6944,0.4888
32,0.5824,0.6944,0.4920
33,0.5804,0.6944,0.4923
34,0.5829,0.6944,0.4996
35,0.5820,0.6944,0.4784
36,0.5843,0.6944,0.4929
37,0.5819,0.6944,0.4849
38,0.5828,0.6944,0.4796
39,0.5823,0.6944,0.4776
40,0.5824,0.6944,0.4769
41,0.5819,0.6944,0.4782
42,0.5813,0.6944,0.4757
43,0.5821,0.6944,0.4885
44,0.5821,0.6944,0.4922
45,0.5827,0.6944,0.5114
46,0.5827,0.6944,0.3416
47,0.5817,0.6944,0.4676
48,0.5824,0.6944,0.4732
49,0.5819,0.6944,0.4724
50,0.5823,0.6944,0.4774
51,0.5808,0.6944,0.5098
52,0.5815,0.6944,0.5130
53,0.5809,0.6944,0.5162
54,0.5819,0.6944,0.5176
55,0.5821,0.6944,0.5076
56,0.5807,0.6944,0.5134
57,0.5819,0.6944,0.5127
58,0.5812,0.6944,0.5148
59,0.5816,0.6944,0.5128
60,0.5801,0.6944,0.5155
61,0.5823,0.6944,0.5152
62,0.5814,0.6944,0.4480
63,0.5832,0.6944,0.5124
64,0.5810,0.6944,0.4747
65,0.5809,0.6944,0.4757
66,0.5817,0.6944,0.3620
67,0.5808,0.6944,0.5120
68,0.5811,0.6944,0.5171
69,0.5815,0.6944,0.5195
70,0.5816,0.6944,0.5184
71,0.5813,0.6944,0.5215
72,0.5813,0.6944,0.5189
73,0.5803,0.6944,0.5196
74,0.5813,0.6944,0.5216
75,0.5807,0.6944,0.5216
76,0.5819,0.6944,0.5181
77,0.5813,0.6944,0.5147
78,0.5809,0.6944,0.5180
79,0.5812,0.6944,0.5191
80,0.5813,0.6944,0.5201
81,0.5809,0.6944,0.5222
82,0.5813,0.6944,0.5216
83,0.5817,0.6944,0.5195
84,0.5819,0.6944,0.5189
85,0.5815,0.6944,0.5226
86,0.5813,0.6944,0.5648
87,0.5810,0.6944,0.5249
88,0.5809,0.6944,0.5215
89,0.5812,0.6944,0.5200
90,0.5813,0.6944,0.5201
91,0.5802,0.6944,0.5225
92,0.5815,0.6944,0.5233
93,0.5805,0.6944,0.5226
94,0.5824,0.6944,0.5224
95,0.5805,0.6944,0.5228
96,0.5815,0.6944,0.5214
97,0.5813,0.6944,0.5077
98,0.5814,0.6944,0.5156
99,0.5812,0.6944,0.5199
100,0.5810,0.6944,0.5150
