Epoch,Loss,TestAcc,TestAuc
1,0.5994,0.7118,0.5922
2,0.5685,0.7118,0.5133
3,0.5715,0.7118,0.5340
4,0.5731,0.7118,0.6050
5,0.5730,0.7118,0.5831
6,0.5709,0.7118,0.5739
7,0.5665,0.7118,0.6156
8,0.5732,0.7118,0.5116
9,0.5704,0.7118,0.5063
10,0.5642,0.7118,0.5160
11,0.5698,0.7118,0.5032
12,0.5658,0.7118,0.5296
13,0.5686,0.7118,0.5039
14,0.5679,0.7118,0.5021
15,0.5653,0.7118,0.5023
16,0.5650,0.7118,0.5021
17,0.5646,0.7118,0.5032
18,0.5656,0.7118,0.5011
19,0.5648,0.7118,0.4560
20,0.5632,0.7118,0.4887
21,0.5711,0.7118,0.5156
22,0.5644,0.7118,0.5041
23,0.5667,0.7118,0.5029
24,0.5645,0.7118,0.5005
25,0.5656,0.7118,0.5051
26,0.5657,0.7118,0.5039
27,0.5646,0.7118,0.5034
28,0.5669,0.7118,0.6363
29,0.5649,0.7118,0.5091
30,0.5649,0.7118,0.5621
31,0.5653,0.7118,0.5207
32,0.5642,0.7118,0.5074
33,0.5652,0.7118,0.5100
34,0.5650,0.7118,0.5102
35,0.5642,0.7118,0.6124
36,0.5657,0.7118,0.5280
37,0.5646,0.7118,0.5130
38,0.5651,0.7118,0.5190
39,0.5650,0.7118,0.5371
40,0.5652,0.7118,0.5031
41,0.5649,0.7118,0.5115
42,0.5653,0.7118,0.5101
43,0.5656,0.7118,0.5082
44,0.5646,0.7118,0.5060
45,0.5645,0.7118,0.5061
46,0.5648,0.7118,0.5070
47,0.5663,0.7118,0.5010
48,0.5649,0.7118,0.5132
49,0.5657,0.7118,0.5119
50,0.5650,0.7118,0.5110
51,0.5649,0.7118,0.5710
52,0.5649,0.7118,0.5107
53,0.5655,0.7118,0.4930
54,0.5650,0.7118,0.5270
55,0.5651,0.7118,0.5174
56,0.5652,0.7118,0.5177
57,0.5643,0.7118,0.5140
58,0.5650,0.7118,0.5099
59,0.5649,0.7118,0.5160
60,0.5642,0.7118,0.5114
61,0.5648,0.7118,0.5118
62,0.5648,0.7118,0.5141
63,0.5648,0.7118,0.5179
64,0.5651,0.7118,0.5189
65,0.5645,0.7118,0.5176
66,0.5659,0.7118,0.5943
67,0.5650,0.7118,0.5075
68,0.5650,0.7118,0.5099
69,0.5649,0.7118,0.5104
70,0.5648,0.7118,0.5100
71,0.5648,0.7118,0.5095
72,0.5645,0.7118,0.5099
73,0.5646,0.7118,0.5110
74,0.5649,0.7118,0.5116
75,0.5648,0.7118,0.5141
76,0.5649,0.7118,0.5114
77,0.5645,0.7118,0.5124
78,0.5646,0.7118,0.5180
79,0.5644,0.7118,0.5190
80,0.5642,0.7118,0.5196
81,0.5648,0.7118,0.5166
82,0.5646,0.7118,0.5168
83,0.5655,0.7118,0.5127
84,0.5649,0.7118,0.5133
85,0.5650,0.7118,0.5129
86,0.5650,0.7118,0.5190
87,0.5649,0.7118,0.4993
88,0.5645,0.7118,0.5172
89,0.5648,0.7118,0.6407
90,0.5647,0.7118,0.5055
91,0.5649,0.7118,0.5127
92,0.5647,0.7118,0.5119
93,0.5647,0.7118,0.5151
94,0.5647,0.7118,0.5140
95,0.5642,0.7118,0.5137
96,0.5652,0.7118,0.5190
97,0.5651,0.7118,0.5093
98,0.5648,0.7118,0.5079
99,0.5650,0.7118,0.4372
100,0.5648,0.7118,0.4840
