Epoch,Loss,TestAcc,TestAuc
1,0.5785,0.7882,0.4314
2,0.5598,0.7882,0.4245
3,0.5325,0.7882,0.4320
4,0.5105,0.7882,0.4314
5,0.5168,0.7882,0.4314
6,0.5150,0.7882,0.4373
7,0.5144,0.7882,0.4241
8,0.5122,0.7882,0.4821
9,0.5134,0.7882,0.4379
10,0.5109,0.7882,0.4305
11,0.5111,0.7882,0.4326
12,0.5133,0.7882,0.4146
13,0.5082,0.7882,0.4298
14,0.5154,0.7882,0.4383
15,0.5066,0.7882,0.4375
16,0.5090,0.7882,0.4984
17,0.5073,0.7882,0.4116
18,0.5064,0.7882,0.4404
19,0.5080,0.7882,0.4495
20,0.5060,0.7882,0.5439
21,0.5089,0.7882,0.4455
22,0.5023,0.7882,0.4452
23,0.5039,0.7882,0.4511
24,0.5060,0.7882,0.4479
25,0.5057,0.7882,0.4432
26,0.5071,0.7882,0.4414
27,0.5060,0.7882,0.5542
28,0.5060,0.7882,0.4404
29,0.5051,0.7882,0.5414
30,0.5057,0.7882,0.4511
31,0.5054,0.7882,0.5616
32,0.5056,0.7882,0.5788
33,0.5046,0.7882,0.4386
34,0.5060,0.7882,0.4395
35,0.5059,0.7882,0.4418
36,0.5055,0.7882,0.4462
37,0.5058,0.7882,0.4408
38,0.5053,0.7882,0.5679
39,0.5062,0.7882,0.5636
40,0.5031,0.7882,0.6146
41,0.5045,0.7882,0.5154
42,0.5060,0.7882,0.5645
43,0.5031,0.7882,0.4443
44,0.5048,0.7882,0.4428
45,0.5048,0.7882,0.4403
46,0.5052,0.7882,0.4396
47,0.5044,0.7882,0.4442
48,0.5043,0.7882,0.5306
49,0.5054,0.7882,0.5428
50,0.5058,0.7882,0.4495
51,0.5050,0.7882,0.5687
52,0.5061,0.7882,0.4758
53,0.5031,0.7882,0.4511
54,0.5051,0.7882,0.6203
55,0.5040,0.7882,0.4910
56,0.5047,0.7882,0.4368
57,0.5052,0.7882,0.4358
58,0.5046,0.7882,0.5663
59,0.5042,0.7882,0.5778
60,0.5049,0.7882,0.5658
61,0.5024,0.7882,0.4363
62,0.5054,0.7882,0.5588
63,0.5049,0.7882,0.4376
64,0.5045,0.7882,0.5598
65,0.5029,0.7882,0.5631
66,0.5036,0.7882,0.5632
67,0.5045,0.7882,0.5463
68,0.5064,0.7882,0.5570
69,0.5041,0.7882,0.4233
70,0.5042,0.7882,0.4286
71,0.5043,0.7882,0.4260
72,0.5043,0.7882,0.4275
73,0.5039,0.7882,0.4254
74,0.5055,0.7882,0.4087
75,0.5038,0.7882,0.4075
76,0.5046,0.7882,0.3673
77,0.5044,0.7882,0.5660
78,0.5042,0.7882,0.5652
79,0.5046,0.7882,0.4341
80,0.5044,0.7882,0.5656
81,0.5045,0.7882,0.5496
82,0.5043,0.7882,0.5640
83,0.5041,0.7882,0.4031
84,0.5039,0.7882,0.4296
85,0.5075,0.7882,0.3360
86,0.5046,0.7882,0.4240
87,0.5046,0.7882,0.5641
88,0.5033,0.7882,0.5666
89,0.5040,0.7882,0.5577
90,0.5044,0.7882,0.5639
91,0.5032,0.7882,0.5658
92,0.5045,0.7882,0.5691
93,0.5041,0.7882,0.5666
94,0.5042,0.7882,0.5653
95,0.5040,0.7882,0.5667
96,0.5037,0.7882,0.5669
97,0.5043,0.7882,0.5650
98,0.5042,0.7882,0.5609
99,0.5039,0.7882,0.5641
100,0.5038,0.7882,0.5490
