Epoch,Loss,TestAcc,TestAuc
1,0.5295,0.8056,0.4118
2,0.4512,0.8056,0.4192
3,0.4571,0.8056,0.4207
4,0.4440,0.8056,0.4175
5,0.4434,0.8056,0.4194
6,0.4394,0.8056,0.4224
7,0.4412,0.8056,0.4243
8,0.4443,0.8056,0.4383
9,0.4384,0.8056,0.4225
10,0.4392,0.8056,0.4225
11,0.4365,0.8056,0.4218
12,0.4368,0.8056,0.4208
13,0.4381,0.8056,0.4218
14,0.4381,0.8056,0.4051
15,0.4370,0.8056,0.4494
16,0.4378,0.8056,0.4106
17,0.4371,0.8056,0.4185
18,0.4397,0.8056,0.3347
19,0.4380,0.8056,0.4175
20,0.4394,0.8056,0.4159
21,0.4381,0.8056,0.4215
22,0.4344,0.8056,0.4267
23,0.4386,0.8056,0.4276
24,0.4346,0.8056,0.4305
25,0.4377,0.8056,0.4325
26,0.4366,0.8056,0.4293
27,0.4375,0.8056,0.4222
28,0.4379,0.8056,0.4215
29,0.4375,0.8056,0.4261
30,0.4372,0.8056,0.5655
31,0.4378,0.8056,0.4153
32,0.4360,0.8056,0.4215
33,0.4372,0.8056,0.4212
34,0.4375,0.8056,0.4220
35,0.4382,0.8056,0.4209
36,0.4362,0.8056,0.4247
37,0.4367,0.8056,0.5822
38,0.4381,0.8056,0.6346
39,0.4371,0.8056,0.5812
40,0.4361,0.8056,0.5781
41,0.4367,0.8056,0.5796
42,0.4379,0.8056,0.4288
43,0.4357,0.8056,0.4220
44,0.4362,0.8056,0.4216
45,0.4362,0.8056,0.5887
46,0.4355,0.8056,0.5819
47,0.4369,0.8056,0.3924
48,0.4361,0.8056,0.5722
49,0.4358,0.8056,0.4089
50,0.4360,0.8056,0.5430
51,0.4362,0.8056,0.4121
52,0.4352,0.8056,0.4158
53,0.4347,0.8056,0.4198
54,0.4355,0.8056,0.4122
55,0.4352,0.8056,0.5705
56,0.4362,0.8056,0.3407
57,0.4363,0.8056,0.5648
58,0.4360,0.8056,0.4348
59,0.4360,0.8056,0.3942
60,0.4364,0.8056,0.4170
61,0.4357,0.8056,0.3506
62,0.4361,0.8056,0.4064
63,0.4359,0.8056,0.3954
64,0.4354,0.8056,0.5859
65,0.4359,0.8056,0.5849
66,0.4356,0.8056,0.5850
67,0.4357,0.8056,0.4126
68,0.4362,0.8056,0.3339
69,0.4363,0.8056,0.5550
70,0.4359,0.8056,0.4216
71,0.4356,0.8056,0.4109
72,0.4355,0.8056,0.4464
73,0.4363,0.8056,0.5660
74,0.4351,0.8056,0.4124
75,0.4360,0.8056,0.4119
76,0.4354,0.8056,0.4118
77,0.4354,0.8056,0.4108
78,0.4358,0.8056,0.4114
79,0.4355,0.8056,0.4116
80,0.4357,0.8056,0.4152
81,0.4357,0.8056,0.4155
82,0.4352,0.8056,0.4157
83,0.4352,0.8056,0.4163
84,0.4353,0.8056,0.4154
85,0.4355,0.8056,0.4198
86,0.4355,0.8056,0.4856
87,0.4355,0.8056,0.5849
88,0.4355,0.8056,0.3170
89,0.4358,0.8056,0.5809
90,0.4356,0.8056,0.5810
91,0.4350,0.8056,0.5776
92,0.4355,0.8056,0.5779
93,0.4348,0.8056,0.5800
94,0.4356,0.8056,0.5814
95,0.4362,0.8056,0.5628
96,0.4353,0.8056,0.4110
97,0.4352,0.8056,0.4115
98,0.4357,0.8056,0.4132
99,0.4354,0.8056,0.4131
100,0.4353,0.8056,0.4149
