Epoch,Loss,TestAcc,TestAuc
1,0.6416,0.6424,0.6118
2,0.6187,0.6424,0.5282
3,0.6114,0.6424,0.5839
4,0.6142,0.6424,0.4822
5,0.6137,0.6424,0.4780
6,0.6132,0.6424,0.5303
7,0.6081,0.6424,0.5220
8,0.6177,0.6424,0.5077
9,0.6080,0.6424,0.5135
10,0.6078,0.6424,0.6217
11,0.6100,0.6424,0.6362
12,0.6050,0.6424,0.5287
13,0.6060,0.6424,0.5129
14,0.6072,0.6424,0.4860
15,0.6046,0.6424,0.5111
16,0.6073,0.6424,0.5051
17,0.6037,0.6424,0.5062
18,0.6083,0.6424,0.5116
19,0.6064,0.6424,0.6103
20,0.6070,0.6424,0.5501
21,0.6054,0.6424,0.5269
22,0.6103,0.6424,0.5541
23,0.6072,0.6424,0.5556
24,0.6073,0.6424,0.5261
25,0.6033,0.6424,0.5214
26,0.6074,0.6424,0.5220
27,0.6055,0.6424,0.5290
28,0.6048,0.6424,0.5268
29,0.6064,0.6424,0.5356
30,0.6052,0.6424,0.5189
31,0.6063,0.6424,0.4732
32,0.6047,0.6424,0.3918
33,0.6066,0.6424,0.5287
34,0.6052,0.6424,0.6285
35,0.6050,0.6424,0.5044
36,0.6054,0.6424,0.5227
37,0.6058,0.6424,0.4712
38,0.6060,0.6424,0.4681
39,0.6049,0.6424,0.5248
40,0.6052,0.6424,0.5102
41,0.6053,0.6424,0.5295
42,0.6047,0.6424,0.5140
43,0.6049,0.6424,0.5351
44,0.6054,0.6424,0.5355
45,0.6052,0.6424,0.5350
46,0.6051,0.6424,0.5401
47,0.6056,0.6424,0.5311
48,0.6072,0.6424,0.5348
49,0.6051,0.6424,0.4696
50,0.6086,0.6424,0.4861
51,0.6084,0.6424,0.4681
52,0.6054,0.6424,0.4632
53,0.6050,0.6424,0.5297
54,0.6053,0.6424,0.4645
55,0.6051,0.6424,0.4649
56,0.6053,0.6424,0.5384
57,0.6056,0.6424,0.5366
58,0.6049,0.6424,0.5393
59,0.6053,0.6424,0.5422
60,0.6052,0.6424,0.5388
61,0.6050,0.6424,0.5396
62,0.6053,0.6424,0.5335
63,0.6051,0.6424,0.5276
64,0.6046,0.6424,0.5331
65,0.6060,0.6424,0.5345
66,0.6052,0.6424,0.5364
67,0.6050,0.6424,0.5351
68,0.6047,0.6424,0.5356
69,0.6048,0.6424,0.5358
70,0.6051,0.6424,0.5357
71,0.6048,0.6424,0.5251
72,0.6049,0.6424,0.5353
73,0.6048,0.6424,0.5364
74,0.6052,0.6424,0.5360
75,0.6042,0.6424,0.5362
76,0.6057,0.6424,0.5356
77,0.6053,0.6424,0.5363
78,0.6049,0.6424,0.4639
79,0.6048,0.6424,0.4632
80,0.6052,0.6424,0.5336
81,0.6050,0.6424,0.5367
82,0.6048,0.6424,0.5366
83,0.6045,0.6424,0.5362
84,0.6050,0.6424,0.5370
85,0.6049,0.6424,0.5418
86,0.6051,0.6424,0.5371
87,0.6056,0.6424,0.5382
88,0.6050,0.6424,0.5373
89,0.6052,0.6424,0.5371
90,0.6054,0.6424,0.5368
91,0.6049,0.6424,0.5373
92,0.6048,0.6424,0.5377
93,0.6047,0.6424,0.5394
94,0.6049,0.6424,0.5375
95,0.6050,0.6424,0.5372
96,0.6052,0.6424,0.5374
97,0.6048,0.6424,0.5375
98,0.6051,0.6424,0.5374
99,0.6051,0.6424,0.5383
100,0.6046,0.6424,0.5401
