Epoch,Loss,TestAcc,TestAuc
1,0.2114,0.9514,0.5920
2,0.1710,0.9514,0.5927
3,0.1435,0.9514,0.5928
4,0.1423,0.9514,0.5894
5,0.1393,0.9514,0.5882
6,0.1371,0.9514,0.5897
7,0.1309,0.9514,0.5914
8,0.1356,0.9514,0.6865
9,0.1215,0.9514,0.5901
10,0.1177,0.9514,0.5875
11,0.1205,0.9514,0.5899
12,0.1222,0.9514,0.5912
13,0.1201,0.9514,0.5885
14,0.1187,0.9514,0.5875
15,0.1195,0.9514,0.5893
16,0.1302,0.9514,0.5899
17,0.1237,0.9514,0.5888
18,0.1209,0.9514,0.5886
19,0.1229,0.9514,0.5895
20,0.1193,0.9514,0.5915
21,0.1213,0.9514,0.5832
22,0.1221,0.9514,0.5597
23,0.1202,0.9514,0.5868
24,0.1175,0.9514,0.5842
25,0.1228,0.9514,0.5356
26,0.1180,0.9514,0.3828
27,0.1180,0.9514,0.4176
28,0.1731,0.9514,0.5860
29,0.1211,0.9514,0.5881
30,0.1213,0.9514,0.5876
31,0.1262,0.9514,0.5876
32,0.1159,0.9514,0.5881
33,0.1209,0.9514,0.5890
34,0.1308,0.9514,0.5868
35,0.1204,0.9514,0.5858
36,0.1194,0.9514,0.5852
37,0.1242,0.9514,0.5858
38,0.1170,0.9514,0.5855
39,0.1207,0.9514,0.5860
40,0.1249,0.9514,0.5863
41,0.1215,0.9514,0.5863
42,0.1193,0.9514,0.5863
43,0.1178,0.9514,0.5854
44,0.1194,0.9514,0.5847
45,0.1204,0.9514,0.5863
46,0.1179,0.9514,0.5876
47,0.1197,0.9514,0.5869
48,0.1217,0.9514,0.5871
49,0.1200,0.9514,0.5876
50,0.1186,0.9514,0.5876
51,0.1202,0.9514,0.5876
52,0.1199,0.9514,0.5881
53,0.1186,0.9514,0.5881
54,0.1175,0.9514,0.5876
55,0.1194,0.9514,0.5860
56,0.1204,0.9514,0.5858
57,0.1171,0.9514,0.5873
58,0.1185,0.9514,0.5859
59,0.1199,0.9514,0.5876
60,0.1195,0.9514,0.5884
61,0.1180,0.9514,0.5876
62,0.1203,0.9514,0.5860
63,0.1191,0.9514,0.5847
64,0.1177,0.9514,0.5876
65,0.1197,0.9514,0.5850
66,0.1194,0.9514,0.5855
67,0.1199,0.9514,0.5841
68,0.1188,0.9514,0.5871
69,0.1195,0.9514,0.5858
70,0.1182,0.9514,0.5879
71,0.1183,0.9514,0.5873
72,0.1183,0.9514,0.5871
73,0.1202,0.9514,0.5858
74,0.1190,0.9514,0.5506
75,0.1188,0.9514,0.5832
76,0.1187,0.9514,0.5821
77,0.1183,0.9514,0.5868
78,0.1179,0.9514,0.5865
79,0.1184,0.9514,0.5852
80,0.1188,0.9514,0.5860
81,0.1189,0.9514,0.5871
82,0.1189,0.9514,0.5868
83,0.1204,0.9514,0.5869
84,0.1192,0.9514,0.5850
85,0.1188,0.9514,0.4333
86,0.1180,0.9514,0.6496
87,0.1180,0.9514,0.6580
88,0.1185,0.9514,0.5871
89,0.1185,0.9514,0.5876
90,0.1178,0.9514,0.5889
91,0.1180,0.9514,0.5879
92,0.1186,0.9514,0.5855
93,0.1185,0.9514,0.4286
94,0.1184,0.9514,0.5863
95,0.1180,0.9514,0.5879
96,0.1180,0.9514,0.5871
97,0.1183,0.9514,0.5879
98,0.1185,0.9514,0.5871
99,0.1184,0.9514,0.5846
100,0.1176,0.9514,0.5855
