Epoch,Loss,TestAcc,TestAuc
1,0.7160,0.6042,0.5458
2,0.6794,0.6042,0.5268
3,0.6765,0.6042,0.5251
4,0.6742,0.6042,0.5789
5,0.6706,0.6042,0.5248
6,0.6703,0.6042,0.5153
7,0.6707,0.6042,0.5193
8,0.6738,0.6042,0.5176
9,0.6700,0.6042,0.5001
10,0.6713,0.6042,0.5267
11,0.6692,0.6042,0.5253
12,0.6720,0.6042,0.5360
13,0.6687,0.6042,0.5127
14,0.6724,0.6042,0.5069
15,0.6709,0.6042,0.5113
16,0.6713,0.6042,0.5136
17,0.6692,0.6042,0.5155
18,0.6700,0.6042,0.5132
19,0.6700,0.6042,0.5132
20,0.6686,0.6042,0.5124
21,0.6695,0.6042,0.5163
22,0.6683,0.6042,0.5165
23,0.6699,0.6042,0.4664
24,0.6693,0.6042,0.4831
25,0.6692,0.6042,0.5225
26,0.6691,0.6042,0.5207
27,0.6687,0.6042,0.5296
28,0.6691,0.6042,0.5253
29,0.6700,0.6042,0.5209
30,0.6687,0.6042,0.5193
31,0.6690,0.6042,0.5642
32,0.6696,0.6042,0.5194
33,0.6688,0.6042,0.5167
34,0.6696,0.6042,0.5148
35,0.6693,0.6042,0.5142
36,0.6695,0.6042,0.5312
37,0.6696,0.6042,0.5191
38,0.6695,0.6042,0.4849
39,0.6695,0.6042,0.5247
40,0.6693,0.6042,0.5866
41,0.6685,0.6042,0.5192
42,0.6695,0.6042,0.5250
43,0.6686,0.6042,0.5134
44,0.6674,0.6042,0.5145
45,0.6693,0.6042,0.5161
46,0.6703,0.6042,0.4790
47,0.6688,0.6042,0.5074
48,0.6696,0.6042,0.5105
49,0.6695,0.6042,0.4704
50,0.6692,0.6042,0.5135
51,0.6696,0.6042,0.4716
52,0.6690,0.6042,0.4789
53,0.6691,0.6042,0.5206
54,0.6691,0.6042,0.5172
55,0.6691,0.6042,0.5160
56,0.6692,0.6042,0.5155
57,0.6690,0.6042,0.5159
58,0.6701,0.6042,0.5161
59,0.6697,0.6042,0.5158
60,0.6695,0.6042,0.4839
61,0.6690,0.6042,0.4787
62,0.6686,0.6042,0.5018
63,0.6698,0.6042,0.5161
64,0.6692,0.6042,0.5669
65,0.6691,0.6042,0.5150
66,0.6692,0.6042,0.5179
67,0.6691,0.6042,0.5156
68,0.6685,0.6042,0.5176
69,0.6696,0.6042,0.4903
70,0.6686,0.6042,0.5206
71,0.6702,0.6042,0.5210
72,0.6693,0.6042,0.5199
73,0.6692,0.6042,0.5176
74,0.6690,0.6042,0.5207
75,0.6692,0.6042,0.5169
76,0.6690,0.6042,0.4855
77,0.6691,0.6042,0.5123
78,0.6689,0.6042,0.5161
79,0.6679,0.6042,0.5161
80,0.6705,0.6042,0.5206
81,0.6694,0.6042,0.5167
82,0.6691,0.6042,0.5169
83,0.6691,0.6042,0.5166
84,0.6691,0.6042,0.5162
85,0.6692,0.6042,0.4823
86,0.6694,0.6042,0.5158
87,0.6694,0.6042,0.5219
88,0.6694,0.6042,0.5191
89,0.6693,0.6042,0.5170
90,0.6691,0.6042,0.5166
91,0.6689,0.6042,0.5170
92,0.6683,0.6042,0.5161
93,0.6689,0.6042,0.5159
94,0.6687,0.6042,0.5177
95,0.6696,0.6042,0.5177
96,0.6686,0.6042,0.5183
97,0.6691,0.6042,0.5172
98,0.6690,0.6042,0.5195
99,0.6692,0.6042,0.5178
100,0.6701,0.6042,0.5169
