Epoch,Loss,TestAcc,TestAuc
1,0.6163,0.7222,0.5254
2,0.5652,0.7222,0.5310
3,0.5657,0.7222,0.5383
4,0.5674,0.7222,0.4924
5,0.5700,0.7222,0.5115
6,0.5625,0.7222,0.5603
7,0.5641,0.7222,0.4938
8,0.5650,0.7222,0.5316
9,0.5612,0.7222,0.4525
10,0.5587,0.7222,0.5299
11,0.5604,0.7222,0.4519
12,0.5598,0.7222,0.4532
13,0.5603,0.7222,0.4360
14,0.5602,0.7222,0.4891
15,0.5613,0.7222,0.4930
16,0.5574,0.7222,0.4609
17,0.5592,0.7222,0.4542
18,0.5601,0.7222,0.4668
19,0.5566,0.7222,0.4401
20,0.5589,0.7222,0.3755
21,0.5567,0.7222,0.5281
22,0.5586,0.7222,0.5298
23,0.5587,0.7222,0.5297
24,0.5575,0.7222,0.6517
25,0.5592,0.7222,0.5311
26,0.5592,0.7222,0.5279
27,0.5597,0.7222,0.5237
28,0.5571,0.7222,0.5160
29,0.5578,0.7222,0.5260
30,0.5578,0.7222,0.5230
31,0.5587,0.7222,0.5247
32,0.5574,0.7222,0.4706
33,0.5573,0.7222,0.4655
34,0.5570,0.7222,0.4819
35,0.5587,0.7222,0.4813
36,0.5569,0.7222,0.5348
37,0.5580,0.7222,0.5899
38,0.5578,0.7222,0.4816
39,0.5569,0.7222,0.4935
40,0.5569,0.7222,0.6106
41,0.5583,0.7222,0.5017
42,0.5574,0.7222,0.5772
43,0.5580,0.7222,0.5534
44,0.5577,0.7222,0.5291
45,0.5572,0.7222,0.5309
46,0.5573,0.7222,0.6053
47,0.5574,0.7222,0.5342
48,0.5571,0.7222,0.5443
49,0.5578,0.7222,0.5624
50,0.5598,0.7222,0.4763
51,0.5574,0.7222,0.4575
52,0.5578,0.7222,0.5303
53,0.5573,0.7222,0.4836
54,0.5569,0.7222,0.4828
55,0.5563,0.7222,0.4879
56,0.5582,0.7222,0.4986
57,0.5573,0.7222,0.5860
58,0.5580,0.7222,0.4913
59,0.5568,0.7222,0.4870
60,0.5570,0.7222,0.4867
61,0.5568,0.7222,0.4881
62,0.5576,0.7222,0.5036
63,0.5568,0.7222,0.4898
64,0.5579,0.7222,0.6050
65,0.5576,0.7222,0.5538
66,0.5572,0.7222,0.5458
67,0.5569,0.7222,0.5351
68,0.5571,0.7222,0.5712
69,0.5571,0.7222,0.4936
70,0.5574,0.7222,0.4838
71,0.5571,0.7222,0.4876
72,0.5571,0.7222,0.4885
73,0.5570,0.7222,0.4939
74,0.5575,0.7222,0.5630
75,0.5567,0.7222,0.4927
76,0.5572,0.7222,0.5672
77,0.5572,0.7222,0.5230
78,0.5570,0.7222,0.4859
79,0.5572,0.7222,0.4839
80,0.5571,0.7222,0.4842
81,0.5570,0.7222,0.4881
82,0.5573,0.7222,0.4846
83,0.5571,0.7222,0.4867
84,0.5569,0.7222,0.4902
85,0.5576,0.7222,0.4648
86,0.5573,0.7222,0.4883
87,0.5570,0.7222,0.4879
88,0.5575,0.7222,0.4867
89,0.5569,0.7222,0.4864
90,0.5569,0.7222,0.4858
91,0.5570,0.7222,0.4858
92,0.5571,0.7222,0.4867
93,0.5570,0.7222,0.4867
94,0.5570,0.7222,0.4881
95,0.5568,0.7222,0.4898
96,0.5570,0.7222,0.4903
97,0.5571,0.7222,0.4923
98,0.5572,0.7222,0.4872
99,0.5570,0.7222,0.4870
100,0.5572,0.7222,0.4873
