Epoch,Loss,TestAcc,TestAuc
1,0.6629,0.6528,0.5280
2,0.6376,0.6528,0.5384
3,0.6121,0.6528,0.5415
4,0.6162,0.6528,0.5398
5,0.6071,0.6528,0.5458
6,0.6155,0.6528,0.5286
7,0.6152,0.6528,0.5299
8,0.6150,0.6528,0.5566
9,0.6131,0.6528,0.5440
10,0.6070,0.6528,0.5405
11,0.6078,0.6528,0.5372
12,0.6138,0.6528,0.4860
13,0.6074,0.6528,0.5975
14,0.6232,0.6528,0.5942
15,0.6090,0.6528,0.5431
16,0.6072,0.6528,0.5435
17,0.6079,0.6528,0.6956
18,0.6164,0.6528,0.6674
19,0.6095,0.6528,0.6240
20,0.6072,0.6528,0.6118
21,0.6078,0.6528,0.6589
22,0.6092,0.6528,0.6001
23,0.6072,0.6528,0.6021
24,0.6056,0.6528,0.6843
25,0.6071,0.6528,0.4892
26,0.6076,0.6528,0.5692
27,0.6058,0.6528,0.6019
28,0.6069,0.6528,0.4823
29,0.6068,0.6528,0.5844
30,0.6065,0.6528,0.5977
31,0.6049,0.6528,0.5582
32,0.6126,0.6528,0.4782
33,0.6056,0.6528,0.5876
34,0.6056,0.6528,0.5417
35,0.6103,0.6528,0.5953
36,0.6065,0.6528,0.5523
37,0.6063,0.6528,0.5648
38,0.6055,0.6528,0.5862
39,0.6059,0.6528,0.6358
40,0.6061,0.6528,0.6311
41,0.6059,0.6528,0.5914
42,0.6059,0.6528,0.5602
43,0.6053,0.6528,0.5895
44,0.6058,0.6528,0.6001
45,0.6069,0.6528,0.5771
46,0.6063,0.6528,0.5496
47,0.6062,0.6528,0.6325
48,0.6053,0.6528,0.4938
49,0.6069,0.6528,0.6574
50,0.6058,0.6528,0.5854
51,0.6057,0.6528,0.4855
52,0.6050,0.6528,0.6430
53,0.6068,0.6528,0.5806
54,0.6059,0.6528,0.4723
55,0.6056,0.6528,0.4681
56,0.6057,0.6528,0.4733
57,0.6053,0.6528,0.4793
58,0.6054,0.6528,0.4755
59,0.6048,0.6528,0.4744
60,0.6058,0.6528,0.4741
61,0.6059,0.6528,0.4715
62,0.6055,0.6528,0.4722
63,0.6054,0.6528,0.4719
64,0.6057,0.6528,0.4724
65,0.6062,0.6528,0.4716
66,0.6055,0.6528,0.4712
67,0.6055,0.6528,0.4721
68,0.6058,0.6528,0.4723
69,0.6062,0.6528,0.4683
70,0.6056,0.6528,0.4713
71,0.6055,0.6528,0.4724
72,0.6055,0.6528,0.4726
73,0.6052,0.6528,0.4728
74,0.6059,0.6528,0.4730
75,0.6058,0.6528,0.4730
76,0.6058,0.6528,0.4733
77,0.6057,0.6528,0.4727
78,0.6056,0.6528,0.4731
79,0.6054,0.6528,0.4757
80,0.6054,0.6528,0.4768
81,0.6040,0.6528,0.4799
82,0.6048,0.6528,0.4838
83,0.6076,0.6528,0.5180
84,0.6070,0.6528,0.4736
85,0.6057,0.6528,0.5224
86,0.6056,0.6528,0.5252
87,0.6059,0.6528,0.5252
88,0.6058,0.6528,0.5268
89,0.6056,0.6528,0.5269
90,0.6060,0.6528,0.5255
91,0.6064,0.6528,0.5257
92,0.6056,0.6528,0.5276
93,0.6059,0.6528,0.5285
94,0.6056,0.6528,0.4753
95,0.6057,0.6528,0.4749
96,0.6058,0.6528,0.4744
97,0.6058,0.6528,0.4749
98,0.6056,0.6528,0.4754
99,0.6054,0.6528,0.4758
100,0.6055,0.6528,0.4771
