Epoch,Loss,TestAcc,TestAuc
1,0.3447,0.9306,0.4927
2,0.3060,0.9306,0.4940
3,0.2917,0.9306,0.4970
4,0.2743,0.9306,0.5015
5,0.2630,0.9306,0.5121
6,0.2647,0.9306,0.5142
7,0.2609,0.9306,0.5466
8,0.2674,0.9306,0.5299
9,0.2526,0.9306,0.5228
10,0.2615,0.9306,0.5205
11,0.2597,0.9306,0.5205
12,0.2531,0.9306,0.5147
13,0.2494,0.9306,0.5144
14,0.2506,0.9306,0.5097
15,0.2488,0.9306,0.5207
16,0.2548,0.9306,0.4828
17,0.2567,0.9306,0.5267
18,0.2518,0.9306,0.5299
19,0.2514,0.9306,0.5362
20,0.2563,0.9306,0.5259
21,0.2529,0.9306,0.5313
22,0.2510,0.9306,0.5280
23,0.2494,0.9306,0.5315
24,0.2497,0.9306,0.5336
25,0.2513,0.9306,0.5315
26,0.2498,0.9306,0.5257
27,0.2503,0.9306,0.6235
28,0.2500,0.9306,0.5435
29,0.2511,0.9306,0.6243
30,0.2483,0.9306,0.5526
31,0.2484,0.9306,0.5433
32,0.2503,0.9306,0.5517
33,0.2510,0.9306,0.5549
34,0.2511,0.9306,0.5371
35,0.2487,0.9306,0.5271
36,0.2493,0.9306,0.5218
37,0.2487,0.9306,0.5157
38,0.2471,0.9306,0.5190
39,0.2501,0.9306,0.5187
40,0.2465,0.9306,0.5185
41,0.2533,0.9306,0.5187
42,0.2509,0.9306,0.4981
43,0.2498,0.9306,0.4914
44,0.2480,0.9306,0.5139
45,0.2489,0.9306,0.5151
46,0.2505,0.9306,0.5093
47,0.2533,0.9306,0.5177
48,0.2497,0.9306,0.5131
49,0.2536,0.9306,0.5080
50,0.2485,0.9306,0.4940
51,0.2513,0.9306,0.4914
52,0.2487,0.9306,0.4937
53,0.2497,0.9306,0.3840
54,0.2502,0.9306,0.4937
55,0.2503,0.9306,0.4890
56,0.2480,0.9306,0.4935
57,0.2471,0.9306,0.4966
58,0.2517,0.9306,0.4940
59,0.2486,0.9306,0.4905
60,0.2498,0.9306,0.5011
61,0.2476,0.9306,0.5006
62,0.2495,0.9306,0.4993
63,0.2486,0.9306,0.4996
64,0.2505,0.9306,0.5002
65,0.2487,0.9306,0.5035
66,0.2490,0.9306,0.5049
67,0.2489,0.9306,0.4991
68,0.2482,0.9306,0.4965
69,0.2495,0.9306,0.5039
70,0.2492,0.9306,0.5007
71,0.2497,0.9306,0.4998
72,0.2483,0.9306,0.4991
73,0.2485,0.9306,0.5000
74,0.2487,0.9306,0.5019
75,0.2479,0.9306,0.4905
76,0.2479,0.9306,0.3892
77,0.2500,0.9306,0.4722
78,0.2487,0.9306,0.4897
79,0.2489,0.9306,0.4989
80,0.2485,0.9306,0.5032
81,0.2481,0.9306,0.4974
82,0.2477,0.9306,0.4998
83,0.2479,0.9306,0.4995
84,0.2489,0.9306,0.5007
85,0.2485,0.9306,0.5027
86,0.2493,0.9306,0.5033
87,0.2479,0.9306,0.5013
88,0.2514,0.9306,0.4912
89,0.2478,0.9306,0.4254
90,0.2528,0.9306,0.4823
91,0.2480,0.9306,0.4997
92,0.2488,0.9306,0.5006
93,0.2490,0.9306,0.5011
94,0.2502,0.9306,0.4965
95,0.2486,0.9306,0.5030
96,0.2481,0.9306,0.5026
97,0.2486,0.9306,0.4996
98,0.2485,0.9306,0.5015
99,0.2486,0.9306,0.5017
100,0.2495,0.9306,0.4957
