Epoch,Loss,TestAcc,TestAuc
1,0.6513,0.7604,0.4832
2,0.5212,0.7604,0.4781
3,0.5181,0.7604,0.4774
4,0.5113,0.7604,0.4820
5,0.5008,0.7604,0.4962
6,0.5091,0.7604,0.5252
7,0.5001,0.7604,0.5090
8,0.5006,0.7604,0.5125
9,0.5062,0.7604,0.5319
10,0.4993,0.7604,0.5759
11,0.4975,0.7604,0.5143
12,0.5007,0.7604,0.5131
13,0.4976,0.7604,0.5043
14,0.5012,0.7604,0.5288
15,0.4985,0.7604,0.5275
16,0.5028,0.7604,0.5071
17,0.5011,0.7604,0.5417
18,0.4994,0.7604,0.6234
19,0.5001,0.7604,0.6058
20,0.4970,0.7604,0.5137
21,0.4996,0.7604,0.5796
22,0.4994,0.7604,0.5036
23,0.4980,0.7604,0.5134
24,0.4980,0.7604,0.4968
25,0.5218,0.7604,0.5063
26,0.5026,0.7604,0.4735
27,0.5001,0.7604,0.4782
28,0.4987,0.7604,0.4835
29,0.4998,0.7604,0.4954
30,0.4988,0.7604,0.4878
31,0.4973,0.7604,0.4949
32,0.4975,0.7604,0.4988
33,0.4988,0.7604,0.4860
34,0.4991,0.7604,0.4985
35,0.4989,0.7604,0.5020
36,0.4970,0.7604,0.4963
37,0.4982,0.7604,0.4573
38,0.4981,0.7604,0.4344
39,0.5014,0.7604,0.4886
40,0.4978,0.7604,0.4684
41,0.4956,0.7604,0.4743
42,0.4984,0.7604,0.4614
43,0.4986,0.7604,0.4747
44,0.4978,0.7604,0.4889
45,0.4978,0.7604,0.4899
46,0.4982,0.7604,0.4384
47,0.4982,0.7604,0.5067
48,0.5018,0.7604,0.5103
49,0.4986,0.7604,0.4890
50,0.4980,0.7604,0.4863
51,0.4987,0.7604,0.4874
52,0.5016,0.7604,0.5069
53,0.4966,0.7604,0.4849
54,0.4975,0.7604,0.4852
55,0.4967,0.7604,0.4726
56,0.4971,0.7604,0.5089
57,0.4974,0.7604,0.5109
58,0.4962,0.7604,0.5141
59,0.4946,0.7604,0.5126
60,0.4968,0.7604,0.5118
61,0.4970,0.7604,0.5126
62,0.4960,0.7604,0.5140
63,0.4969,0.7604,0.5140
64,0.4966,0.7604,0.5166
65,0.4958,0.7604,0.5170
66,0.4969,0.7604,0.5159
67,0.4968,0.7604,0.5167
68,0.4970,0.7604,0.5187
69,0.4974,0.7604,0.5127
70,0.4964,0.7604,0.5215
71,0.4978,0.7604,0.5226
72,0.4977,0.7604,0.5191
73,0.4971,0.7604,0.5223
74,0.4971,0.7604,0.4769
75,0.4967,0.7604,0.4778
76,0.4966,0.7604,0.4778
77,0.4973,0.7604,0.4775
78,0.4969,0.7604,0.4773
79,0.4969,0.7604,0.4816
80,0.4967,0.7604,0.5372
81,0.4972,0.7604,0.5248
82,0.4964,0.7604,0.5246
83,0.4969,0.7604,0.5244
84,0.4968,0.7604,0.5250
85,0.4967,0.7604,0.5279
86,0.4969,0.7604,0.5420
87,0.4968,0.7604,0.5459
88,0.4970,0.7604,0.4746
89,0.4969,0.7604,0.4738
90,0.4970,0.7604,0.4718
91,0.4970,0.7604,0.5268
92,0.4972,0.7604,0.5268
93,0.4964,0.7604,0.5269
94,0.4973,0.7604,0.5293
95,0.4969,0.7604,0.5273
96,0.4965,0.7604,0.5278
97,0.4967,0.7604,0.5289
98,0.4967,0.7604,0.5287
99,0.4965,0.7604,0.5287
100,0.4962,0.7604,0.5286
