Epoch,Loss,TestAcc,TestAuc
1,0.5670,0.7674,0.4905
2,0.4702,0.7674,0.4999
3,0.4703,0.7674,0.5040
4,0.4748,0.7674,0.5063
5,0.4665,0.7674,0.4931
6,0.4710,0.7674,0.5202
7,0.4636,0.7674,0.5008
8,0.4636,0.7674,0.5039
9,0.4662,0.7674,0.4980
10,0.4730,0.7674,0.4905
11,0.4683,0.7674,0.4948
12,0.4663,0.7674,0.4817
13,0.4682,0.7674,0.5155
14,0.4625,0.7674,0.5096
15,0.4616,0.7674,0.5106
16,0.4630,0.7674,0.5138
17,0.4628,0.7674,0.5144
18,0.4626,0.7674,0.5587
19,0.4618,0.7674,0.5189
20,0.4633,0.7674,0.5184
21,0.4626,0.7674,0.4991
22,0.4629,0.7674,0.5261
23,0.4610,0.7674,0.5375
24,0.4605,0.7674,0.5095
25,0.4611,0.7674,0.5092
26,0.4619,0.7674,0.5204
27,0.4625,0.7674,0.5019
28,0.4617,0.7674,0.4935
29,0.4644,0.7674,0.4979
30,0.4624,0.7674,0.4950
31,0.4612,0.7674,0.4967
32,0.4619,0.7674,0.4995
33,0.4605,0.7674,0.4986
34,0.4610,0.7674,0.4986
35,0.4600,0.7674,0.5004
36,0.4592,0.7674,0.5015
37,0.4622,0.7674,0.5012
38,0.4598,0.7674,0.5050
39,0.4607,0.7674,0.5061
40,0.4607,0.7674,0.5020
41,0.4571,0.7674,0.5010
42,0.4623,0.7674,0.4963
43,0.4617,0.7674,0.4931
44,0.4613,0.7674,0.5036
45,0.4606,0.7674,0.5060
46,0.4596,0.7674,0.5044
47,0.4597,0.7674,0.5040
48,0.4599,0.7674,0.5012
49,0.4592,0.7674,0.5000
50,0.4592,0.7674,0.5028
51,0.4626,0.7674,0.5023
52,0.4609,0.7674,0.5009
53,0.4609,0.7674,0.4838
54,0.4607,0.7674,0.5247
55,0.4609,0.7674,0.5028
56,0.4612,0.7674,0.5044
57,0.4612,0.7674,0.5065
58,0.4609,0.7674,0.5197
59,0.4606,0.7674,0.5122
60,0.4600,0.7674,0.5138
61,0.4610,0.7674,0.5182
62,0.4615,0.7674,0.5190
63,0.4608,0.7674,0.5670
64,0.4606,0.7674,0.4952
65,0.4616,0.7674,0.6455
66,0.4611,0.7674,0.5196
67,0.4606,0.7674,0.5316
68,0.4607,0.7674,0.6671
69,0.4610,0.7674,0.5220
70,0.4599,0.7674,0.5331
71,0.4619,0.7674,0.6354
72,0.4608,0.7674,0.5271
73,0.4592,0.7674,0.6290
74,0.4596,0.7674,0.5206
75,0.4607,0.7674,0.5617
76,0.4602,0.7674,0.5751
77,0.4617,0.7674,0.5662
78,0.4605,0.7674,0.5174
79,0.4613,0.7674,0.5928
80,0.4610,0.7674,0.5141
81,0.4602,0.7674,0.4902
82,0.4617,0.7674,0.5166
83,0.4606,0.7674,0.6018
84,0.4611,0.7674,0.5187
85,0.4610,0.7674,0.5161
86,0.4605,0.7674,0.5183
87,0.4605,0.7674,0.5190
88,0.4609,0.7674,0.5171
89,0.4608,0.7674,0.5184
90,0.4603,0.7674,0.5177
91,0.4603,0.7674,0.5205
92,0.4604,0.7674,0.5183
93,0.4597,0.7674,0.5210
94,0.4650,0.7674,0.5114
95,0.4609,0.7674,0.4864
96,0.4613,0.7674,0.5382
97,0.4603,0.7674,0.5174
98,0.4620,0.7674,0.5162
99,0.4610,0.7674,0.5153
100,0.4607,0.7674,0.5149
