Epoch,Loss,TestAcc,TestAuc
1,0.7765,0.5590,0.5236
2,0.7020,0.5590,0.5272
3,0.6965,0.5590,0.5388
4,0.6848,0.5590,0.4881
5,0.6874,0.5590,0.4525
6,0.6862,0.5590,0.5219
7,0.6932,0.5590,0.5202
8,0.6910,0.5590,0.5214
9,0.6920,0.5590,0.5163
10,0.6861,0.5590,0.4330
11,0.6870,0.5590,0.5685
12,0.6859,0.5590,0.5556
13,0.6884,0.5590,0.6047
14,0.6869,0.5590,0.5196
15,0.6856,0.5590,0.5049
16,0.6860,0.5590,0.5513
17,0.6859,0.5590,0.4743
18,0.6868,0.5035,0.4781
19,0.6864,0.5590,0.4854
20,0.6869,0.5590,0.5225
21,0.6869,0.5590,0.4940
22,0.6844,0.5590,0.4801
23,0.6855,0.5590,0.4900
24,0.6877,0.5104,0.4825
25,0.6856,0.5590,0.4871
26,0.6859,0.5590,0.5354
27,0.6837,0.5590,0.5172
28,0.6849,0.5590,0.5078
29,0.6840,0.5590,0.4801
30,0.6860,0.5590,0.5483
31,0.6844,0.5590,0.5122
32,0.6849,0.5590,0.5276
33,0.6842,0.5590,0.5179
34,0.6846,0.5590,0.5125
35,0.6844,0.5590,0.5140
36,0.6847,0.5590,0.5144
37,0.6858,0.5590,0.4789
38,0.6851,0.5590,0.4541
39,0.6841,0.5590,0.4827
40,0.6859,0.5590,0.4857
41,0.6843,0.5590,0.4873
42,0.6857,0.5590,0.4830
43,0.6842,0.5590,0.5136
44,0.6841,0.5590,0.5129
45,0.6859,0.5590,0.5346
46,0.6853,0.5590,0.5157
47,0.6838,0.5590,0.4445
48,0.6846,0.5590,0.5083
49,0.6852,0.5590,0.4824
50,0.6833,0.5590,0.4828
51,0.6845,0.5590,0.4826
52,0.6843,0.5590,0.4808
53,0.6848,0.5590,0.5143
54,0.6839,0.5590,0.5160
55,0.6847,0.5590,0.4796
56,0.6842,0.5590,0.4900
57,0.6845,0.5590,0.4864
58,0.6846,0.5590,0.4907
59,0.6842,0.5590,0.4914
60,0.6843,0.5590,0.5170
61,0.6838,0.5590,0.5014
62,0.6846,0.5590,0.4861
63,0.6848,0.5590,0.5136
64,0.6846,0.5590,0.4877
65,0.6849,0.5590,0.5163
66,0.6845,0.5590,0.5145
67,0.6847,0.5590,0.4137
68,0.6839,0.5590,0.5062
69,0.6841,0.5590,0.4901
70,0.6840,0.5590,0.4880
71,0.6843,0.5590,0.4867
72,0.6846,0.5590,0.5123
73,0.6841,0.5590,0.6303
74,0.6839,0.5590,0.4887
75,0.6841,0.5590,0.4883
76,0.6840,0.5590,0.5885
77,0.6838,0.5590,0.4917
78,0.6840,0.5590,0.4950
79,0.6838,0.5590,0.4889
80,0.6845,0.5590,0.4930
81,0.6842,0.5590,0.4960
82,0.6846,0.5590,0.4890
83,0.6844,0.5590,0.4904
84,0.6841,0.5590,0.4862
85,0.6844,0.5590,0.5162
86,0.6859,0.5590,0.5750
87,0.6843,0.5590,0.5116
88,0.6843,0.5590,0.5107
89,0.6843,0.5590,0.5084
90,0.6839,0.5590,0.4885
91,0.6841,0.5590,0.5094
92,0.6841,0.5590,0.4905
93,0.6840,0.5590,0.4896
94,0.6841,0.5590,0.6194
95,0.6843,0.5590,0.5895
96,0.6841,0.5590,0.5891
97,0.6840,0.5590,0.4951
98,0.6841,0.5590,0.4916
99,0.6842,0.5590,0.4857
100,0.6839,0.5590,0.4643
