Epoch,Loss,TestAcc,TestAuc
1,0.7627,0.7812,0.4950
2,0.5263,0.7812,0.4987
3,0.4943,0.7812,0.5056
4,0.4990,0.7812,0.5104
5,0.4796,0.7812,0.5041
6,0.4877,0.7812,0.4378
7,0.4808,0.7812,0.4546
8,0.4774,0.7812,0.4296
9,0.4839,0.7812,0.4633
10,0.4758,0.7812,0.4745
11,0.4785,0.7812,0.4954
12,0.4792,0.7812,0.4970
13,0.4703,0.7812,0.3871
14,0.4725,0.7812,0.4276
15,0.4760,0.7812,0.4485
16,0.4739,0.7812,0.4672
17,0.4758,0.7812,0.4819
18,0.4827,0.7812,0.5789
19,0.4754,0.7812,0.5155
20,0.4749,0.7812,0.4796
21,0.4689,0.7812,0.4829
22,0.4734,0.7812,0.5192
23,0.4692,0.7812,0.4977
24,0.4742,0.7812,0.5127
25,0.4725,0.7812,0.5958
26,0.4700,0.7812,0.5309
27,0.4724,0.7812,0.5538
28,0.4721,0.7812,0.4674
29,0.4697,0.7812,0.4095
30,0.4726,0.7812,0.4760
31,0.4710,0.7812,0.4285
32,0.4753,0.7812,0.4702
33,0.4711,0.7812,0.4738
34,0.4725,0.7812,0.4722
35,0.4736,0.7812,0.4042
36,0.4764,0.7812,0.5262
37,0.4723,0.7812,0.5256
38,0.4716,0.7812,0.5263
39,0.4726,0.7812,0.5315
40,0.4705,0.7812,0.6072
41,0.4741,0.7812,0.5588
42,0.4710,0.7812,0.4706
43,0.4707,0.7812,0.4702
44,0.4725,0.7812,0.4746
45,0.4719,0.7812,0.4743
46,0.4706,0.7812,0.4750
47,0.4703,0.7812,0.4726
48,0.4698,0.7812,0.4744
49,0.4704,0.7812,0.4627
50,0.4711,0.7812,0.4656
51,0.4710,0.7812,0.4116
52,0.4703,0.7812,0.4688
53,0.4691,0.7812,0.4722
54,0.4680,0.7812,0.4795
55,0.4711,0.7812,0.3657
56,0.4693,0.7812,0.4796
57,0.4688,0.7812,0.4797
58,0.4699,0.7812,0.4754
59,0.4707,0.7812,0.4841
60,0.4703,0.7812,0.4831
61,0.4710,0.7812,0.4806
62,0.4684,0.7812,0.4802
63,0.4711,0.7812,0.4775
64,0.4699,0.7812,0.4640
65,0.4714,0.7812,0.4699
66,0.4705,0.7812,0.4719
67,0.4713,0.7812,0.4296
68,0.4698,0.7812,0.4808
69,0.4704,0.7812,0.4855
70,0.4701,0.7812,0.4865
71,0.4688,0.7812,0.4890
72,0.4703,0.7812,0.4885
73,0.4705,0.7812,0.4877
74,0.4713,0.7812,0.6138
75,0.4707,0.7812,0.4950
76,0.4701,0.7812,0.5021
77,0.4699,0.7812,0.5612
78,0.4706,0.7812,0.4912
79,0.4704,0.7812,0.4853
80,0.4692,0.7812,0.4837
81,0.4714,0.7812,0.4817
82,0.4705,0.7812,0.4820
83,0.4701,0.7812,0.4839
84,0.4697,0.7812,0.4875
85,0.4703,0.7812,0.4871
86,0.4697,0.7812,0.4859
87,0.4715,0.7812,0.4862
88,0.4703,0.7812,0.6173
89,0.4698,0.7812,0.4930
90,0.4706,0.7812,0.4919
91,0.4706,0.7812,0.5005
92,0.4702,0.7812,0.5653
93,0.4700,0.7812,0.5107
94,0.4706,0.7812,0.5092
95,0.4700,0.7812,0.4906
96,0.4704,0.7812,0.4961
97,0.4696,0.7812,0.5219
98,0.4713,0.7812,0.4974
99,0.4705,0.7812,0.5158
100,0.4703,0.7812,0.4971
