Epoch,Loss,TestAcc,TestAuc
1,0.6954,0.6910,0.4859
2,0.6248,0.6910,0.4833
3,0.6126,0.6910,0.4865
4,0.6028,0.6910,0.4899
5,0.6009,0.6910,0.4899
6,0.6095,0.6910,0.4920
7,0.5935,0.6910,0.4952
8,0.6081,0.6910,0.4988
9,0.6255,0.6910,0.5231
10,0.6043,0.6910,0.4982
11,0.5985,0.6910,0.4984
12,0.6007,0.6910,0.4959
13,0.5961,0.6910,0.4989
14,0.6018,0.6910,0.4982
15,0.5966,0.6910,0.5006
16,0.5963,0.6910,0.5384
17,0.5973,0.6910,0.5701
18,0.5966,0.6910,0.5945
19,0.5963,0.6910,0.5130
20,0.5970,0.6910,0.5065
21,0.5961,0.6910,0.5310
22,0.5965,0.6910,0.5167
23,0.5957,0.6910,0.5128
24,0.5979,0.6910,0.5008
25,0.5977,0.6910,0.5212
26,0.5964,0.6910,0.5192
27,0.5977,0.6910,0.5270
28,0.5961,0.6910,0.5184
29,0.5940,0.6910,0.5790
30,0.5961,0.6910,0.5469
31,0.5950,0.6910,0.5281
32,0.5944,0.6910,0.6129
33,0.5942,0.6910,0.5612
34,0.5945,0.6910,0.5539
35,0.5959,0.6910,0.5429
36,0.5953,0.6910,0.5147
37,0.5942,0.6910,0.5124
38,0.5938,0.6910,0.5106
39,0.6093,0.6910,0.4850
40,0.6034,0.6910,0.4877
41,0.6088,0.6910,0.5317
42,0.5985,0.6910,0.5279
43,0.5937,0.6910,0.5404
44,0.5950,0.6910,0.5044
45,0.5948,0.6910,0.4950
46,0.5942,0.6910,0.5149
47,0.5953,0.6910,0.4956
48,0.5946,0.6910,0.4956
49,0.5931,0.6910,0.6500
50,0.5962,0.6910,0.5340
51,0.5941,0.6910,0.5331
52,0.5938,0.6910,0.6521
53,0.5951,0.6910,0.5328
54,0.5939,0.6910,0.5402
55,0.5943,0.6910,0.5381
56,0.5948,0.6910,0.5067
57,0.5939,0.6910,0.5342
58,0.5945,0.6910,0.5360
59,0.5942,0.6910,0.4955
60,0.5943,0.6910,0.5115
61,0.5945,0.6910,0.5093
62,0.5940,0.6910,0.5330
63,0.5936,0.6910,0.5351
64,0.5931,0.6910,0.5352
65,0.5942,0.6910,0.5220
66,0.5939,0.6910,0.5012
67,0.5950,0.6910,0.4854
68,0.5945,0.6910,0.4841
69,0.5935,0.6910,0.4946
70,0.5946,0.6910,0.5363
71,0.5944,0.6910,0.5277
72,0.5954,0.6910,0.5356
73,0.5940,0.6910,0.4774
74,0.5942,0.6910,0.4935
75,0.5938,0.6910,0.6268
76,0.5933,0.6910,0.5324
77,0.5949,0.6910,0.4855
78,0.5936,0.6910,0.4759
79,0.5947,0.6910,0.4806
80,0.5937,0.6910,0.4800
81,0.5941,0.6910,0.4848
82,0.5946,0.6910,0.4931
83,0.5940,0.6910,0.5251
84,0.5928,0.6910,0.5242
85,0.5945,0.6910,0.5241
86,0.5942,0.6910,0.5240
87,0.5937,0.6910,0.5245
88,0.5940,0.6910,0.5240
89,0.5914,0.6910,0.5243
90,0.5948,0.6910,0.5240
91,0.5941,0.6910,0.5235
92,0.5941,0.6910,0.5248
93,0.5935,0.6910,0.5236
94,0.5937,0.6910,0.5231
95,0.5934,0.6910,0.5232
96,0.5945,0.6910,0.5232
97,0.5945,0.6910,0.5237
98,0.5942,0.6910,0.4758
99,0.5939,0.6910,0.4758
100,0.5938,0.6910,0.5233
