Epoch,Loss,TestAcc,TestAuc
1,0.7846,0.5644,0.5476
2,0.7071,0.5644,0.4918
3,0.6642,0.5644,0.5118
4,0.6609,0.5644,0.5237
5,0.6599,0.5644,0.5201
6,0.6613,0.5644,0.5169
7,0.6564,0.5644,0.5217
8,0.6665,0.5644,0.5185
9,0.6549,0.5644,0.5201
10,0.6521,0.5644,0.5221
11,0.6528,0.5644,0.5217
12,0.6656,0.5644,0.5154
13,0.6558,0.5644,0.5229
14,0.6542,0.5644,0.5193
15,0.6573,0.5644,0.5213
16,0.6520,0.5644,0.5237
17,0.6495,0.5644,0.5217
18,0.6549,0.5644,0.5161
19,0.6541,0.5644,0.5082
20,0.6553,0.5644,0.5189
21,0.6526,0.5644,0.5157
22,0.6507,0.5644,0.5094
23,0.6595,0.5644,0.5138
24,0.6575,0.5644,0.5305
25,0.6535,0.5644,0.5181
26,0.6501,0.5644,0.5074
27,0.6558,0.5644,0.5126
28,0.6532,0.5644,0.5185
29,0.6541,0.5644,0.5106
30,0.6578,0.5644,0.5094
31,0.6551,0.5644,0.5169
32,0.6577,0.5644,0.5201
33,0.6499,0.5644,0.5165
34,0.6501,0.5644,0.5165
35,0.6519,0.5644,0.5177
36,0.6537,0.5644,0.5118
37,0.6528,0.5644,0.5118
38,0.6501,0.5644,0.5098
39,0.6531,0.5644,0.4964
40,0.6519,0.5644,0.5072
41,0.6554,0.5644,0.4902
42,0.6560,0.5644,0.4858
43,0.6532,0.5644,0.5092
44,0.6500,0.5644,0.5225
45,0.6503,0.5644,0.5221
46,0.6532,0.5644,0.5189
47,0.6536,0.5644,0.5040
48,0.6529,0.5644,0.4655
49,0.6539,0.5644,0.4508
50,0.6511,0.5644,0.4795
51,0.6546,0.5644,0.5074
52,0.6521,0.5644,0.5253
53,0.6532,0.5644,0.5241
54,0.6535,0.5644,0.5193
55,0.6542,0.5644,0.4683
56,0.6514,0.5644,0.5217
57,0.6528,0.5644,0.5225
58,0.6524,0.5644,0.5181
59,0.6519,0.5644,0.4894
60,0.6532,0.5644,0.5213
61,0.6517,0.5644,0.5221
62,0.6531,0.5644,0.5249
63,0.6515,0.5644,0.5233
64,0.6507,0.5644,0.5229
65,0.6558,0.5644,0.5253
66,0.6533,0.5644,0.5253
67,0.6513,0.5644,0.5237
68,0.6519,0.5644,0.5225
69,0.6539,0.5644,0.5225
70,0.6514,0.5644,0.5225
71,0.6519,0.5644,0.5249
72,0.6517,0.5644,0.4831
73,0.6518,0.5644,0.4811
74,0.6514,0.5644,0.5213
75,0.6518,0.5644,0.4743
76,0.6516,0.5644,0.5229
77,0.6522,0.5644,0.4739
78,0.6514,0.5644,0.5140
79,0.6509,0.5644,0.5221
80,0.6525,0.5644,0.5154
81,0.6529,0.5644,0.4819
82,0.6508,0.5644,0.4787
83,0.6513,0.5644,0.5213
84,0.6521,0.5644,0.5371
85,0.6528,0.5644,0.4858
86,0.6535,0.5644,0.5245
87,0.6537,0.5644,0.5253
88,0.6518,0.5644,0.4884
89,0.6512,0.5644,0.5165
90,0.6502,0.5644,0.5233
91,0.6521,0.5644,0.5225
92,0.6519,0.5644,0.5209
93,0.6510,0.5644,0.5680
94,0.6516,0.5644,0.5165
95,0.6521,0.5644,0.5209
96,0.6514,0.5644,0.5185
97,0.6515,0.5644,0.5181
98,0.6510,0.5644,0.5217
99,0.6546,0.5644,0.5197
100,0.6522,0.5644,0.5150
