Epoch,Loss,TestAcc,TestAuc
1,0.6413,0.6535,0.6297
2,0.5948,0.6535,0.6400
3,0.5577,0.6535,0.6387
4,0.5726,0.6535,0.6379
5,0.5913,0.6535,0.6409
6,0.5771,0.6535,0.6387
7,0.5692,0.6535,0.6383
8,0.5829,0.6535,0.6379
9,0.5706,0.6535,0.6383
10,0.5631,0.6535,0.6383
11,0.5796,0.6535,0.6392
12,0.5743,0.6535,0.6422
13,0.5693,0.6535,0.6426
14,0.5604,0.6535,0.6448
15,0.5700,0.6535,0.6448
16,0.5661,0.6535,0.6457
17,0.5680,0.6535,0.6452
18,0.5686,0.6535,0.6439
19,0.5660,0.6535,0.6431
20,0.5745,0.6535,0.6426
21,0.5709,0.6535,0.6387
22,0.5624,0.6535,0.3825
23,0.5691,0.6535,0.6327
24,0.5649,0.6535,0.6383
25,0.5677,0.6535,0.6446
26,0.5652,0.6535,0.6422
27,0.5696,0.6535,0.6426
28,0.5620,0.6535,0.6446
29,0.5643,0.6535,0.6465
30,0.5630,0.6535,0.6483
31,0.5636,0.6535,0.6491
32,0.5655,0.6535,0.6496
33,0.5669,0.6535,0.6483
34,0.5667,0.6535,0.6461
35,0.5601,0.6535,0.6470
36,0.5661,0.6535,0.6470
37,0.5628,0.6535,0.6483
38,0.5647,0.6535,0.6478
39,0.5588,0.6535,0.6513
40,0.5623,0.6535,0.6509
41,0.5662,0.6535,0.6448
42,0.5644,0.6535,0.6509
43,0.5644,0.6535,0.6513
44,0.5612,0.6535,0.6496
45,0.5669,0.6535,0.6483
46,0.5595,0.6535,0.3682
47,0.5578,0.6535,0.6409
48,0.5655,0.6535,0.6426
49,0.5663,0.6535,0.6413
50,0.5654,0.6535,0.6457
51,0.5628,0.6535,0.6457
52,0.5589,0.6535,0.6444
53,0.5643,0.6535,0.6457
54,0.5625,0.6535,0.6444
55,0.5614,0.6535,0.6435
56,0.5651,0.6535,0.6422
57,0.5643,0.6535,0.6409
58,0.5617,0.6535,0.6400
59,0.5682,0.6535,0.6409
60,0.5620,0.6535,0.6379
61,0.5630,0.6535,0.6400
62,0.5625,0.6535,0.6413
63,0.5630,0.6535,0.6413
64,0.5665,0.6535,0.6357
65,0.5631,0.6535,0.6374
66,0.5634,0.6535,0.6370
67,0.5628,0.6535,0.6353
68,0.5641,0.6535,0.6331
69,0.5621,0.6535,0.6370
70,0.5601,0.6535,0.6409
71,0.5636,0.6535,0.6400
72,0.5625,0.6535,0.6379
73,0.5619,0.6535,0.6409
74,0.5616,0.6535,0.6409
75,0.5662,0.6535,0.6379
76,0.5642,0.6535,0.6424
77,0.5627,0.6535,0.6387
78,0.5614,0.6535,0.6379
79,0.5632,0.6535,0.6379
80,0.5650,0.6535,0.6379
81,0.5638,0.6535,0.6400
82,0.5633,0.6535,0.6418
83,0.5611,0.6535,0.6392
84,0.5648,0.6535,0.6374
85,0.5603,0.6535,0.6383
86,0.5628,0.6535,0.6383
87,0.5621,0.6535,0.6383
88,0.5642,0.6535,0.6361
89,0.5625,0.6535,0.6374
90,0.5628,0.6535,0.6370
91,0.5636,0.6535,0.6366
92,0.5605,0.6535,0.6370
93,0.5625,0.6535,0.6271
94,0.5614,0.6535,0.6249
95,0.5610,0.6535,0.6284
96,0.5632,0.6535,0.6318
97,0.5591,0.6535,0.6340
98,0.5617,0.6535,0.6249
99,0.5601,0.6535,0.6245
100,0.5633,0.6535,0.6340
