Epoch,Loss,TestAcc,TestAuc
1,0.7970,0.8900,0.6578
2,0.5404,0.8900,0.6588
3,0.5164,0.8900,0.6568
4,0.5000,0.8900,0.6568
5,0.4937,0.8900,0.6568
6,0.4756,0.8900,0.6568
7,0.4799,0.8900,0.6588
8,0.4712,0.8900,0.6588
9,0.4637,0.8900,0.6588
10,0.4769,0.8900,0.6588
11,0.4783,0.8900,0.6578
12,0.4581,0.8900,0.6588
13,0.4526,0.8900,0.6578
14,0.4887,0.8900,0.6588
15,0.4620,0.8900,0.6599
16,0.4477,0.8900,0.6599
17,0.4705,0.8900,0.6588
18,0.4545,0.8900,0.6599
19,0.4747,0.8900,0.6599
20,0.4565,0.8900,0.6588
21,0.4555,0.8900,0.6609
22,0.4421,0.8900,0.6639
23,0.4553,0.8900,0.6639
24,0.4457,0.8900,0.6619
25,0.4512,0.8900,0.6650
26,0.4407,0.8900,0.6639
27,0.4575,0.8900,0.6629
28,0.4496,0.8900,0.6650
29,0.4576,0.8900,0.6619
30,0.4504,0.8900,0.6609
31,0.4504,0.8900,0.6609
32,0.4526,0.8900,0.6629
33,0.4523,0.8900,0.6588
34,0.4561,0.8900,0.6261
35,0.4510,0.8900,0.6517
36,0.4487,0.8900,0.6323
37,0.4526,0.8900,0.6558
38,0.4459,0.8900,0.6527
39,0.4536,0.8900,0.6517
40,0.4400,0.8900,0.6558
41,0.4477,0.8900,0.6517
42,0.4459,0.8900,0.6568
43,0.4502,0.8900,0.6619
44,0.4450,0.8900,0.6609
45,0.4459,0.8900,0.6599
46,0.4499,0.8900,0.6639
47,0.4541,0.8900,0.6425
48,0.4478,0.8900,0.6558
49,0.4480,0.8900,0.6374
50,0.4457,0.8900,0.5036
51,0.4531,0.8900,0.5955
52,0.4441,0.8900,0.3442
53,0.4488,0.8900,0.4188
54,0.4467,0.8900,0.3616
55,0.4508,0.8900,0.6680
56,0.4591,0.8900,0.3442
57,0.4451,0.8900,0.6599
58,0.4466,0.8900,0.5291
59,0.4446,0.8900,0.4249
60,0.4470,0.8900,0.5792
61,0.4472,0.8900,0.6435
62,0.4472,0.8900,0.3687
63,0.4482,0.8900,0.6558
64,0.4437,0.8900,0.6578
65,0.4482,0.8900,0.3412
66,0.4494,0.8900,0.3422
67,0.4446,0.8900,0.6588
68,0.4509,0.8900,0.3401
69,0.4482,0.8900,0.6619
70,0.4434,0.8900,0.6609
71,0.4449,0.8900,0.6588
72,0.4440,0.8900,0.6568
73,0.4428,0.8900,0.6588
74,0.4524,0.8900,0.6568
75,0.4515,0.8900,0.6558
76,0.4432,0.8900,0.6527
77,0.4466,0.8900,0.6241
78,0.4464,0.8900,0.3412
79,0.4453,0.8900,0.3279
80,0.4467,0.8900,0.3371
81,0.4462,0.8900,0.3412
82,0.4474,0.8900,0.3401
83,0.4458,0.8900,0.3361
84,0.4432,0.8900,0.4454
85,0.4456,0.8900,0.3453
86,0.4482,0.8900,0.6251
87,0.4442,0.8900,0.3422
88,0.4450,0.8900,0.6517
89,0.4456,0.8900,0.6558
90,0.4473,0.8900,0.6466
91,0.4448,0.8900,0.6609
92,0.4471,0.8900,0.3994
93,0.4445,0.8900,0.6088
94,0.4486,0.8900,0.5485
95,0.4442,0.8900,0.3453
96,0.4429,0.8900,0.6675
97,0.4450,0.8900,0.3943
98,0.4487,0.8900,0.6629
99,0.4470,0.8900,0.3453
100,0.4439,0.8900,0.6629
