Epoch,Loss,TestAcc,TestAuc
1,0.6910,0.8900,0.5455
2,0.5647,0.8900,0.5567
3,0.5627,0.8900,0.5516
4,0.5164,0.8900,0.5516
5,0.4873,0.8900,0.5475
6,0.4994,0.8900,0.5455
7,0.5092,0.8900,0.5495
8,0.4861,0.8900,0.5485
9,0.4781,0.8900,0.5465
10,0.4768,0.8900,0.5465
11,0.4664,0.8900,0.5444
12,0.4611,0.8900,0.5465
13,0.4716,0.8900,0.5475
14,0.4764,0.8900,0.5536
15,0.4557,0.8900,0.5495
16,0.4561,0.8900,0.5495
17,0.4672,0.8900,0.5628
18,0.4674,0.8900,0.4842
19,0.4740,0.8900,0.4597
20,0.4647,0.8900,0.4617
21,0.4565,0.8900,0.4413
22,0.4585,0.8900,0.2538
23,0.4708,0.8900,0.3544
24,0.4596,0.8900,0.5363
25,0.4613,0.8900,0.5424
26,0.4517,0.8900,0.5424
27,0.4572,0.8900,0.5424
28,0.4654,0.8900,0.5475
29,0.4545,0.8900,0.5598
30,0.4478,0.8900,0.5628
31,0.4609,0.8900,0.5608
32,0.4608,0.8900,0.5608
33,0.4511,0.8900,0.5608
34,0.4615,0.8900,0.5618
35,0.4540,0.8900,0.5598
36,0.4627,0.8900,0.5577
37,0.4530,0.8900,0.3647
38,0.4580,0.8900,0.3483
39,0.4502,0.8900,0.5608
40,0.4467,0.8900,0.5608
41,0.4520,0.8900,0.5679
42,0.4564,0.8900,0.5649
43,0.4536,0.8900,0.6006
44,0.4544,0.8900,0.5618
45,0.4580,0.8900,0.5618
46,0.4580,0.8900,0.5649
47,0.4553,0.8900,0.5577
48,0.4573,0.8900,0.4014
49,0.4520,0.8900,0.5260
50,0.4584,0.8900,0.3790
51,0.4543,0.8900,0.4249
52,0.4650,0.8900,0.3504
53,0.4502,0.8900,0.3299
54,0.4524,0.8900,0.3647
55,0.4553,0.8900,0.5485
56,0.4612,0.8900,0.5444
57,0.4524,0.8900,0.5434
58,0.4509,0.8900,0.5434
59,0.4514,0.8900,0.4688
60,0.4570,0.8900,0.5424
61,0.4582,0.8900,0.2513
62,0.4553,0.8900,0.5424
63,0.4490,0.8900,0.5424
64,0.4517,0.8900,0.5352
65,0.4502,0.8900,0.5414
66,0.4513,0.8900,0.5414
67,0.4613,0.8900,0.5414
68,0.4553,0.8900,0.5516
69,0.4502,0.8900,0.5577
70,0.4660,0.8900,0.3534
71,0.4625,0.8900,0.3453
72,0.4637,0.8900,0.3034
73,0.4508,0.8900,0.3463
74,0.4563,0.8900,0.3565
75,0.4509,0.8900,0.5434
76,0.4568,0.8900,0.3943
77,0.4552,0.8900,0.2646
78,0.4518,0.8900,0.2829
79,0.4521,0.8900,0.3483
80,0.4575,0.8900,0.3473
81,0.4595,0.8900,0.3453
82,0.4555,0.8900,0.3442
83,0.4606,0.8900,0.3442
84,0.4580,0.8900,0.5434
85,0.4487,0.8900,0.5516
86,0.4525,0.8900,0.5557
87,0.4516,0.8900,0.2768
88,0.4564,0.8900,0.5424
89,0.4582,0.8900,0.5506
90,0.4525,0.8900,0.5536
91,0.4536,0.8900,0.5536
92,0.4565,0.8900,0.5633
93,0.4571,0.8900,0.5598
94,0.4539,0.8900,0.5587
95,0.4529,0.8900,0.5567
96,0.4526,0.8900,0.5495
97,0.4518,0.8900,0.3575
98,0.4521,0.8900,0.5495
99,0.4605,0.8900,0.5536
100,0.4509,0.8900,0.4106
