Epoch,Loss,TestAcc,TestAuc
1,0.7303,0.6700,0.5278
2,0.6457,0.6700,0.5355
3,0.6303,0.6700,0.5432
4,0.6488,0.6700,0.5436
5,0.6270,0.6700,0.5459
6,0.6138,0.6700,0.5450
7,0.6319,0.6700,0.5470
8,0.6211,0.6700,0.4342
9,0.6178,0.6700,0.5450
10,0.6133,0.6700,0.5473
11,0.6114,0.6700,0.5455
12,0.6141,0.6700,0.5423
13,0.6103,0.6700,0.5337
14,0.6108,0.6700,0.5382
15,0.6176,0.6700,0.4362
16,0.6130,0.6700,0.5391
17,0.6086,0.6700,0.4383
18,0.6077,0.6700,0.4690
19,0.6068,0.6700,0.5459
20,0.6081,0.6700,0.4530
21,0.6120,0.6700,0.5482
22,0.6092,0.6700,0.5423
23,0.6081,0.6700,0.5464
24,0.6021,0.6700,0.5491
25,0.6089,0.6700,0.5495
26,0.6087,0.6700,0.5495
27,0.6069,0.6700,0.5500
28,0.6104,0.6700,0.5491
29,0.6048,0.6700,0.5563
30,0.6069,0.6700,0.5041
31,0.6121,0.6700,0.5943
32,0.6097,0.6700,0.5504
33,0.6082,0.6700,0.5495
34,0.6047,0.6700,0.5495
35,0.6122,0.6700,0.5434
36,0.6077,0.6700,0.5432
37,0.6107,0.6700,0.5418
38,0.6087,0.6700,0.5473
39,0.6071,0.6700,0.5468
40,0.6069,0.6700,0.5468
41,0.6058,0.6700,0.5441
42,0.6072,0.6700,0.5432
43,0.6043,0.6700,0.5459
44,0.6086,0.6700,0.5443
45,0.6100,0.6700,0.5360
46,0.6101,0.6700,0.4536
47,0.6059,0.6700,0.5378
48,0.6085,0.6700,0.4401
49,0.6074,0.6700,0.4383
50,0.6057,0.6700,0.4211
51,0.6128,0.6700,0.4342
52,0.6082,0.6700,0.5432
53,0.6074,0.6700,0.5070
54,0.6062,0.6700,0.5430
55,0.6080,0.6700,0.5430
56,0.6053,0.6700,0.5441
57,0.6076,0.6700,0.5436
58,0.6099,0.6700,0.5432
59,0.6074,0.6700,0.5434
60,0.6080,0.6700,0.5443
61,0.6057,0.6700,0.5473
62,0.6075,0.6700,0.5473
63,0.6096,0.6700,0.5466
64,0.6063,0.6700,0.5479
65,0.6094,0.6700,0.5427
66,0.6057,0.6700,0.5432
67,0.6089,0.6700,0.5425
68,0.6076,0.6700,0.5414
69,0.6060,0.6700,0.4826
70,0.6083,0.6700,0.5423
71,0.6043,0.6700,0.5459
72,0.6085,0.6700,0.5020
73,0.6068,0.6700,0.4993
74,0.6077,0.6700,0.5086
75,0.6080,0.6700,0.5052
76,0.6098,0.6700,0.5027
77,0.6045,0.6700,0.4790
78,0.6066,0.6700,0.5436
79,0.6063,0.6700,0.5432
80,0.6040,0.6700,0.5445
81,0.6030,0.6700,0.5427
82,0.6118,0.6700,0.5278
83,0.6076,0.6700,0.4776
84,0.6094,0.6700,0.4672
85,0.6037,0.6700,0.5016
86,0.6069,0.6700,0.5414
87,0.6095,0.6700,0.5183
88,0.6040,0.6700,0.5455
89,0.6087,0.6700,0.5459
90,0.6064,0.6700,0.5482
91,0.6130,0.6700,0.5477
92,0.6067,0.6700,0.5436
93,0.6091,0.6700,0.5414
94,0.6087,0.6700,0.5432
95,0.6070,0.6700,0.5427
96,0.6059,0.6700,0.5450
97,0.6064,0.6700,0.5034
98,0.6063,0.6700,0.4604
99,0.6069,0.6700,0.4595
100,0.6037,0.6700,0.4686
