Epoch,Loss,TestAcc,TestAuc
1,0.6341,0.7600,0.5806
2,0.5814,0.7600,0.5927
3,0.5613,0.7600,0.5910
4,0.5647,0.7600,0.5850
5,0.5745,0.7600,0.5855
6,0.5721,0.7600,0.5899
7,0.5464,0.7600,0.5905
8,0.5582,0.7600,0.5894
9,0.5674,0.7600,0.5899
10,0.5549,0.7600,0.5894
11,0.5585,0.7600,0.5894
12,0.5574,0.7600,0.5877
13,0.5440,0.7600,0.5888
14,0.5571,0.7600,0.5888
15,0.5596,0.7600,0.5877
16,0.5560,0.7600,0.5888
17,0.5500,0.7600,0.5888
18,0.5539,0.7600,0.5883
19,0.5593,0.7600,0.5987
20,0.5586,0.7600,0.5318
21,0.5523,0.7600,0.5855
22,0.5514,0.7600,0.5855
23,0.5557,0.7600,0.5850
24,0.5457,0.7600,0.5839
25,0.5518,0.7600,0.5861
26,0.5449,0.7600,0.5872
27,0.5579,0.7600,0.5866
28,0.5532,0.7600,0.5779
29,0.5493,0.7600,0.5872
30,0.5560,0.7600,0.5822
31,0.5538,0.7600,0.5696
32,0.5477,0.7600,0.5877
33,0.5502,0.7600,0.5883
34,0.5469,0.7600,0.5899
35,0.5514,0.7600,0.5916
36,0.5494,0.7600,0.5899
37,0.5525,0.7600,0.5877
38,0.5487,0.7600,0.5836
39,0.5498,0.7600,0.5746
40,0.5525,0.7600,0.5905
41,0.5516,0.7600,0.4156
42,0.5492,0.7600,0.6288
43,0.5511,0.7600,0.5899
44,0.5493,0.7600,0.4282
45,0.5501,0.7600,0.4167
46,0.5515,0.7600,0.5800
47,0.5487,0.7600,0.5844
48,0.5471,0.7600,0.5861
49,0.5485,0.7600,0.5872
50,0.5557,0.7600,0.5866
51,0.5479,0.7600,0.5877
52,0.5503,0.7600,0.5877
53,0.5519,0.7600,0.5877
54,0.5474,0.7600,0.5877
55,0.5484,0.7600,0.5855
56,0.5488,0.7600,0.5833
57,0.5490,0.7600,0.5367
58,0.5508,0.7600,0.5762
59,0.5480,0.7600,0.5800
60,0.5476,0.7600,0.5828
61,0.5488,0.7600,0.5833
62,0.5488,0.7600,0.5861
63,0.5498,0.7600,0.5833
64,0.5493,0.7600,0.5839
65,0.5509,0.7600,0.5789
66,0.5485,0.7600,0.5839
67,0.5492,0.7600,0.5844
68,0.5505,0.7600,0.5844
69,0.5506,0.7600,0.4084
70,0.5489,0.7600,0.5625
71,0.5497,0.7600,0.5811
72,0.5482,0.7600,0.4134
73,0.5493,0.7600,0.4134
74,0.5507,0.7600,0.4117
75,0.5494,0.7600,0.4128
76,0.5482,0.7600,0.4139
77,0.5496,0.7600,0.4117
78,0.5495,0.7600,0.4128
79,0.5486,0.7600,0.4161
80,0.5485,0.7600,0.4139
81,0.5494,0.7600,0.4090
82,0.5501,0.7600,0.4989
83,0.5494,0.7600,0.4312
84,0.5480,0.7600,0.4101
85,0.5484,0.7600,0.4112
86,0.5487,0.7600,0.4978
87,0.5482,0.7600,0.5271
88,0.5487,0.7600,0.5828
89,0.5492,0.7600,0.5537
90,0.5492,0.7600,0.4016
91,0.5496,0.7600,0.4112
92,0.5484,0.7600,0.4090
93,0.5473,0.7600,0.4095
94,0.5500,0.7600,0.4117
95,0.5471,0.7600,0.4117
96,0.5484,0.7600,0.4117
97,0.5479,0.7600,0.4112
98,0.5486,0.7600,0.4117
99,0.5488,0.7600,0.4106
100,0.5494,0.7600,0.4084
