Epoch,Loss,TestAcc,TestAuc
1,0.6804,0.6702,0.5054
2,0.5841,0.6702,0.5136
3,0.5742,0.6702,0.5105
4,0.5737,0.6702,0.5064
5,0.5526,0.6702,0.5059
6,0.5774,0.6702,0.5059
7,0.5645,0.6702,0.5033
8,0.5631,0.6702,0.5033
9,0.5622,0.6702,0.6764
10,0.5570,0.6702,0.5049
11,0.5636,0.6702,0.5120
12,0.5633,0.6702,0.5084
13,0.5650,0.6702,0.5120
14,0.5524,0.6702,0.5105
15,0.5570,0.6702,0.5141
16,0.5574,0.6702,0.4967
17,0.5605,0.6702,0.5100
18,0.5716,0.6702,0.4987
19,0.5692,0.6702,0.5105
20,0.5567,0.6702,0.4900
21,0.5647,0.6702,0.4890
22,0.5720,0.6702,0.5136
23,0.5627,0.6702,0.4951
24,0.5651,0.6702,0.5003
25,0.5571,0.6702,0.4890
26,0.5598,0.6702,0.4905
27,0.5541,0.6702,0.4890
28,0.5567,0.6702,0.4895
29,0.5618,0.6702,0.4900
30,0.5605,0.6702,0.4910
31,0.5627,0.6702,0.4916
32,0.5605,0.6702,0.4910
33,0.5591,0.6702,0.4895
34,0.5566,0.6702,0.4890
35,0.5594,0.6702,0.4926
36,0.5572,0.6702,0.4936
37,0.5623,0.6702,0.4941
38,0.5538,0.6702,0.4905
39,0.5577,0.6702,0.4890
40,0.5639,0.6702,0.4880
41,0.5535,0.6702,0.4880
42,0.5603,0.6702,0.4890
43,0.5581,0.6702,0.4895
44,0.5563,0.6702,0.4885
45,0.5592,0.6702,0.4885
46,0.5603,0.6702,0.4890
47,0.5619,0.6702,0.4890
48,0.5637,0.6702,0.4875
49,0.5586,0.6702,0.4890
50,0.5624,0.6702,0.4890
51,0.5544,0.6702,0.4900
52,0.5551,0.6702,0.4890
53,0.5558,0.6702,0.4895
54,0.5620,0.6702,0.4895
55,0.5610,0.6702,0.5059
56,0.5588,0.6702,0.5090
57,0.5592,0.6702,0.5115
58,0.5578,0.6702,0.5341
59,0.5575,0.6702,0.5376
60,0.5561,0.6702,0.4890
61,0.5576,0.6702,0.4757
62,0.5593,0.6702,0.4690
63,0.5579,0.6702,0.4890
64,0.5584,0.6702,0.4895
65,0.5537,0.6702,0.4905
66,0.5584,0.6702,0.4885
67,0.5593,0.6702,0.4900
68,0.5580,0.6702,0.4910
69,0.5560,0.6702,0.4905
70,0.5570,0.6702,0.4951
71,0.5564,0.6702,0.4921
72,0.5624,0.6702,0.4956
73,0.5594,0.6702,0.4885
74,0.5635,0.6702,0.4270
75,0.5628,0.6702,0.4173
76,0.5571,0.6702,0.4875
77,0.5585,0.6702,0.4905
78,0.5575,0.6702,0.4910
79,0.5581,0.6702,0.4762
80,0.5560,0.6702,0.4895
81,0.5582,0.6702,0.4890
82,0.5590,0.6702,0.4895
83,0.5574,0.6702,0.4890
84,0.5596,0.6702,0.4895
85,0.5579,0.6702,0.4916
86,0.5567,0.6702,0.4916
87,0.5553,0.6702,0.4890
88,0.5573,0.6702,0.4926
89,0.5568,0.6702,0.5433
90,0.5593,0.6702,0.5090
91,0.5602,0.6702,0.4941
92,0.5614,0.6702,0.4890
93,0.5603,0.6702,0.5120
94,0.5597,0.6702,0.5131
95,0.5577,0.6702,0.5668
96,0.5599,0.6702,0.4905
97,0.5562,0.6702,0.4885
98,0.5588,0.6702,0.5110
99,0.5586,0.6702,0.4885
100,0.5577,0.6702,0.4808
