Epoch,Loss,TestAcc,TestAuc
1,0.6847,0.6400,0.5423
2,0.6207,0.6400,0.5408
3,0.6123,0.6400,0.5421
4,0.6123,0.6400,0.5404
5,0.5999,0.6400,0.5404
6,0.5874,0.6400,0.5404
7,0.6003,0.6400,0.5343
8,0.5922,0.6400,0.5408
9,0.5931,0.6400,0.5397
10,0.6019,0.6400,0.5247
11,0.5971,0.6400,0.5434
12,0.5896,0.6400,0.5430
13,0.5895,0.6400,0.5419
14,0.5948,0.6400,0.5443
15,0.5915,0.6400,0.5430
16,0.5875,0.6400,0.5425
17,0.5873,0.6400,0.5443
18,0.5945,0.6400,0.5386
19,0.5890,0.6400,0.5443
20,0.5880,0.6400,0.5260
21,0.5842,0.6400,0.4475
22,0.5949,0.6400,0.5434
23,0.5866,0.6400,0.5423
24,0.5910,0.6400,0.5417
25,0.5903,0.6400,0.5282
26,0.5878,0.6400,0.5434
27,0.5907,0.6400,0.5449
28,0.5875,0.6400,0.4579
29,0.5967,0.6400,0.5469
30,0.5865,0.6400,0.5243
31,0.5887,0.6400,0.4499
32,0.5930,0.6400,0.4477
33,0.5934,0.6400,0.5432
34,0.5891,0.6400,0.4575
35,0.5916,0.6400,0.4575
36,0.5950,0.6400,0.5508
37,0.5850,0.6400,0.5475
38,0.5842,0.6400,0.5499
39,0.5886,0.6400,0.5503
40,0.5868,0.6400,0.5503
41,0.5909,0.6400,0.5495
42,0.5918,0.6400,0.5490
43,0.5876,0.6400,0.5484
44,0.5823,0.6400,0.5480
45,0.5845,0.6400,0.5530
46,0.5889,0.6400,0.5512
47,0.5851,0.6400,0.5495
48,0.5892,0.6400,0.5527
49,0.5842,0.6400,0.5525
50,0.5876,0.6400,0.5519
51,0.5882,0.6400,0.5508
52,0.5904,0.6400,0.5499
53,0.5900,0.6400,0.5508
54,0.5913,0.6400,0.5649
55,0.5858,0.6400,0.5523
56,0.5885,0.6400,0.5508
57,0.5856,0.6400,0.5499
58,0.5875,0.6400,0.5514
59,0.5855,0.6400,0.5473
60,0.5896,0.6400,0.5705
61,0.5884,0.6400,0.4714
62,0.5875,0.6400,0.5547
63,0.5856,0.6400,0.5560
64,0.5884,0.6400,0.5503
65,0.5861,0.6400,0.5551
66,0.5872,0.6400,0.5545
67,0.5877,0.6400,0.5645
68,0.5890,0.6400,0.5614
69,0.5896,0.6400,0.5560
70,0.5866,0.6400,0.5508
71,0.5860,0.6400,0.4731
72,0.5880,0.6400,0.4609
73,0.5877,0.6400,0.4607
74,0.5846,0.6400,0.5530
75,0.5892,0.6400,0.5608
76,0.5857,0.6400,0.5560
77,0.5868,0.6400,0.5512
78,0.5917,0.6400,0.5538
79,0.5891,0.6400,0.5564
80,0.5848,0.6400,0.5532
81,0.5864,0.6400,0.5516
82,0.5877,0.6400,0.4688
83,0.5863,0.6400,0.5586
84,0.5853,0.6400,0.5143
85,0.5887,0.6400,0.4577
86,0.5851,0.6400,0.4594
87,0.5859,0.6400,0.5712
88,0.5904,0.6400,0.4575
89,0.5880,0.6400,0.4855
90,0.5873,0.6400,0.4607
91,0.5874,0.6400,0.4588
92,0.5837,0.6400,0.5460
93,0.5870,0.6400,0.5521
94,0.5860,0.6400,0.5699
95,0.5874,0.6400,0.4596
96,0.5858,0.6400,0.4570
97,0.5897,0.6400,0.4705
98,0.5869,0.6400,0.4592
99,0.5864,0.6400,0.4590
100,0.5869,0.6400,0.5564
