Epoch,Loss,TestAcc,TestAuc
1,0.4551,0.9667,0.3707
2,0.3316,0.9667,0.3621
3,0.3679,0.9667,0.3707
4,0.3267,0.9667,0.3707
5,0.3135,0.9667,0.3707
6,0.3169,0.9667,0.3707
7,0.2973,0.9667,0.3707
8,0.2906,0.9667,0.3793
9,0.2678,0.9667,0.3793
10,0.2812,0.9667,0.3707
11,0.2736,0.9667,0.3707
12,0.2736,0.9667,0.3707
13,0.2822,0.9667,0.3621
14,0.2697,0.9667,0.3707
15,0.2771,0.9667,0.3621
16,0.2729,0.9667,0.3621
17,0.2734,0.9667,0.3621
18,0.2606,0.9667,0.3621
19,0.2617,0.9667,0.3621
20,0.2886,0.9667,0.3534
21,0.2691,0.9667,0.3621
22,0.2631,0.9667,0.3621
23,0.2519,0.9667,0.3707
24,0.2696,0.9667,0.4052
25,0.2628,0.9667,0.4052
26,0.2661,0.9667,0.4052
27,0.2709,0.9667,0.3621
28,0.2639,0.9667,0.3793
29,0.2672,0.9667,0.3534
30,0.2482,0.9667,0.2672
31,0.2564,0.9667,0.1552
32,0.2611,0.9667,0.2845
33,0.2897,0.9667,0.2845
34,0.2634,0.9667,0.1121
35,0.2613,0.9667,0.3276
36,0.2537,0.9667,0.3621
37,0.2630,0.9667,0.3276
38,0.2559,0.9667,0.4397
39,0.2603,0.9667,0.3534
40,0.2513,0.9667,0.3448
41,0.2533,0.9667,0.3448
42,0.2646,0.9667,0.2414
43,0.2640,0.9667,0.3362
44,0.2543,0.9667,0.3190
45,0.2709,0.9667,0.2586
46,0.2622,0.9667,0.3017
47,0.2590,0.9667,0.0948
48,0.2691,0.9667,0.0776
49,0.2635,0.9667,0.5259
50,0.2661,0.9667,0.2414
51,0.2557,0.9667,0.1638
52,0.2569,0.9667,0.1379
53,0.2516,0.9667,0.3879
54,0.2692,0.9667,0.5690
55,0.2596,0.9667,0.4483
56,0.2611,0.9667,0.4483
57,0.2574,0.9667,0.4224
58,0.2564,0.9667,0.3448
59,0.2612,0.9667,0.3621
60,0.2731,0.9667,0.3621
61,0.2610,0.9667,0.0603
62,0.2589,0.9667,0.3190
63,0.2637,0.9667,0.1897
64,0.2592,0.9667,0.1034
65,0.2548,0.9667,0.3276
66,0.2644,0.9667,0.3793
67,0.2636,0.9667,0.4569
68,0.2451,0.9667,0.4914
69,0.2623,0.9667,0.4828
70,0.2577,0.9667,0.4828
71,0.2623,0.9667,0.4483
72,0.2566,0.9667,0.4224
73,0.2695,0.9667,0.4310
74,0.2517,0.9667,0.3621
75,0.2607,0.9667,0.2328
76,0.2624,0.9667,0.1207
77,0.2611,0.9667,0.3534
78,0.2577,0.9667,0.3621
79,0.2654,0.9667,0.1897
80,0.2550,0.9667,0.2759
81,0.2560,0.9667,0.1724
82,0.2514,0.9667,0.1810
83,0.2634,0.9667,0.2759
84,0.2517,0.9667,0.2069
85,0.2581,0.9667,0.1121
86,0.2650,0.9667,0.1293
87,0.2548,0.9667,0.1638
88,0.2663,0.9667,0.3966
89,0.2889,0.9667,0.2586
90,0.2525,0.9667,0.2759
91,0.2577,0.9667,0.3190
92,0.2614,0.9667,0.3621
93,0.2613,0.9667,0.4052
94,0.2550,0.9667,0.3793
95,0.2603,0.9667,0.3879
96,0.2529,0.9667,0.2414
97,0.2455,0.9667,0.3534
98,0.2573,0.9667,0.3707
99,0.2680,0.9667,0.3621
100,0.2611,0.9667,0.3448
