Epoch,Loss,TestAcc,TestAuc
1,0.7551,0.6500,0.6040
2,0.7088,0.6333,0.6169
3,0.6957,0.3833,0.6157
4,0.6945,0.3833,0.6193
5,0.6935,0.6333,0.6240
6,0.6825,0.6167,0.6099
7,0.6915,0.6167,0.6016
8,0.6869,0.6333,0.6075
9,0.6879,0.6333,0.6122
10,0.6905,0.6167,0.6169
11,0.6839,0.6167,0.6240
12,0.6849,0.6167,0.6275
13,0.6856,0.6167,0.6381
14,0.6921,0.6167,0.6322
15,0.6888,0.6167,0.6322
16,0.6838,0.6167,0.6251
17,0.6841,0.6167,0.6228
18,0.6807,0.6167,0.6204
19,0.6837,0.6333,0.6204
20,0.6847,0.6167,0.6251
21,0.6801,0.6167,0.6240
22,0.6856,0.6333,0.6228
23,0.6832,0.6333,0.6169
24,0.6862,0.6333,0.6181
25,0.6904,0.6167,0.6204
26,0.6814,0.6167,0.6169
27,0.6860,0.6167,0.6193
28,0.6902,0.6167,0.6228
29,0.6843,0.6167,0.6298
30,0.6865,0.6167,0.6322
31,0.6878,0.6167,0.6310
32,0.6857,0.6167,0.6310
33,0.6900,0.6167,0.6298
34,0.6871,0.6167,0.6287
35,0.6847,0.6500,0.6251
36,0.6790,0.6667,0.6251
37,0.6815,0.6333,0.6275
38,0.6896,0.6167,0.6298
39,0.6859,0.6167,0.6298
40,0.6784,0.6333,0.6287
41,0.6840,0.6167,0.6310
42,0.6831,0.6333,0.6298
43,0.6812,0.6167,0.6287
44,0.6902,0.6333,0.6298
45,0.6850,0.6333,0.6275
46,0.6809,0.6333,0.6251
47,0.6914,0.6167,0.6228
48,0.6892,0.6167,0.6234
49,0.6878,0.6167,0.6228
50,0.6878,0.6167,0.6204
51,0.6847,0.6167,0.6251
52,0.6880,0.6167,0.6275
53,0.6789,0.6167,0.6298
54,0.6867,0.6167,0.6322
55,0.6801,0.6167,0.6322
56,0.6795,0.6167,0.6334
57,0.6873,0.6167,0.6345
58,0.6886,0.6167,0.6369
59,0.6825,0.6167,0.6334
60,0.6928,0.6167,0.6369
61,0.6846,0.6167,0.6428
62,0.6867,0.6333,0.6287
63,0.6876,0.6167,0.6287
64,0.6812,0.6167,0.6298
65,0.6821,0.6167,0.6298
66,0.6780,0.6333,0.6287
67,0.6825,0.6667,0.6287
68,0.6822,0.6667,0.6228
69,0.6845,0.6333,0.6251
70,0.6781,0.6333,0.6193
71,0.6890,0.6333,0.6204
72,0.6884,0.6333,0.6216
73,0.6867,0.6333,0.6216
74,0.6918,0.6167,0.6181
75,0.6861,0.6167,0.6193
76,0.6866,0.6167,0.6157
77,0.6820,0.6167,0.6169
78,0.6840,0.6167,0.6146
79,0.6864,0.6167,0.6075
80,0.6878,0.6167,0.6193
81,0.6813,0.6167,0.6146
82,0.6921,0.6167,0.5817
83,0.6870,0.6167,0.6216
84,0.6839,0.6167,0.6240
85,0.6864,0.6167,0.3984
86,0.6858,0.6167,0.3725
87,0.6887,0.6167,0.3796
88,0.6864,0.6167,0.6769
89,0.6861,0.6167,0.6451
90,0.6841,0.6167,0.6381
91,0.6816,0.6167,0.6369
92,0.6797,0.6167,0.6357
93,0.6823,0.6333,0.6287
94,0.6876,0.6333,0.6298
95,0.6791,0.6333,0.6310
96,0.6896,0.6167,0.6310
97,0.6858,0.6167,0.6298
98,0.6813,0.6333,0.6298
99,0.6833,0.6333,0.6298
100,0.6910,0.6167,0.6322
