Epoch,Loss,TestAcc,TestAuc
1,0.7565,0.5593,0.5047
2,0.6892,0.5593,0.5023
3,0.6973,0.5593,0.4965
4,0.6876,0.5593,0.4977
5,0.6925,0.5593,0.4965
6,0.6803,0.5593,0.4965
7,0.6901,0.5593,0.4930
8,0.6870,0.5593,0.4953
9,0.6765,0.5593,0.5012
10,0.6763,0.5593,0.5012
11,0.6792,0.5593,0.5023
12,0.6729,0.5593,0.5012
13,0.6676,0.5593,0.5035
14,0.6688,0.5593,0.5000
15,0.6694,0.5593,0.5023
16,0.6686,0.5593,0.5000
17,0.6607,0.5593,0.4988
18,0.6673,0.5593,0.4930
19,0.6688,0.5593,0.5303
20,0.6723,0.5593,0.5105
21,0.6758,0.5593,0.4953
22,0.6639,0.5593,0.4988
23,0.6746,0.5593,0.4942
24,0.6618,0.4746,0.5268
25,0.6756,0.5593,0.5000
26,0.6650,0.5593,0.5023
27,0.6628,0.5593,0.5000
28,0.6685,0.5593,0.5000
29,0.6726,0.5593,0.5012
30,0.6653,0.5593,0.5058
31,0.6848,0.5593,0.5035
32,0.6707,0.5593,0.5012
33,0.6667,0.5593,0.5012
34,0.6643,0.5593,0.5023
35,0.6595,0.5593,0.5035
36,0.6749,0.5593,0.5035
37,0.6640,0.5593,0.5047
38,0.6623,0.5593,0.4953
39,0.6648,0.5593,0.4942
40,0.6748,0.5593,0.5000
41,0.6646,0.5593,0.4814
42,0.6714,0.5593,0.4953
43,0.6724,0.5593,0.5012
44,0.6714,0.5593,0.4977
45,0.6627,0.5593,0.5012
46,0.6709,0.5593,0.5012
47,0.6687,0.5593,0.4988
48,0.6645,0.5593,0.4848
49,0.6677,0.5593,0.4988
50,0.6608,0.5593,0.5000
51,0.6620,0.5593,0.4942
52,0.6680,0.5593,0.4953
53,0.6628,0.5593,0.4965
54,0.6701,0.5593,0.4988
55,0.6676,0.5593,0.5012
56,0.6663,0.5593,0.4965
57,0.6707,0.5593,0.4918
58,0.6691,0.5593,0.4883
59,0.6597,0.5593,0.4872
60,0.6664,0.5593,0.4942
61,0.6703,0.5593,0.4907
62,0.6755,0.5593,0.4872
63,0.6681,0.5593,0.4697
64,0.6653,0.5593,0.4918
65,0.6670,0.5593,0.4977
66,0.6738,0.5593,0.4953
67,0.6516,0.5593,0.5012
68,0.6692,0.5593,0.5035
69,0.6702,0.5593,0.4965
70,0.6652,0.5593,0.4965
71,0.6881,0.5593,0.4988
72,0.6661,0.5593,0.5012
73,0.6705,0.5593,0.5000
74,0.6703,0.5593,0.4988
75,0.6629,0.5593,0.4988
76,0.6666,0.5593,0.5023
77,0.6654,0.5593,0.5012
78,0.6730,0.5593,0.4697
79,0.6681,0.5593,0.4697
80,0.6626,0.5593,0.4697
81,0.6632,0.5593,0.4685
82,0.6661,0.5593,0.4977
83,0.6570,0.5593,0.4965
84,0.6643,0.5593,0.5000
85,0.6660,0.5593,0.5000
86,0.6623,0.5593,0.4953
87,0.6670,0.5593,0.4942
88,0.6659,0.5593,0.4965
89,0.6678,0.5593,0.4965
90,0.6646,0.5593,0.4953
91,0.6690,0.5593,0.4918
92,0.6653,0.5593,0.4895
93,0.6663,0.5593,0.4918
94,0.6629,0.5593,0.4918
95,0.6699,0.5593,0.4977
96,0.6664,0.5593,0.4988
97,0.6624,0.5593,0.4942
98,0.6648,0.5593,0.4907
99,0.6616,0.5593,0.4942
100,0.6671,0.5593,0.4895
