Epoch,Loss,TestAcc,TestAuc
1,0.5351,0.8500,0.7908
2,0.4637,0.8500,0.7887
3,0.4850,0.8500,0.7952
4,0.4224,0.8500,0.7930
5,0.4431,0.8500,0.7908
6,0.4199,0.8500,0.7930
7,0.4238,0.8500,0.7887
8,0.4251,0.8500,0.7865
9,0.3951,0.8500,0.7865
10,0.4455,0.8500,0.7865
11,0.4203,0.8500,0.7865
12,0.4404,0.8500,0.7887
13,0.4211,0.8500,0.7865
14,0.4148,0.8500,0.7908
15,0.4021,0.8500,0.7908
16,0.3980,0.8500,0.7930
17,0.4176,0.8500,0.7930
18,0.4092,0.8500,0.7930
19,0.4113,0.8500,0.7930
20,0.4008,0.8500,0.7930
21,0.4056,0.8500,0.7930
22,0.4005,0.8500,0.7930
23,0.4299,0.8500,0.7930
24,0.4008,0.8500,0.7930
25,0.4113,0.8500,0.7930
26,0.4012,0.8500,0.7952
27,0.4091,0.8500,0.7952
28,0.4223,0.8500,0.7974
29,0.4085,0.8500,0.7974
30,0.4053,0.8500,0.7930
31,0.3974,0.8500,0.7930
32,0.4055,0.8500,0.7930
33,0.4191,0.8500,0.7952
34,0.4103,0.8500,0.7778
35,0.4104,0.8500,0.7930
36,0.4052,0.8500,0.7908
37,0.4101,0.8500,0.7908
38,0.4136,0.8500,0.7952
39,0.4089,0.8500,0.7887
40,0.4040,0.8500,0.7887
41,0.4098,0.8500,0.7930
42,0.4071,0.8500,0.7908
43,0.4102,0.8500,0.7996
44,0.4010,0.8500,0.7952
45,0.4104,0.8500,0.6993
46,0.4117,0.8500,0.7560
47,0.4010,0.8500,0.7930
48,0.4011,0.8500,0.7908
49,0.4018,0.8500,0.7908
50,0.4151,0.8500,0.7887
51,0.4047,0.8500,0.7908
52,0.4090,0.8500,0.7908
53,0.3981,0.8500,0.7865
54,0.4027,0.8500,0.7865
55,0.4013,0.8500,0.7865
56,0.4059,0.8500,0.7865
57,0.4028,0.8500,0.7887
58,0.4014,0.8500,0.7865
59,0.4012,0.8500,0.7865
60,0.4058,0.8500,0.7865
61,0.3975,0.8500,0.7843
62,0.4019,0.8500,0.7865
63,0.4046,0.8500,0.7865
64,0.3995,0.8500,0.7887
65,0.4014,0.8500,0.7865
66,0.4066,0.8500,0.7908
67,0.4084,0.8500,0.7930
68,0.4052,0.8500,0.7930
69,0.4034,0.8500,0.7865
70,0.4012,0.8500,0.7865
71,0.4002,0.8500,0.7887
72,0.4009,0.8500,0.7887
73,0.4043,0.8500,0.7908
74,0.4017,0.8500,0.7887
75,0.4084,0.8500,0.7865
76,0.4023,0.8500,0.7865
77,0.4039,0.8500,0.7865
78,0.4027,0.8500,0.7843
79,0.4011,0.8500,0.7887
80,0.4086,0.8500,0.7865
81,0.3984,0.8500,0.7865
82,0.4041,0.8500,0.7865
83,0.4026,0.8500,0.7865
84,0.3999,0.8500,0.7865
85,0.4002,0.8500,0.7865
86,0.4040,0.8500,0.7887
87,0.4027,0.8500,0.7865
88,0.4039,0.8500,0.7865
89,0.3992,0.8500,0.7887
90,0.4011,0.8500,0.7865
91,0.4021,0.8500,0.7887
92,0.4090,0.8500,0.7843
93,0.4002,0.8500,0.7843
94,0.3977,0.8500,0.7843
95,0.4009,0.8500,0.7865
96,0.3978,0.8500,0.7865
97,0.3997,0.8500,0.7865
98,0.4024,0.8500,0.7887
99,0.4049,0.8500,0.7887
100,0.4014,0.8500,0.7843
