Epoch,Loss,TestAcc,TestAuc
1,0.6627,0.7167,0.7196
2,0.5297,0.7167,0.7209
3,0.5334,0.7167,0.7168
4,0.5478,0.7167,0.7086
5,0.5328,0.7167,0.7031
6,0.5184,0.7167,0.7004
7,0.5217,0.7167,0.6881
8,0.5097,0.7167,0.6826
9,0.5149,0.7167,0.6799
10,0.5276,0.7167,0.6772
11,0.5136,0.7167,0.6799
12,0.5144,0.7167,0.6881
13,0.5011,0.7167,0.6881
14,0.5031,0.7167,0.6867
15,0.5150,0.7167,0.6758
16,0.5216,0.7167,0.6744
17,0.5020,0.7167,0.6785
18,0.5094,0.7167,0.4979
19,0.5113,0.7167,0.6635
20,0.5147,0.7167,0.6334
21,0.5162,0.7167,0.4501
22,0.5252,0.7167,0.5198
23,0.5136,0.7167,0.6703
24,0.5108,0.7167,0.6785
25,0.5134,0.7167,0.6799
26,0.5051,0.7167,0.6785
27,0.5185,0.7167,0.6826
28,0.5140,0.7167,0.6881
29,0.5133,0.7167,0.6963
30,0.5083,0.7167,0.6922
31,0.5053,0.7167,0.6826
32,0.5068,0.7167,0.6744
33,0.5091,0.7167,0.6772
34,0.5145,0.7167,0.6607
35,0.5137,0.7167,0.6799
36,0.5092,0.7167,0.6813
37,0.5163,0.7167,0.6813
38,0.5078,0.7167,0.6813
39,0.5176,0.7167,0.6471
40,0.5112,0.7167,0.6471
41,0.5111,0.7167,0.6799
42,0.5083,0.7167,0.6813
43,0.5116,0.7167,0.6813
44,0.5124,0.7167,0.6813
45,0.5118,0.7167,0.6813
46,0.5116,0.7167,0.6594
47,0.5160,0.7167,0.6430
48,0.5114,0.7167,0.6813
49,0.5125,0.7167,0.6799
50,0.5114,0.7167,0.6813
51,0.5081,0.7167,0.6813
52,0.5034,0.7167,0.6361
53,0.5095,0.7167,0.5540
54,0.5086,0.7167,0.6416
55,0.5079,0.7167,0.6566
56,0.5132,0.7167,0.6566
57,0.5031,0.7167,0.6402
58,0.5149,0.7167,0.2791
59,0.5074,0.7167,0.2804
60,0.5072,0.7167,0.2681
61,0.5129,0.7167,0.6088
62,0.5046,0.7167,0.6457
63,0.5101,0.7167,0.5650
64,0.5048,0.7167,0.6320
65,0.5122,0.7167,0.2777
66,0.5084,0.7167,0.2599
67,0.5113,0.7167,0.2777
68,0.5060,0.7167,0.6813
69,0.5115,0.7167,0.6826
70,0.5105,0.7167,0.6799
71,0.5106,0.7167,0.3748
72,0.5097,0.7167,0.6279
73,0.5061,0.7167,0.2695
74,0.5113,0.7167,0.2695
75,0.5130,0.7167,0.6813
76,0.5091,0.7167,0.6813
77,0.5073,0.7167,0.6813
78,0.5136,0.7167,0.6813
79,0.5088,0.7167,0.6799
80,0.5070,0.7167,0.6813
81,0.5051,0.7167,0.6813
82,0.5096,0.7167,0.6813
83,0.5060,0.7167,0.6813
84,0.5073,0.7167,0.6813
85,0.5079,0.7167,0.6799
86,0.5094,0.7167,0.6799
87,0.5069,0.7167,0.6813
88,0.5080,0.7167,0.6813
89,0.5065,0.7167,0.6813
90,0.5088,0.7167,0.6826
91,0.5045,0.7167,0.6826
92,0.5054,0.7167,0.6826
93,0.5054,0.7167,0.6813
94,0.5104,0.7167,0.6607
95,0.5067,0.7167,0.6566
96,0.5080,0.7167,0.6813
97,0.5086,0.7167,0.6813
98,0.5056,0.7167,0.6799
99,0.5018,0.7167,0.6799
100,0.5092,0.7167,0.6799
