Epoch,Loss,TestAcc,TestAuc
1,2.1438,0.5455,0.8000
2,1.1437,0.5455,0.8000
3,1.7051,0.4545,0.2000
4,0.9453,0.4545,0.2000
5,0.9565,0.4545,0.2000
6,1.1288,0.4545,0.2000
7,1.4566,0.4545,0.2000
8,0.7809,0.4545,0.2333
9,0.8858,0.5455,0.8333
10,0.8942,0.5455,0.8000
11,0.7862,0.5455,0.8000
12,0.8650,0.8182,0.8333
13,1.1551,0.4545,0.2000
14,0.7321,0.4545,0.2333
15,0.7869,0.4545,0.2333
16,0.7325,0.4545,0.2333
17,0.7402,0.4545,0.2333
18,0.6732,0.4545,0.2333
19,0.6883,0.4545,0.2333
20,0.6860,0.4545,0.2333
21,0.6318,0.4545,0.2333
22,0.7260,0.4545,0.2333
23,0.6435,0.4545,0.2333
24,0.7008,0.4545,0.2333
25,0.6618,0.4545,0.2333
26,0.6721,0.4545,0.2333
27,0.6770,0.4545,0.2333
28,0.6405,0.4545,0.2333
29,0.6696,0.4545,0.2333
30,0.6644,0.4545,0.2333
31,0.6144,0.4545,0.2333
32,0.6619,0.4545,0.2333
33,0.7477,0.4545,0.2333
34,0.6859,0.4545,0.2333
35,0.6545,0.4545,0.2333
36,0.6757,0.4545,0.2333
37,0.6954,0.4545,0.2333
38,0.6598,0.4545,0.2333
39,0.7052,0.4545,0.2333
40,0.6918,0.4545,0.2333
41,0.6550,0.4545,0.2333
42,0.6676,0.4545,0.2333
43,0.6484,0.4545,0.2333
44,0.6977,0.4545,0.2333
45,0.6343,0.4545,0.2333
46,0.6567,0.4545,0.2333
47,0.6544,0.4545,0.2333
48,0.6765,0.4545,0.2333
49,0.6775,0.4545,0.2333
50,0.7021,0.4545,0.2333
51,0.6879,0.4545,0.2333
52,0.6756,0.4545,0.2333
53,0.6496,0.4545,0.2333
54,0.6705,0.4545,0.2333
55,0.6844,0.4545,0.2333
56,0.6787,0.4545,0.2333
57,0.6988,0.4545,0.2333
58,0.6288,0.4545,0.2333
59,0.6604,0.4545,0.2333
60,0.6689,0.4545,0.2333
61,0.6724,0.4545,0.2333
62,0.6508,0.4545,0.2333
63,0.6871,0.4545,0.2333
64,0.6717,0.4545,0.2333
65,0.6772,0.4545,0.2333
66,0.7088,0.4545,0.2333
67,0.6611,0.4545,0.2333
68,0.6425,0.4545,0.2333
69,0.6876,0.4545,0.2333
70,0.6423,0.4545,0.2333
71,0.6998,0.4545,0.2333
72,0.6716,0.4545,0.2333
73,0.6836,0.4545,0.2333
74,0.6801,0.4545,0.2333
75,0.6945,0.4545,0.2333
76,0.6761,0.4545,0.2333
77,0.6936,0.4545,0.2333
78,0.6062,0.4545,0.2333
79,0.6710,0.4545,0.2333
80,0.6240,0.4545,0.2333
81,0.6571,0.4545,0.2333
82,0.7190,0.4545,0.2333
83,0.6385,0.4545,0.2333
84,0.6604,0.4545,0.2333
85,0.7047,0.4545,0.2333
86,0.6571,0.4545,0.2333
87,0.7097,0.4545,0.2333
88,0.7002,0.4545,0.2333
89,0.6762,0.4545,0.2333
90,0.6553,0.4545,0.2333
91,0.6402,0.4545,0.2333
92,0.6928,0.4545,0.2333
93,0.6626,0.4545,0.2333
94,0.6598,0.4545,0.2333
95,0.6799,0.4545,0.2333
96,0.6734,0.4545,0.2333
97,0.6630,0.4545,0.2333
98,0.6551,0.4545,0.2333
99,0.6594,0.4545,0.2333
100,0.6853,0.4545,0.2333
