Epoch,Loss,TestAcc,TestAuc
1,0.7850,0.6879,0.5504
2,0.6833,0.6879,0.5520
3,0.6468,0.6879,0.5342
4,0.6336,0.6879,0.5562
5,0.6288,0.6879,0.5658
6,0.6415,0.6879,0.4011
7,0.6655,0.6879,0.3187
8,0.6410,0.6879,0.5016
9,0.6240,0.6879,0.5965
10,0.6340,0.6879,0.5675
11,0.6400,0.6879,0.6047
12,0.6265,0.6879,0.7013
13,0.6392,0.6879,0.5858
14,0.6286,0.6879,0.5710
15,0.6288,0.6879,0.5504
16,0.6233,0.6879,0.5567
17,0.6210,0.6879,0.5843
18,0.6237,0.6879,0.5717
19,0.6253,0.6879,0.5691
20,0.6252,0.6879,0.6289
21,0.6211,0.6879,0.5157
22,0.6262,0.6879,0.4731
23,0.6470,0.6879,0.5443
24,0.6408,0.6879,0.5387
25,0.6387,0.6879,0.5368
26,0.6358,0.6879,0.5382
27,0.6243,0.6879,0.5377
28,0.6268,0.6879,0.5347
29,0.6294,0.6879,0.5300
30,0.6300,0.6879,0.5269
31,0.6208,0.6879,0.5291
32,0.6239,0.6879,0.5293
33,0.6211,0.6879,0.5267
34,0.6200,0.6879,0.5227
35,0.6264,0.6879,0.5153
36,0.6191,0.6879,0.5274
37,0.6248,0.6879,0.5223
38,0.6246,0.6879,0.5183
39,0.6231,0.6879,0.5239
40,0.6274,0.6879,0.4079
41,0.6197,0.6879,0.4855
42,0.6250,0.6879,0.4461
43,0.6195,0.6879,0.4391
44,0.6258,0.6879,0.3438
45,0.6202,0.6879,0.3971
46,0.6234,0.6879,0.4376
47,0.6232,0.6879,0.4316
48,0.6242,0.6879,0.4285
49,0.6229,0.6879,0.4442
50,0.6243,0.6879,0.4468
51,0.6211,0.6879,0.4414
52,0.6232,0.6879,0.4492
53,0.6206,0.6879,0.4459
54,0.6324,0.6879,0.3388
55,0.6272,0.6879,0.4200
56,0.6217,0.6879,0.5232
57,0.6217,0.6879,0.5286
58,0.6236,0.6879,0.5312
59,0.6213,0.6879,0.5305
60,0.6273,0.6879,0.5101
61,0.6258,0.6879,0.5194
62,0.6245,0.6879,0.5281
63,0.6236,0.6879,0.5244
64,0.6216,0.6879,0.4295
65,0.6210,0.6879,0.4239
66,0.6246,0.6879,0.4028
67,0.6210,0.6879,0.3908
68,0.6219,0.6879,0.2709
69,0.6236,0.6879,0.2699
70,0.6207,0.6879,0.5077
71,0.6227,0.6879,0.3213
72,0.6183,0.6879,0.4120
73,0.6203,0.6879,0.4306
74,0.6203,0.6879,0.4358
75,0.6237,0.6879,0.4178
76,0.6241,0.6879,0.4241
77,0.6219,0.6879,0.4311
78,0.6240,0.6879,0.3472
79,0.6256,0.6879,0.5305
80,0.6223,0.6879,0.5391
81,0.6218,0.6879,0.4339
82,0.6221,0.6879,0.4435
83,0.6225,0.6879,0.4358
84,0.6209,0.6879,0.4370
85,0.6222,0.6879,0.4396
86,0.6206,0.6879,0.4387
87,0.6236,0.6879,0.4475
88,0.6222,0.6879,0.4274
89,0.6208,0.6879,0.4385
90,0.6203,0.6879,0.4431
91,0.6189,0.6879,0.4415
92,0.6339,0.6879,0.5216
93,0.6222,0.6879,0.4251
94,0.6226,0.6879,0.4351
95,0.6223,0.6879,0.4202
96,0.6221,0.6879,0.4351
97,0.6214,0.6879,0.3220
98,0.6216,0.6879,0.4813
99,0.6230,0.6879,0.5309
100,0.6222,0.6879,0.4182
