Epoch,Loss,TestAcc,TestAuc
1,0.6091,0.7714,0.4769
2,0.5645,0.7714,0.4769
3,0.5738,0.7714,0.4769
4,0.5314,0.7714,0.4769
5,0.5987,0.7714,0.4769
6,0.5614,0.7714,0.4769
7,0.5339,0.7714,0.4769
8,0.5636,0.7714,0.4769
9,0.6062,0.7714,0.4769
10,0.5348,0.7714,0.4769
11,0.5585,0.7714,0.4769
12,0.5175,0.7714,0.4769
13,0.5642,0.7714,0.4769
14,0.5419,0.7714,0.4769
15,0.5470,0.7714,0.4769
16,0.5194,0.7714,0.4769
17,0.5410,0.7714,0.4769
18,0.5673,0.7714,0.4769
19,0.5617,0.7714,0.4769
20,0.5249,0.7714,0.4769
21,0.5509,0.7714,0.4769
22,0.5579,0.7714,0.4769
23,0.5450,0.7714,0.4769
24,0.5591,0.7714,0.4769
25,0.5424,0.7714,0.4769
26,0.5389,0.7714,0.4769
27,0.5285,0.7714,0.4769
28,0.5129,0.7714,0.4769
29,0.5309,0.7714,0.4769
30,0.5488,0.7714,0.4769
31,0.5252,0.7714,0.4769
32,0.5415,0.7714,0.4769
33,0.5278,0.7714,0.4769
34,0.5444,0.7714,0.4769
35,0.5413,0.7714,0.4769
36,0.5289,0.7714,0.4722
37,0.5344,0.7714,0.4769
38,0.5392,0.7714,0.4769
39,0.5304,0.7714,0.4769
40,0.5371,0.7714,0.4769
41,0.5266,0.7714,0.4769
42,0.5296,0.7714,0.4769
43,0.5348,0.7714,0.4769
44,0.5388,0.7714,0.4769
45,0.5433,0.7714,0.4769
46,0.5459,0.7714,0.4769
47,0.5408,0.7714,0.4769
48,0.5386,0.7714,0.4769
49,0.5371,0.7714,0.4769
50,0.5391,0.7714,0.4769
51,0.5426,0.7714,0.4769
52,0.5387,0.7714,0.4722
53,0.5382,0.7714,0.4722
54,0.5173,0.7714,0.4722
55,0.5370,0.7714,0.4722
56,0.5432,0.7714,0.4769
57,0.5392,0.7714,0.4769
58,0.5360,0.7714,0.4769
59,0.5318,0.7714,0.4722
60,0.5411,0.7714,0.4722
61,0.5518,0.7714,0.4722
62,0.5295,0.7714,0.4722
63,0.5281,0.7714,0.4769
64,0.5557,0.7714,0.4769
65,0.5410,0.7714,0.4769
66,0.5351,0.7714,0.4769
67,0.5242,0.7714,0.4769
68,0.5257,0.7714,0.4769
69,0.5459,0.7714,0.4769
70,0.5359,0.7714,0.4769
71,0.5446,0.7714,0.4769
72,0.5343,0.7714,0.4769
73,0.5372,0.7714,0.4769
74,0.5253,0.7714,0.4769
75,0.5383,0.7714,0.4769
76,0.5303,0.7714,0.4769
77,0.5561,0.7714,0.4769
78,0.5343,0.7714,0.4769
79,0.5318,0.7714,0.4769
80,0.5321,0.7714,0.4769
81,0.5276,0.7714,0.4769
82,0.5252,0.7714,0.4722
83,0.5453,0.7714,0.4722
84,0.5426,0.7714,0.4769
85,0.5525,0.7714,0.4769
86,0.5384,0.7714,0.4769
87,0.5420,0.7714,0.4769
88,0.5353,0.7714,0.4769
89,0.5334,0.7714,0.4769
90,0.5465,0.7714,0.4769
91,0.5409,0.7714,0.4769
92,0.5256,0.7714,0.4769
93,0.5373,0.7714,0.4769
94,0.5316,0.7714,0.4769
95,0.5303,0.7714,0.4769
96,0.5254,0.7714,0.4769
97,0.5352,0.7714,0.4769
98,0.5275,0.7714,0.4769
99,0.5377,0.7714,0.4769
100,0.5310,0.7714,0.4722
