Epoch,Loss,TestAcc,TestAuc
1,0.6835,0.8158,0.3134
2,0.6026,0.8158,0.3145
3,0.6018,0.8158,0.3122
4,0.5511,0.8158,0.3203
5,0.5383,0.8158,0.3214
6,0.5190,0.8158,0.3272
7,0.5182,0.8158,0.3364
8,0.5148,0.8158,0.3376
9,0.5223,0.8158,0.3422
10,0.5298,0.8158,0.3502
11,0.5192,0.8158,0.3514
12,0.5255,0.8158,0.3514
13,0.5165,0.8158,0.3387
14,0.5381,0.8158,0.3237
15,0.5139,0.8158,0.3191
16,0.5315,0.8158,0.3445
17,0.5233,0.8158,0.3491
18,0.5107,0.8158,0.3491
19,0.5094,0.8158,0.3606
20,0.5078,0.8158,0.3594
21,0.5134,0.8158,0.3571
22,0.5211,0.8158,0.3560
23,0.5230,0.8158,0.3422
24,0.5110,0.8158,0.3456
25,0.4998,0.8158,0.3445
26,0.5099,0.8158,0.3548
27,0.5139,0.8158,0.3502
28,0.5140,0.8158,0.3479
29,0.5177,0.8158,0.3445
30,0.5054,0.8158,0.3514
31,0.5107,0.8158,0.3571
32,0.5222,0.8158,0.3652
33,0.5207,0.8158,0.3721
34,0.5213,0.8158,0.4574
35,0.5105,0.8158,0.3600
36,0.5336,0.8158,0.3641
37,0.5031,0.8158,0.3698
38,0.5151,0.8158,0.3733
39,0.5114,0.8158,0.3698
40,0.5144,0.8158,0.3929
41,0.5175,0.8158,0.3929
42,0.5137,0.8158,0.3698
43,0.5135,0.8158,0.3687
44,0.5147,0.8158,0.3721
45,0.5240,0.8158,0.3859
46,0.5101,0.8158,0.3882
47,0.5098,0.8158,0.3744
48,0.5105,0.8158,0.3721
49,0.5086,0.8158,0.3790
50,0.5090,0.8158,0.3871
51,0.5117,0.8158,0.3802
52,0.5087,0.8158,0.3767
53,0.5111,0.8158,0.3952
54,0.5069,0.8158,0.4136
55,0.5059,0.8158,0.3940
56,0.5115,0.8158,0.3859
57,0.5036,0.8158,0.3859
58,0.5133,0.8158,0.3871
59,0.5084,0.8158,0.3894
60,0.5117,0.8158,0.3836
61,0.5102,0.8158,0.3802
62,0.5058,0.8158,0.3641
63,0.5110,0.8158,0.3618
64,0.5141,0.8158,0.3629
65,0.5108,0.8158,0.3606
66,0.5140,0.8158,0.3652
67,0.5051,0.8158,0.3767
68,0.5144,0.8158,0.3859
69,0.5091,0.8158,0.3664
70,0.5054,0.8158,0.3618
71,0.5102,0.8158,0.3623
72,0.5117,0.8158,0.3618
73,0.5066,0.8158,0.3675
74,0.5107,0.8158,0.3664
75,0.5086,0.8158,0.3733
76,0.5084,0.8158,0.3618
77,0.5088,0.8158,0.3618
78,0.5082,0.8158,0.3664
79,0.5121,0.8158,0.3606
80,0.5142,0.8158,0.3606
81,0.5098,0.8158,0.3606
82,0.5124,0.8158,0.3721
83,0.5089,0.8158,0.3813
84,0.5090,0.8158,0.3664
85,0.5086,0.8158,0.3733
86,0.5090,0.8158,0.3848
87,0.5107,0.8158,0.3963
88,0.5096,0.8158,0.3813
89,0.5092,0.8158,0.3836
90,0.5091,0.8158,0.4009
91,0.5071,0.8158,0.4176
92,0.5110,0.8158,0.4171
93,0.5072,0.8158,0.3906
94,0.5142,0.8158,0.4205
95,0.5087,0.8158,0.3790
96,0.5099,0.8158,0.3859
97,0.5084,0.8158,0.3882
98,0.5116,0.8158,0.3894
99,0.5083,0.8158,0.3929
100,0.5101,0.8158,0.4136
