Epoch,Loss,TestAcc,TestAuc
1,1.0276,0.6250,0.3111
2,0.8367,0.6250,0.3111
3,1.0937,0.6250,0.3259
4,0.8157,0.6250,0.3111
5,0.7845,0.6250,0.3111
6,0.7107,0.6250,0.3037
7,0.7807,0.6250,0.3111
8,0.6459,0.6250,0.3037
9,0.6528,0.6250,0.2963
10,0.5942,0.6250,0.2963
11,0.5980,0.6250,0.2963
12,0.6458,0.6250,0.2963
13,0.6287,0.6250,0.2963
14,0.6088,0.6250,0.2963
15,0.6096,0.6250,0.2963
16,0.6479,0.6250,0.2963
17,0.6661,0.6250,0.3037
18,0.6260,0.6250,0.2963
19,0.6590,0.6250,0.2963
20,0.6513,0.6250,0.2963
21,0.6441,0.6250,0.2963
22,0.6108,0.6250,0.2963
23,0.6632,0.6250,0.2963
24,0.6675,0.6250,0.2963
25,0.6317,0.6250,0.2963
26,0.6236,0.6250,0.2963
27,0.6187,0.6250,0.2963
28,0.6262,0.6250,0.2963
29,0.6593,0.6250,0.2963
30,0.6336,0.6250,0.2963
31,0.6067,0.6250,0.2963
32,0.6290,0.6250,0.2963
33,0.6435,0.6250,0.2963
34,0.6195,0.6250,0.2963
35,0.6077,0.6250,0.2963
36,0.6050,0.6250,0.2963
37,0.6191,0.6250,0.2963
38,0.6116,0.6250,0.2963
39,0.6054,0.6250,0.2963
40,0.6140,0.6250,0.2963
41,0.6285,0.6250,0.2963
42,0.6179,0.6250,0.2963
43,0.6132,0.6250,0.2963
44,0.6003,0.6250,0.2963
45,0.6172,0.6250,0.2963
46,0.6073,0.6250,0.2963
47,0.6063,0.6250,0.2963
48,0.6278,0.6250,0.2963
49,0.6064,0.6250,0.3037
50,0.6204,0.6250,0.3037
51,0.6143,0.6250,0.3111
52,0.6133,0.6250,0.3185
53,0.6327,0.6250,0.3185
54,0.6221,0.6250,0.3185
55,0.6178,0.6250,0.3259
56,0.6132,0.6250,0.3333
57,0.6381,0.6250,0.3333
58,0.6123,0.6250,0.3259
59,0.6167,0.6250,0.3259
60,0.6121,0.6250,0.3259
61,0.6095,0.6250,0.3259
62,0.6392,0.6250,0.3111
63,0.6081,0.6250,0.3111
64,0.6203,0.6250,0.3111
65,0.6248,0.6250,0.3111
66,0.6157,0.6250,0.3111
67,0.6252,0.6250,0.3111
68,0.6242,0.6250,0.3111
69,0.6066,0.6250,0.3111
70,0.6369,0.6250,0.3185
71,0.6195,0.6250,0.3111
72,0.6003,0.6250,0.3111
73,0.6035,0.6250,0.3111
74,0.6025,0.6250,0.3185
75,0.6164,0.6250,0.3259
76,0.6109,0.6250,0.3259
77,0.6152,0.6250,0.3259
78,0.6151,0.6250,0.3333
79,0.6804,0.6250,0.3333
80,0.6138,0.6250,0.3333
81,0.6077,0.6250,0.3333
82,0.6180,0.6250,0.3407
83,0.6212,0.6250,0.3407
84,0.6338,0.6250,0.3407
85,0.6275,0.6250,0.3556
86,0.6044,0.6250,0.3704
87,0.6208,0.6250,0.3704
88,0.6112,0.6250,0.3704
89,0.6133,0.6250,0.3704
90,0.6119,0.6250,0.3704
91,0.6075,0.6250,0.3704
92,0.6199,0.6250,0.3704
93,0.6048,0.6250,0.3630
94,0.6093,0.6250,0.3630
95,0.6500,0.6250,0.3704
96,0.6316,0.6250,0.3704
97,0.6089,0.6250,0.3778
98,0.6084,0.6250,0.3778
99,0.6262,0.6250,0.3926
100,0.6147,0.6250,0.3852
