Epoch,Loss,TestAcc,TestAuc
1,0.8858,0.7391,0.5294
2,0.5887,0.7391,0.5098
3,0.7799,0.7391,0.5392
4,0.6065,0.7391,0.5784
5,0.4542,0.7391,0.6078
6,0.5194,0.7391,0.6078
7,0.4534,0.7391,0.5980
8,0.5090,0.7391,0.5392
9,0.4984,0.7391,0.4706
10,0.4838,0.7391,0.4804
11,0.4977,0.7391,0.5294
12,0.4483,0.7391,0.5588
13,0.4168,0.7391,0.5490
14,0.4642,0.7391,0.5490
15,0.4794,0.7391,0.5490
16,0.4685,0.7391,0.5686
17,0.4823,0.7391,0.6176
18,0.4730,0.7391,0.6667
19,0.4339,0.7391,0.6471
20,0.4419,0.7391,0.6471
21,0.4614,0.7391,0.6471
22,0.4589,0.7391,0.6667
23,0.4509,0.7391,0.6569
24,0.4721,0.7391,0.6275
25,0.4561,0.7391,0.6667
26,0.4692,0.7391,0.6667
27,0.5331,0.7391,0.5980
28,0.4774,0.7391,0.6176
29,0.4560,0.7391,0.6275
30,0.5133,0.7391,0.5490
31,0.5238,0.7391,0.5784
32,0.4750,0.7391,0.5784
33,0.4828,0.7391,0.5588
34,0.4682,0.7391,0.5588
35,0.4688,0.7391,0.5980
36,0.4593,0.7391,0.5980
37,0.4652,0.7391,0.6176
38,0.4662,0.7391,0.5980
39,0.4670,0.7391,0.5686
40,0.4679,0.7391,0.5686
41,0.4679,0.7391,0.5784
42,0.4710,0.7391,0.5882
43,0.4599,0.7391,0.5882
44,0.4474,0.7391,0.5882
45,0.4616,0.7391,0.5882
46,0.4670,0.7391,0.5784
47,0.4615,0.7391,0.5588
48,0.4531,0.7391,0.5784
49,0.4571,0.7391,0.5784
50,0.4690,0.7391,0.5686
51,0.4443,0.7391,0.5686
52,0.4422,0.7391,0.5686
53,0.4666,0.7391,0.5686
54,0.4771,0.7391,0.5686
55,0.4668,0.7391,0.5686
56,0.4414,0.7391,0.5686
57,0.4717,0.7391,0.5686
58,0.4656,0.7391,0.5392
59,0.4585,0.7391,0.5686
60,0.4601,0.7391,0.5784
61,0.4688,0.7391,0.6078
62,0.4636,0.7391,0.6176
63,0.4608,0.7391,0.6078
64,0.4607,0.7391,0.5980
65,0.4792,0.7391,0.5980
66,0.4373,0.7391,0.6078
67,0.4686,0.7391,0.6078
68,0.4600,0.7391,0.6078
69,0.4600,0.7391,0.6078
70,0.4619,0.7391,0.6078
71,0.4587,0.7391,0.6078
72,0.4606,0.7391,0.5882
73,0.4614,0.7391,0.6569
74,0.4598,0.7391,0.6176
75,0.4470,0.7391,0.6078
76,0.4629,0.7391,0.6078
77,0.4467,0.7391,0.6078
78,0.4730,0.7391,0.6078
79,0.4610,0.7391,0.5882
80,0.4643,0.7391,0.5784
81,0.4694,0.7391,0.5980
82,0.4594,0.7391,0.5686
83,0.4469,0.7391,0.5784
84,0.4710,0.7391,0.5882
85,0.4509,0.7391,0.5980
86,0.4475,0.7391,0.5980
87,0.4504,0.7391,0.6078
88,0.4650,0.7391,0.6078
89,0.4484,0.7391,0.6373
90,0.4347,0.7391,0.6176
91,0.4723,0.7391,0.6078
92,0.4709,0.7391,0.5980
93,0.4607,0.7391,0.6078
94,0.4759,0.7391,0.6078
95,0.4642,0.7391,0.6275
96,0.4800,0.7391,0.6176
97,0.4535,0.7391,0.6078
98,0.4870,0.7391,0.6176
99,0.4584,0.7391,0.5784
100,0.4401,0.7391,0.5980
