Epoch,Loss,TestAcc,TestAuc
1,0.9334,0.2632,0.6143
2,0.8512,0.2632,0.6286
3,0.8484,0.7368,0.3286
4,0.8193,0.7368,0.3143
5,0.7238,0.7368,0.3286
6,0.6119,0.7368,0.3286
7,0.5899,0.7368,0.3143
8,0.7001,0.7368,0.3143
9,0.6014,0.7368,0.3143
10,0.5250,0.7368,0.3143
11,0.5762,0.7368,0.3143
12,0.5816,0.7368,0.3143
13,0.5494,0.7368,0.3143
14,0.6477,0.7368,0.3143
15,0.5498,0.7368,0.3143
16,0.5927,0.7368,0.3286
17,0.5947,0.7368,0.3286
18,0.5894,0.7368,0.3286
19,0.5742,0.7368,0.3143
20,0.5939,0.7368,0.3143
21,0.5544,0.7368,0.3143
22,0.5745,0.7368,0.3143
23,0.5725,0.7368,0.3143
24,0.5229,0.7368,0.3286
25,0.5289,0.7368,0.3429
26,0.5512,0.7368,0.3286
27,0.5647,0.7368,0.3429
28,0.5596,0.7368,0.3286
29,0.5439,0.7368,0.3429
30,0.5676,0.7368,0.3286
31,0.5539,0.7368,0.3143
32,0.5303,0.7368,0.3143
33,0.5741,0.7368,0.3143
34,0.5615,0.7368,0.3000
35,0.5795,0.7368,0.3143
36,0.5403,0.7368,0.3286
37,0.5865,0.7368,0.3286
38,0.5700,0.7368,0.3286
39,0.5329,0.7368,0.3286
40,0.5569,0.7368,0.3714
41,0.5665,0.7368,0.3286
42,0.5397,0.7368,0.3429
43,0.5481,0.7368,0.3429
44,0.5666,0.7368,0.4857
45,0.5456,0.7368,0.5571
46,0.5488,0.7368,0.5571
47,0.5827,0.7368,0.5286
48,0.5566,0.7368,0.5143
49,0.5634,0.7368,0.5286
50,0.5241,0.7368,0.5571
51,0.5069,0.7368,0.5857
52,0.5268,0.7368,0.5143
53,0.5319,0.7368,0.5429
54,0.5361,0.7368,0.6286
55,0.5531,0.7368,0.6286
56,0.5041,0.7368,0.5429
57,0.5503,0.7368,0.5143
58,0.5307,0.7368,0.5143
59,0.5566,0.7368,0.5429
60,0.5858,0.7368,0.5714
61,0.5407,0.7368,0.5714
62,0.5564,0.7368,0.4143
63,0.5423,0.7368,0.3143
64,0.5717,0.7368,0.3429
65,0.5552,0.7368,0.4000
66,0.5690,0.7368,0.5286
67,0.5468,0.7368,0.5429
68,0.5587,0.7368,0.5429
69,0.5424,0.7368,0.5714
70,0.5658,0.7368,0.5286
71,0.5147,0.7368,0.5571
72,0.5288,0.7368,0.4429
73,0.5346,0.7368,0.5714
74,0.5446,0.7368,0.5286
75,0.5555,0.7368,0.5429
76,0.5444,0.7368,0.5286
77,0.5997,0.7368,0.5571
78,0.5697,0.7368,0.5143
79,0.5329,0.7368,0.5714
80,0.5576,0.7368,0.5571
81,0.5548,0.7368,0.3143
82,0.5574,0.7368,0.3143
83,0.5525,0.7368,0.3857
84,0.5286,0.7368,0.5143
85,0.5231,0.7368,0.5143
86,0.5537,0.7368,0.5000
87,0.5517,0.7368,0.5714
88,0.5080,0.7368,0.5143
89,0.5194,0.7368,0.6429
90,0.5355,0.7368,0.6286
91,0.6054,0.7368,0.5429
92,0.5267,0.7368,0.5286
93,0.5524,0.7368,0.5714
94,0.5422,0.7368,0.5857
95,0.5462,0.7368,0.5857
96,0.5492,0.7368,0.5143
97,0.5531,0.7368,0.6429
98,0.5369,0.7368,0.6286
99,0.5333,0.7368,0.6429
100,0.5450,0.7368,0.6429
