Epoch,Loss,TestAcc,TestAuc
1,1.0380,0.4375,0.7460
2,1.1243,0.4375,0.7937
3,1.2558,0.4375,0.8254
4,0.7632,0.4375,0.6825
5,0.8179,0.4375,0.6667
6,0.8612,0.4375,0.6667
7,0.8302,0.4375,0.6667
8,0.7695,0.4375,0.7937
9,0.8057,0.5000,0.4921
10,0.7856,0.5625,0.4127
11,0.7372,0.5625,0.3968
12,0.8154,0.5625,0.4127
13,0.8416,0.5625,0.4127
14,0.7617,0.4375,0.7619
15,0.7406,0.4375,0.6667
16,0.7039,0.4375,0.6667
17,0.7262,0.4375,0.6667
18,0.7626,0.4375,0.6667
19,0.7339,0.4375,0.6667
20,0.7760,0.4375,0.6667
21,0.7089,0.5625,0.6984
22,0.7578,0.5625,0.8571
23,0.7024,0.5625,0.4603
24,0.6974,0.5625,0.4127
25,0.7082,0.5625,0.7619
26,0.7558,0.5625,0.8254
27,0.7019,0.5625,0.8571
28,0.7316,0.6250,0.6825
29,0.7189,0.6250,0.6825
30,0.7208,0.5625,0.7143
31,0.6725,0.5625,0.6984
32,0.7073,0.5625,0.6984
33,0.7192,0.5625,0.8730
34,0.6957,0.5625,0.7143
35,0.7203,0.5625,0.5556
36,0.6817,0.5625,0.8095
37,0.6800,0.5625,0.8095
38,0.7048,0.5625,0.7619
39,0.7018,0.5625,0.6825
40,0.6894,0.5000,0.6667
41,0.7084,0.5000,0.6667
42,0.7003,0.5000,0.6667
43,0.7024,0.5000,0.6667
44,0.7021,0.5000,0.6667
45,0.7021,0.5625,0.6667
46,0.6891,0.5625,0.7460
47,0.6753,0.5625,0.4603
48,0.6997,0.5625,0.3810
49,0.6981,0.5625,0.3968
50,0.7210,0.5625,0.3810
51,0.6776,0.5625,0.3651
52,0.7316,0.5625,0.3968
53,0.7000,0.5625,0.2540
54,0.6867,0.5625,0.2698
55,0.7018,0.5625,0.3333
56,0.7006,0.5625,0.3333
57,0.6815,0.5625,0.3651
58,0.6739,0.5625,0.3810
59,0.6995,0.5625,0.3651
60,0.6847,0.5625,0.3651
61,0.7159,0.5625,0.4127
62,0.6975,0.5625,0.4286
63,0.6822,0.5625,0.5079
64,0.6964,0.5625,0.6032
65,0.7242,0.5625,0.5556
66,0.6925,0.5625,0.5238
67,0.6847,0.5625,0.5238
68,0.6894,0.5625,0.5238
69,0.6963,0.5625,0.4127
70,0.6918,0.5625,0.4127
71,0.6825,0.5625,0.4127
72,0.6892,0.5625,0.3968
73,0.7049,0.5625,0.3968
74,0.6855,0.5625,0.4127
75,0.7012,0.5625,0.4127
76,0.6717,0.5625,0.5397
77,0.6913,0.5625,0.7302
78,0.6954,0.5625,0.7302
79,0.7029,0.5625,0.6032
80,0.6664,0.5625,0.4286
81,0.6894,0.5625,0.4127
82,0.7035,0.5625,0.4127
83,0.7142,0.5625,0.5238
84,0.7035,0.5625,0.7460
85,0.6881,0.5000,0.6667
86,0.6809,0.5000,0.6667
87,0.6965,0.5625,0.7143
88,0.7106,0.5625,0.7619
89,0.6909,0.5625,0.5714
90,0.6927,0.5625,0.4127
91,0.6730,0.5625,0.3968
92,0.7173,0.5625,0.4127
93,0.6742,0.5625,0.4762
94,0.6805,0.5625,0.8095
95,0.7022,0.5625,0.7302
96,0.6659,0.5625,0.7302
97,0.6695,0.5625,0.7143
98,0.7161,0.5625,0.7143
99,0.6861,0.5625,0.6984
100,0.6972,0.5625,0.7143
