Epoch,Loss,TestAcc,TestAuc
1,0.5612,0.8182,0.4568
2,0.5518,0.8182,0.4506
3,0.6408,0.8182,0.4506
4,0.4984,0.8182,0.4506
5,0.4986,0.8182,0.4506
6,0.4867,0.8182,0.4568
7,0.5140,0.8182,0.4506
8,0.4782,0.8182,0.4506
9,0.4862,0.8182,0.4506
10,0.4992,0.8182,0.4506
11,0.4851,0.8182,0.4444
12,0.4781,0.8182,0.4383
13,0.5092,0.8182,0.4321
14,0.5133,0.8182,0.4321
15,0.4918,0.8182,0.4321
16,0.4955,0.8182,0.4383
17,0.5128,0.8182,0.4383
18,0.4773,0.8182,0.4383
19,0.4745,0.8182,0.4321
20,0.4875,0.8182,0.4321
21,0.5238,0.8182,0.4383
22,0.4924,0.8182,0.4383
23,0.5026,0.8182,0.4444
24,0.5002,0.8182,0.4444
25,0.4707,0.8182,0.4444
26,0.4813,0.8182,0.4506
27,0.4726,0.8182,0.4506
28,0.4818,0.8182,0.4506
29,0.4875,0.8182,0.4321
30,0.4816,0.8182,0.4321
31,0.4825,0.8182,0.4321
32,0.4667,0.8182,0.4444
33,0.4900,0.8182,0.4444
34,0.4839,0.8182,0.4444
35,0.4780,0.8182,0.4568
36,0.4702,0.8182,0.4506
37,0.5001,0.8182,0.4506
38,0.4830,0.8182,0.4383
39,0.4755,0.8182,0.4444
40,0.4763,0.8182,0.4383
41,0.4894,0.8182,0.4383
42,0.4814,0.8182,0.4383
43,0.4776,0.8182,0.4321
44,0.4775,0.8182,0.4321
45,0.4811,0.8182,0.4198
46,0.4939,0.8182,0.3765
47,0.5255,0.8182,0.4074
48,0.4837,0.8182,0.4259
49,0.4670,0.8182,0.4198
50,0.4845,0.8182,0.4259
51,0.4782,0.8182,0.4259
52,0.4822,0.8182,0.4259
53,0.4684,0.8182,0.4259
54,0.4635,0.8182,0.4383
55,0.4830,0.8182,0.4568
56,0.4734,0.8182,0.4630
57,0.4776,0.8182,0.4568
58,0.4732,0.8182,0.5123
59,0.4839,0.8182,0.4691
60,0.4770,0.8182,0.4691
61,0.4770,0.8182,0.4691
62,0.4854,0.8182,0.4568
63,0.4890,0.8182,0.4568
64,0.4805,0.8182,0.4506
65,0.4865,0.8182,0.4444
66,0.4839,0.8182,0.4383
67,0.4905,0.8182,0.4259
68,0.4720,0.8182,0.4259
69,0.4751,0.8182,0.4259
70,0.4755,0.8182,0.4259
71,0.4625,0.8182,0.4259
72,0.4708,0.8182,0.4259
73,0.4748,0.8182,0.4259
74,0.4754,0.8182,0.4259
75,0.4789,0.8182,0.4259
76,0.4769,0.8182,0.4259
77,0.4908,0.8182,0.4198
78,0.4836,0.8182,0.4198
79,0.4855,0.8182,0.4259
80,0.4874,0.8182,0.4259
81,0.4783,0.8182,0.4259
82,0.4915,0.8182,0.4259
83,0.4825,0.8182,0.4198
84,0.4803,0.8182,0.4198
85,0.4840,0.8182,0.4259
86,0.4687,0.8182,0.4259
87,0.4783,0.8182,0.4259
88,0.4771,0.8182,0.4321
89,0.4742,0.8182,0.4259
90,0.4764,0.8182,0.4198
91,0.4774,0.8182,0.3395
92,0.4785,0.8182,0.4136
93,0.4786,0.8182,0.4136
94,0.4767,0.8182,0.4198
95,0.4797,0.8182,0.4198
96,0.4842,0.8182,0.4198
97,0.4801,0.8182,0.4259
98,0.4766,0.8182,0.4074
99,0.4807,0.8182,0.3086
100,0.4755,0.8182,0.4259
