Epoch,Loss,TestAcc,TestAuc
1,1.2264,0.4500,0.4040
2,0.8519,0.5500,0.4141
3,0.8180,0.5500,0.4141
4,0.8149,0.5500,0.4040
5,0.7348,0.5500,0.4040
6,0.7534,0.5500,0.4040
7,0.6608,0.5500,0.4040
8,0.6771,0.5500,0.4040
9,0.6711,0.5500,0.4040
10,0.6947,0.5500,0.4040
11,0.6950,0.5500,0.4040
12,0.7086,0.5500,0.4040
13,0.7357,0.5500,0.4141
14,0.7234,0.5500,0.4141
15,0.7067,0.5500,0.4141
16,0.6958,0.5500,0.4141
17,0.7112,0.5500,0.4040
18,0.7187,0.5500,0.4141
19,0.6495,0.5500,0.4141
20,0.7165,0.5500,0.4141
21,0.6886,0.5500,0.4141
22,0.6821,0.5500,0.4141
23,0.6747,0.5500,0.4040
24,0.6662,0.5500,0.4040
25,0.6815,0.5500,0.4141
26,0.7016,0.5500,0.4141
27,0.6860,0.5500,0.4242
28,0.6742,0.5500,0.4242
29,0.6787,0.5500,0.4242
30,0.6758,0.5500,0.4242
31,0.6751,0.5500,0.4242
32,0.7043,0.5500,0.4141
33,0.6804,0.5500,0.4141
34,0.6890,0.5500,0.4242
35,0.6807,0.5500,0.4242
36,0.6763,0.5500,0.4242
37,0.6828,0.5500,0.4242
38,0.6770,0.5500,0.4242
39,0.6814,0.5500,0.4141
40,0.6637,0.5500,0.4141
41,0.6806,0.5500,0.4141
42,0.6568,0.5500,0.4141
43,0.6798,0.5500,0.4141
44,0.6863,0.5500,0.4242
45,0.6757,0.5500,0.4242
46,0.6712,0.5500,0.4242
47,0.6692,0.5500,0.4141
48,0.6702,0.5500,0.4141
49,0.6709,0.5500,0.4141
50,0.6740,0.5500,0.4242
51,0.6784,0.5500,0.4242
52,0.6752,0.5500,0.4141
53,0.6965,0.5500,0.4141
54,0.6808,0.5500,0.4141
55,0.6691,0.5500,0.4141
56,0.6617,0.5500,0.4141
57,0.6537,0.5500,0.4141
58,0.6631,0.5500,0.3838
59,0.6817,0.5500,0.3636
60,0.6617,0.5500,0.3636
61,0.6583,0.5500,0.3737
62,0.6703,0.5500,0.3535
63,0.6766,0.5500,0.3636
64,0.6764,0.5500,0.3636
65,0.6709,0.5500,0.3636
66,0.6696,0.5500,0.3535
67,0.6795,0.5500,0.3636
68,0.6748,0.5500,0.3535
69,0.6641,0.5500,0.3636
70,0.6755,0.5500,0.3838
71,0.6594,0.5500,0.3535
72,0.6573,0.5500,0.3434
73,0.6755,0.5500,0.3737
74,0.6398,0.5500,0.4040
75,0.6691,0.5500,0.4141
76,0.6664,0.5500,0.4141
77,0.6750,0.5500,0.4141
78,0.6699,0.5500,0.4040
79,0.6572,0.5500,0.3434
80,0.6638,0.5500,0.3737
81,0.6687,0.5500,0.3434
82,0.6755,0.5500,0.3333
83,0.6811,0.5500,0.5455
84,0.6761,0.5500,0.5758
85,0.6577,0.5500,0.5758
86,0.6617,0.5500,0.5859
87,0.6751,0.5500,0.4343
88,0.6734,0.5500,0.5859
89,0.6764,0.5500,0.5960
90,0.6889,0.5500,0.4141
91,0.6970,0.5500,0.3636
92,0.6721,0.5500,0.4141
93,0.6602,0.5500,0.4141
94,0.6540,0.5500,0.4040
95,0.6849,0.5500,0.4141
96,0.6855,0.5500,0.3939
97,0.6756,0.5500,0.3838
98,0.6624,0.5500,0.3939
99,0.6558,0.5500,0.3939
100,0.6816,0.5500,0.3939
