Epoch,Loss,TestAcc,TestAuc
1,0.8667,0.5278,0.6718
2,0.8179,0.5278,0.6440
3,0.7537,0.4444,0.3406
4,0.7377,0.5278,0.3622
5,0.7048,0.5278,0.7028
6,0.6583,0.5278,0.6997
7,0.6611,0.5278,0.6533
8,0.6532,0.5278,0.5635
9,0.6819,0.5278,0.5232
10,0.6994,0.5278,0.6440
11,0.6543,0.5278,0.6409
12,0.6607,0.5278,0.7121
13,0.6600,0.5278,0.6502
14,0.6676,0.5278,0.6440
15,0.6454,0.5278,0.6409
16,0.6560,0.5278,0.6966
17,0.6599,0.5278,0.6966
18,0.6539,0.5278,0.6316
19,0.6594,0.5278,0.5046
20,0.6509,0.5278,0.5201
21,0.6404,0.5278,0.3591
22,0.6656,0.5278,0.5728
23,0.6573,0.5278,0.7059
24,0.6506,0.5278,0.6749
25,0.6551,0.5278,0.6749
26,0.6604,0.5278,0.5913
27,0.6640,0.5278,0.5635
28,0.6446,0.5278,0.6811
29,0.6524,0.5278,0.6780
30,0.6611,0.5278,0.6347
31,0.6597,0.5278,0.3529
32,0.6471,0.5278,0.3498
33,0.6573,0.5278,0.3529
34,0.6550,0.5278,0.6316
35,0.6421,0.5278,0.6378
36,0.6512,0.5278,0.6409
37,0.6606,0.5278,0.6625
38,0.6655,0.5278,0.6378
39,0.6567,0.5278,0.3406
40,0.6565,0.5278,0.3375
41,0.6554,0.5278,0.3746
42,0.6559,0.5278,0.5108
43,0.6514,0.5278,0.6811
44,0.6595,0.5278,0.7152
45,0.6496,0.5278,0.4923
46,0.6394,0.5278,0.3313
47,0.6469,0.5278,0.3220
48,0.6577,0.5278,0.3251
49,0.6591,0.5278,0.5077
50,0.6555,0.5278,0.6068
51,0.6545,0.5278,0.7368
52,0.6494,0.5278,0.3467
53,0.6451,0.5278,0.3313
54,0.6461,0.5278,0.3251
55,0.6602,0.5278,0.3344
56,0.6590,0.5278,0.5108
57,0.6583,0.5278,0.5015
58,0.6573,0.5278,0.3715
59,0.6436,0.5278,0.5263
60,0.6564,0.5278,0.4427
61,0.6457,0.5278,0.3591
62,0.6528,0.5278,0.3529
63,0.6476,0.5278,0.3591
64,0.6465,0.5278,0.3994
65,0.6512,0.5278,0.5975
66,0.6423,0.5278,0.7028
67,0.6619,0.5278,0.6192
68,0.6545,0.5278,0.4861
69,0.6444,0.5278,0.5201
70,0.6495,0.5278,0.4365
71,0.6490,0.5278,0.4365
72,0.6412,0.5278,0.3653
73,0.6447,0.5278,0.5604
74,0.6547,0.5278,0.6533
75,0.6599,0.5278,0.5604
76,0.6591,0.5278,0.5015
77,0.6383,0.5278,0.3715
78,0.6630,0.5278,0.3529
79,0.6520,0.5278,0.3684
80,0.6474,0.5278,0.3715
81,0.6358,0.5278,0.3653
82,0.6426,0.5278,0.3622
83,0.6554,0.5278,0.3994
84,0.6403,0.5278,0.3653
85,0.6582,0.5278,0.3653
86,0.6768,0.5278,0.3653
87,0.6530,0.5278,0.6471
88,0.6593,0.5278,0.7152
89,0.6545,0.5278,0.3808
90,0.6518,0.5278,0.3467
91,0.6531,0.5278,0.3715
92,0.6562,0.5278,0.3684
93,0.6415,0.5278,0.6409
94,0.6536,0.5278,0.3653
95,0.6502,0.5278,0.3715
96,0.6488,0.5278,0.7337
97,0.6422,0.5278,0.5077
98,0.6548,0.5278,0.3684
99,0.6505,0.5278,0.3467
100,0.6525,0.5278,0.3406
