Epoch,Loss,TestAcc,TestAuc
1,0.8789,0.7222,0.4308
2,0.6785,0.7222,0.4308
3,0.6904,0.7222,0.4615
4,0.7405,0.7222,0.4615
5,0.6986,0.7222,0.3692
6,0.5932,0.7222,0.4462
7,0.6682,0.7222,0.4462
8,0.6207,0.7222,0.4462
9,0.6358,0.7222,0.4615
10,0.6655,0.7222,0.4615
11,0.6644,0.7222,0.4615
12,0.6421,0.7222,0.4769
13,0.6048,0.7222,0.4615
14,0.5953,0.7222,0.4308
15,0.5948,0.7222,0.4462
16,0.6027,0.7222,0.4615
17,0.6221,0.7222,0.4615
18,0.6192,0.7222,0.4615
19,0.6197,0.7222,0.4615
20,0.5712,0.7222,0.3538
21,0.6101,0.7222,0.4615
22,0.6190,0.7222,0.4769
23,0.6021,0.7222,0.4308
24,0.5985,0.7222,0.4308
25,0.6199,0.7222,0.4615
26,0.5949,0.7222,0.4154
27,0.5873,0.7222,0.4615
28,0.5862,0.7222,0.4615
29,0.5848,0.7222,0.4308
30,0.5912,0.7222,0.4308
31,0.5881,0.7222,0.4769
32,0.6262,0.7222,0.4769
33,0.6142,0.7222,0.4769
34,0.5889,0.7222,0.4154
35,0.6270,0.7222,0.4462
36,0.5889,0.7222,0.4615
37,0.5946,0.7222,0.4615
38,0.6060,0.7222,0.4615
39,0.6118,0.7222,0.4615
40,0.6206,0.7222,0.4615
41,0.5861,0.7222,0.4615
42,0.5839,0.7222,0.4308
43,0.6238,0.7222,0.4615
44,0.6268,0.7222,0.4615
45,0.6323,0.7222,0.4615
46,0.6319,0.7222,0.4462
47,0.5924,0.7222,0.4462
48,0.5959,0.7222,0.4615
49,0.5876,0.7222,0.4615
50,0.6243,0.7222,0.4615
51,0.5849,0.7222,0.4615
52,0.6032,0.7222,0.4154
53,0.5843,0.7222,0.4308
54,0.6047,0.7222,0.4615
55,0.6025,0.7222,0.4615
56,0.6088,0.7222,0.4462
57,0.5979,0.7222,0.4000
58,0.6177,0.7222,0.4154
59,0.5755,0.7222,0.4462
60,0.6243,0.7222,0.4308
61,0.5991,0.7222,0.4462
62,0.5744,0.7222,0.4308
63,0.5858,0.7222,0.4462
64,0.5920,0.7222,0.4462
65,0.6007,0.7222,0.4462
66,0.5843,0.7222,0.4308
67,0.6060,0.7222,0.4462
68,0.6073,0.7222,0.4615
69,0.5827,0.7222,0.4615
70,0.6185,0.7222,0.4615
71,0.6059,0.7222,0.4615
72,0.6051,0.7222,0.4615
73,0.6019,0.7222,0.4769
74,0.5907,0.7222,0.4769
75,0.6211,0.7222,0.4769
76,0.5870,0.7222,0.4462
77,0.5870,0.7222,0.4769
78,0.5775,0.7222,0.4308
79,0.5618,0.7222,0.3692
80,0.6021,0.7222,0.3538
81,0.5715,0.7222,0.4154
82,0.5974,0.7222,0.4308
83,0.5867,0.7222,0.4308
84,0.6182,0.7222,0.4308
85,0.5964,0.7222,0.4308
86,0.5989,0.7222,0.3846
87,0.5892,0.7222,0.4615
88,0.5908,0.7222,0.4462
89,0.6064,0.7222,0.4615
90,0.5789,0.7222,0.3385
91,0.5827,0.7222,0.2923
92,0.6076,0.7222,0.4769
93,0.5813,0.7222,0.4462
94,0.5912,0.7222,0.4462
95,0.5880,0.7222,0.4462
96,0.5934,0.7222,0.4462
97,0.5679,0.7222,0.4462
98,0.5662,0.7222,0.4769
99,0.5996,0.7222,0.4308
100,0.5917,0.7222,0.4462
