Epoch,Loss,TestAcc,TestAuc
1,1.1370,0.6842,0.3205
2,0.7810,0.3158,0.3718
3,0.8180,0.3158,0.3205
4,0.7163,0.3158,0.3846
5,0.7781,0.6842,0.3205
6,0.7581,0.6842,0.3205
7,0.7139,0.6842,0.3205
8,0.7109,0.6842,0.3205
9,0.7763,0.6842,0.3205
10,0.6592,0.6842,0.3333
11,0.6928,0.6842,0.3462
12,0.6698,0.6842,0.3462
13,0.7349,0.6842,0.3462
14,0.6854,0.6842,0.3462
15,0.7174,0.6842,0.3333
16,0.6828,0.6842,0.3333
17,0.6949,0.6842,0.3590
18,0.6913,0.6842,0.3590
19,0.6768,0.6842,0.3590
20,0.6919,0.6842,0.3462
21,0.7085,0.6842,0.3333
22,0.7209,0.6842,0.3205
23,0.6939,0.6842,0.3205
24,0.7434,0.6842,0.3205
25,0.6804,0.6842,0.3205
26,0.6667,0.6842,0.3205
27,0.6920,0.6842,0.3205
28,0.6995,0.6842,0.3205
29,0.6973,0.6842,0.3077
30,0.6901,0.3158,0.2436
31,0.7056,0.3158,0.2436
32,0.6879,0.6842,0.3462
33,0.7279,0.3158,0.3462
34,0.7048,0.3158,0.5641
35,0.7276,0.3158,0.5513
36,0.7086,0.6842,0.3590
37,0.6937,0.6842,0.3205
38,0.7206,0.6842,0.3205
39,0.7110,0.6842,0.3205
40,0.6970,0.6842,0.3205
41,0.6905,0.6842,0.3205
42,0.6793,0.6842,0.3077
43,0.6893,0.3158,0.5641
44,0.6860,0.3158,0.5897
45,0.6891,0.3158,0.5897
46,0.6801,0.3158,0.5897
47,0.6895,0.3158,0.5897
48,0.6767,0.5789,0.5897
49,0.7092,0.6842,0.5641
50,0.6851,0.6842,0.4872
51,0.6953,0.6842,0.2821
52,0.6783,0.6842,0.3846
53,0.6913,0.3158,0.5897
54,0.6961,0.3158,0.5897
55,0.6851,0.3158,0.5897
56,0.6859,0.3158,0.6026
57,0.6826,0.3158,0.6026
58,0.6826,0.3158,0.5897
59,0.7002,0.3158,0.5897
60,0.7506,0.3158,0.5897
61,0.6785,0.3158,0.5897
62,0.6908,0.3158,0.5897
63,0.6932,0.6316,0.5897
64,0.7008,0.6316,0.5897
65,0.6836,0.6316,0.5897
66,0.6874,0.5263,0.5897
67,0.6848,0.3158,0.5897
68,0.6839,0.3158,0.5897
69,0.6912,0.3158,0.5897
70,0.6937,0.3158,0.5897
71,0.6856,0.3158,0.5897
72,0.6887,0.3158,0.5897
73,0.6844,0.6316,0.5897
74,0.6937,0.6316,0.5897
75,0.6863,0.6316,0.5897
76,0.6830,0.5789,0.5897
77,0.6751,0.5263,0.5897
78,0.6852,0.5263,0.5897
79,0.6843,0.5789,0.5897
80,0.6909,0.5263,0.5897
81,0.6849,0.3158,0.5897
82,0.6761,0.3158,0.6026
83,0.6919,0.5263,0.6026
84,0.6865,0.5789,0.5897
85,0.6816,0.6842,0.5897
86,0.7019,0.6842,0.3333
87,0.6748,0.6842,0.3333
88,0.6942,0.6842,0.3205
89,0.6860,0.6842,0.3205
90,0.6972,0.6842,0.3205
91,0.6885,0.6842,0.3333
92,0.6799,0.6842,0.5000
93,0.6876,0.6842,0.5897
94,0.6874,0.6842,0.6026
95,0.6753,0.6842,0.6026
96,0.6868,0.6842,0.6026
97,0.6831,0.6842,0.5897
98,0.6820,0.6842,0.5897
99,0.6892,0.6842,0.5897
100,0.6903,0.6842,0.6026
