Epoch,Loss,TestAcc,TestAuc
1,0.7203,0.2174,0.6556
2,0.7557,0.2174,0.6556
3,0.6852,0.2174,0.6667
4,0.6233,0.7826,0.6667
5,0.7097,0.7826,0.4667
6,0.7651,0.7826,0.5222
7,0.6135,0.7826,0.6444
8,0.6427,0.6957,0.6333
9,0.6478,0.7826,0.6444
10,0.6187,0.7826,0.6111
11,0.6188,0.7826,0.6000
12,0.6265,0.7826,0.4333
13,0.6311,0.7826,0.2889
14,0.6378,0.7826,0.3667
15,0.6250,0.7826,0.4667
16,0.6159,0.7826,0.5222
17,0.6050,0.7826,0.5667
18,0.6225,0.7826,0.5778
19,0.5988,0.7826,0.5667
20,0.6022,0.7826,0.5222
21,0.5945,0.7826,0.4111
22,0.6055,0.7826,0.3444
23,0.5857,0.7826,0.3222
24,0.5814,0.7826,0.3333
25,0.6066,0.7826,0.2889
26,0.5865,0.7826,0.2889
27,0.7672,0.7826,0.3889
28,0.6034,0.7826,0.5222
29,0.5996,0.7826,0.5778
30,0.5931,0.7826,0.5889
31,0.6003,0.7826,0.5778
32,0.5969,0.7826,0.5778
33,0.6019,0.7826,0.5889
34,0.5738,0.7826,0.5444
35,0.5881,0.7826,0.5000
36,0.5857,0.7826,0.4667
37,0.6021,0.7826,0.3667
38,0.6063,0.7826,0.3333
39,0.6019,0.7826,0.3778
40,0.5806,0.7826,0.3889
41,0.6065,0.7826,0.4111
42,0.5876,0.7826,0.5222
43,0.6003,0.7826,0.5222
44,0.6180,0.7826,0.5444
45,0.6061,0.7826,0.5444
46,0.5933,0.7826,0.5333
47,0.5992,0.7826,0.5444
48,0.5908,0.7826,0.5222
49,0.6013,0.7826,0.4444
50,0.5909,0.7826,0.4000
51,0.5974,0.7826,0.3444
52,0.5830,0.7826,0.3333
53,0.5999,0.7826,0.3444
54,0.5964,0.7826,0.3667
55,0.6054,0.7826,0.4556
56,0.5980,0.7826,0.4667
57,0.5872,0.7826,0.4222
58,0.6008,0.7826,0.4222
59,0.6049,0.7826,0.4111
60,0.5953,0.7826,0.4000
61,0.5974,0.7826,0.5556
62,0.6009,0.7826,0.5889
63,0.5930,0.7826,0.6000
64,0.6005,0.7826,0.6111
65,0.5888,0.7826,0.6111
66,0.6011,0.7826,0.6000
67,0.5764,0.7826,0.5889
68,0.5861,0.7826,0.6000
69,0.5984,0.7826,0.5778
70,0.5898,0.7826,0.6000
71,0.5783,0.7826,0.5889
72,0.5795,0.7826,0.5889
73,0.5736,0.7826,0.6000
74,0.5957,0.7826,0.6000
75,0.6011,0.7826,0.5889
76,0.5976,0.7826,0.5889
77,0.5937,0.7826,0.6000
78,0.6156,0.7826,0.6000
79,0.5978,0.7826,0.6222
80,0.5788,0.7826,0.5889
81,0.5749,0.7826,0.6000
82,0.5759,0.7826,0.6000
83,0.5968,0.7826,0.5889
84,0.5948,0.7826,0.5889
85,0.5990,0.7826,0.5889
86,0.5830,0.7826,0.5889
87,0.5718,0.7826,0.6000
88,0.5862,0.7826,0.6000
89,0.6109,0.7826,0.6000
90,0.5956,0.7826,0.6111
91,0.6016,0.7826,0.6111
92,0.5961,0.7826,0.6000
93,0.6103,0.7826,0.6000
94,0.5973,0.7826,0.6000
95,0.5945,0.7826,0.6000
96,0.5941,0.7826,0.6000
97,0.5994,0.7826,0.6111
98,0.5831,0.7826,0.6111
99,0.6073,0.7826,0.6111
100,0.5856,0.7826,0.6000
