Epoch,Loss,TestAcc,TestAuc
1,0.7266,0.6364,0.6071
2,0.8182,0.6364,0.6161
3,0.8480,0.6364,0.6161
4,0.7311,0.6364,0.4911
5,0.6851,0.3636,0.5268
6,0.6951,0.6364,0.6518
7,0.7226,0.6364,0.5982
8,0.6923,0.6364,0.5714
9,0.6745,0.6364,0.5714
10,0.7034,0.6364,0.5536
11,0.6708,0.6364,0.4911
12,0.6785,0.6364,0.5000
13,0.7695,0.6364,0.5536
14,0.6955,0.6364,0.4732
15,0.7518,0.6364,0.4821
16,0.6988,0.6364,0.4821
17,0.7003,0.6364,0.4911
18,0.6779,0.6364,0.4911
19,0.6991,0.6364,0.5089
20,0.6669,0.6364,0.4821
21,0.6890,0.6364,0.4821
22,0.6647,0.6364,0.4821
23,0.6646,0.6364,0.4821
24,0.6897,0.6364,0.4732
25,0.6662,0.6364,0.4821
26,0.6883,0.6364,0.4821
27,0.6818,0.6364,0.4911
28,0.6966,0.6364,0.5000
29,0.6877,0.6364,0.4732
30,0.6807,0.6364,0.4464
31,0.6750,0.6364,0.4732
32,0.6758,0.6364,0.5089
33,0.6830,0.6364,0.5268
34,0.7102,0.6364,0.5714
35,0.6791,0.6364,0.5625
36,0.6661,0.6364,0.5714
37,0.6880,0.6364,0.5625
38,0.6634,0.6364,0.5625
39,0.6750,0.6364,0.5625
40,0.6751,0.6364,0.5625
41,0.7013,0.6364,0.5536
42,0.6718,0.6364,0.5536
43,0.6694,0.6364,0.5536
44,0.6741,0.6364,0.5536
45,0.6935,0.6364,0.5625
46,0.6747,0.6364,0.5625
47,0.6874,0.6364,0.5625
48,0.6817,0.6364,0.5625
49,0.6707,0.6364,0.5625
50,0.6930,0.6364,0.5625
51,0.6624,0.6364,0.5536
52,0.6900,0.6364,0.5536
53,0.6989,0.6364,0.5536
54,0.6756,0.6364,0.5536
55,0.6824,0.6364,0.5714
56,0.7070,0.6364,0.5714
57,0.6963,0.6364,0.5714
58,0.6796,0.6364,0.5714
59,0.6702,0.6364,0.5536
60,0.7895,0.6364,0.5536
61,0.6517,0.6364,0.5536
62,0.6672,0.6364,0.5536
63,0.6653,0.6364,0.5536
64,0.6631,0.6364,0.5536
65,0.6825,0.6364,0.5536
66,0.6814,0.6364,0.5536
67,0.6722,0.6364,0.5536
68,0.6680,0.6364,0.5536
69,0.6634,0.6364,0.5536
70,0.6858,0.6364,0.5536
71,0.6716,0.6364,0.5536
72,0.6702,0.6364,0.5625
73,0.6985,0.6364,0.5625
74,0.6871,0.6364,0.5625
75,0.6749,0.6364,0.5625
76,0.6776,0.6364,0.5625
77,0.6674,0.6364,0.5625
78,0.6867,0.6364,0.5625
79,0.6772,0.6364,0.5625
80,0.6588,0.6364,0.5625
81,0.6812,0.6364,0.5625
82,0.6599,0.6364,0.5625
83,0.6780,0.6364,0.5625
84,0.6785,0.6364,0.5625
85,0.6682,0.6364,0.5625
86,0.6789,0.6364,0.5625
87,0.6646,0.6364,0.5625
88,0.6686,0.6364,0.5625
89,0.6805,0.6364,0.5536
90,0.6796,0.6364,0.5536
91,0.6838,0.6364,0.5625
92,0.6661,0.6364,0.5625
93,0.6672,0.6364,0.5625
94,0.6693,0.6364,0.5625
95,0.6757,0.6364,0.5714
96,0.6827,0.6364,0.5714
97,0.6792,0.6364,0.5714
98,0.7015,0.6364,0.5714
99,0.6687,0.6364,0.5714
100,0.6842,0.6364,0.5714
