Epoch,Loss,TestAcc,TestAuc
1,1.3281,0.5000,0.3905
2,0.8117,0.5000,0.3846
3,0.7946,0.5000,0.3964
4,0.7656,0.5000,0.3964
5,0.7595,0.5000,0.3964
6,0.6729,0.5000,0.4024
7,0.6505,0.5000,0.3964
8,0.6934,0.5000,0.3964
9,0.7113,0.5000,0.3905
10,0.7361,0.5000,0.4024
11,0.6694,0.5000,0.4024
12,0.7141,0.5000,0.4083
13,0.6916,0.5000,0.3964
14,0.7061,0.5000,0.3964
15,0.7280,0.5000,0.3964
16,0.7209,0.5000,0.3964
17,0.6770,0.5000,0.3905
18,0.7430,0.5000,0.3905
19,0.6795,0.5000,0.3905
20,0.6817,0.5000,0.3905
21,0.6872,0.5000,0.3905
22,0.7011,0.5000,0.3905
23,0.6892,0.5000,0.3905
24,0.6816,0.5000,0.3964
25,0.6912,0.5000,0.3964
26,0.6940,0.5000,0.3905
27,0.6962,0.5000,0.4024
28,0.6892,0.5000,0.3905
29,0.6898,0.5000,0.3905
30,0.6887,0.5000,0.3905
31,0.6893,0.5000,0.3964
32,0.6990,0.5000,0.3905
33,0.6831,0.5000,0.3905
34,0.6938,0.5000,0.3905
35,0.6836,0.5000,0.3905
36,0.6884,0.5000,0.3905
37,0.6792,0.5000,0.3905
38,0.6901,0.5000,0.3905
39,0.6842,0.5000,0.3964
40,0.6761,0.5000,0.3964
41,0.6782,0.5000,0.3964
42,0.6827,0.5000,0.3964
43,0.6873,0.5000,0.3905
44,0.7048,0.5000,0.3905
45,0.7088,0.5000,0.3964
46,0.6800,0.5000,0.3964
47,0.6875,0.5000,0.4024
48,0.6914,0.5000,0.4083
49,0.7026,0.5000,0.4142
50,0.6934,0.5000,0.3728
51,0.6990,0.5000,0.3964
52,0.7004,0.5000,0.4024
53,0.6964,0.5000,0.4024
54,0.6930,0.5000,0.4083
55,0.6911,0.5000,0.4083
56,0.6846,0.5000,0.3846
57,0.6877,0.5000,0.5030
58,0.6897,0.5000,0.5030
59,0.6921,0.5000,0.3846
60,0.6848,0.5000,0.3669
61,0.6846,0.5000,0.3905
62,0.6798,0.5000,0.3905
63,0.6825,0.5000,0.3905
64,0.6847,0.5000,0.4083
65,0.6767,0.5000,0.4083
66,0.6783,0.5000,0.4024
67,0.6893,0.5000,0.3905
68,0.6774,0.5000,0.3905
69,0.6789,0.5000,0.3905
70,0.6852,0.5000,0.3905
71,0.6872,0.5000,0.3905
72,0.7065,0.5000,0.3964
73,0.6909,0.5000,0.4024
74,0.6867,0.5000,0.3964
75,0.6831,0.5000,0.3964
76,0.6827,0.5000,0.3964
77,0.6765,0.5000,0.3905
78,0.6872,0.5000,0.3964
79,0.6903,0.5000,0.4083
80,0.6868,0.5000,0.4083
81,0.6779,0.5000,0.4083
82,0.6829,0.5000,0.4083
83,0.6856,0.5000,0.4083
84,0.6871,0.5000,0.4083
85,0.6862,0.5000,0.4083
86,0.6962,0.5000,0.4083
87,0.6902,0.5000,0.4083
88,0.6910,0.5000,0.4083
89,0.6979,0.5000,0.4083
90,0.6807,0.5000,0.4024
91,0.6826,0.5000,0.4024
92,0.6798,0.5000,0.3964
93,0.6876,0.5000,0.3846
94,0.6833,0.5000,0.3905
95,0.6905,0.5000,0.3669
96,0.6892,0.5000,0.3905
97,0.6854,0.5000,0.4024
98,0.6860,0.5000,0.3905
99,0.6964,0.5000,0.3964
100,0.6862,0.5000,0.4024
