Epoch,Loss,TestAcc,TestAuc
1,1.5291,0.6522,0.2000
2,0.7548,0.6522,0.3917
3,0.8764,0.6522,0.4000
4,0.7920,0.6522,0.3917
5,0.7759,0.6522,0.3917
6,0.6733,0.6522,0.3833
7,1.0933,0.6522,0.3833
8,0.6549,0.6522,0.3833
9,0.6768,0.6522,0.3667
10,0.7122,0.6522,0.3667
11,0.6617,0.6522,0.3750
12,0.6902,0.6522,0.3833
13,0.6772,0.6522,0.3833
14,0.6500,0.6522,0.3917
15,0.7462,0.6522,0.3917
16,0.6514,0.6522,0.3917
17,0.6377,0.6522,0.3917
18,0.6771,0.6522,0.3917
19,0.6740,0.6522,0.4000
20,0.6717,0.6522,0.4000
21,0.6402,0.6522,0.4000
22,1.4506,0.6522,0.3833
23,0.6592,0.6522,0.3583
24,0.6624,0.6522,0.3583
25,0.6439,0.6522,0.3417
26,0.6471,0.6522,0.3500
27,0.6398,0.6522,0.3750
28,0.7096,0.6522,0.3667
29,0.6445,0.6522,0.3750
30,0.6541,0.6522,0.3833
31,0.6315,0.6522,0.4000
32,0.6114,0.6522,0.4083
33,0.6977,0.6522,0.4083
34,0.6617,0.6522,0.4000
35,0.6428,0.6522,0.3833
36,0.6264,0.6522,0.3833
37,0.6606,0.6522,0.3667
38,0.6389,0.6522,0.2250
39,0.6364,0.6522,0.3083
40,0.6471,0.6522,0.3250
41,0.6849,0.6522,0.3167
42,0.6524,0.6522,0.3083
43,0.6561,0.6522,0.3000
44,0.6467,0.6522,0.2167
45,0.6618,0.6522,0.2167
46,0.6420,0.6522,0.2750
47,0.7407,0.6522,0.4583
48,0.6323,0.6522,0.4917
49,0.6572,0.6522,0.5083
50,0.6456,0.6522,0.5083
51,0.6439,0.6522,0.5083
52,0.6416,0.6522,0.5083
53,0.6399,0.6522,0.5083
54,0.6479,0.6522,0.5000
55,0.6299,0.6522,0.5000
56,0.6488,0.6522,0.5000
57,0.6328,0.6522,0.4833
58,0.6299,0.6522,0.4833
59,0.6266,0.6522,0.4833
60,0.6551,0.6522,0.4750
61,0.6528,0.6522,0.4833
62,0.6439,0.6522,0.4833
63,0.6576,0.6522,0.4833
64,0.6408,0.6522,0.4917
65,0.6472,0.6522,0.5083
66,0.6340,0.6522,0.5250
67,0.6392,0.6522,0.5083
68,0.6480,0.6522,0.5000
69,0.6444,0.6522,0.5000
70,0.6303,0.6522,0.5083
71,0.6797,0.6522,0.5083
72,0.6397,0.6522,0.5083
73,0.6351,0.6522,0.5083
74,0.6612,0.6522,0.5083
75,0.6353,0.6522,0.5167
76,0.6239,0.6522,0.5250
77,0.6605,0.6522,0.5250
78,0.6418,0.6522,0.5250
79,0.6403,0.6522,0.5250
80,0.6511,0.6522,0.5250
81,0.6713,0.6522,0.5250
82,0.6437,0.6522,0.5083
83,0.6532,0.6522,0.5083
84,0.6395,0.6522,0.5000
85,0.6318,0.6522,0.5000
86,0.6484,0.6522,0.4833
87,0.6424,0.6522,0.4833
88,0.6289,0.6522,0.4583
89,0.6462,0.6522,0.4750
90,0.6394,0.6522,0.4833
91,0.6423,0.6522,0.4833
92,0.6393,0.6522,0.4583
93,0.6353,0.6522,0.4667
94,0.6428,0.6522,0.5167
95,0.6407,0.6522,0.5250
96,0.6354,0.6522,0.5417
97,0.6431,0.6522,0.5250
98,0.6420,0.6522,0.5167
99,0.6343,0.6522,0.5167
100,0.6325,0.6522,0.5417
