Epoch,Loss,TestAcc,TestAuc
1,1.5648,0.2727,0.5417
2,1.3196,0.2727,0.3333
3,1.0643,0.2727,0.3333
4,1.0549,0.2727,0.3333
5,1.2225,0.2727,0.3333
6,0.9077,0.2727,0.3333
7,1.1391,0.2727,0.3333
8,0.7306,0.2727,0.3333
9,0.6877,0.2727,0.3333
10,0.7716,0.2727,0.3750
11,0.9238,0.2727,0.4167
12,1.0136,0.2727,0.3333
13,0.8700,0.2727,0.3333
14,0.6456,0.2727,0.3333
15,0.8930,0.2727,0.3333
16,0.6944,0.2727,0.3333
17,0.6968,0.2727,0.3333
18,0.7034,0.2727,0.3333
19,0.6717,0.2727,0.3333
20,0.6756,0.2727,0.3333
21,0.8250,0.2727,0.3333
22,0.8564,0.2727,0.3333
23,0.6901,0.2727,0.3333
24,0.7081,0.2727,0.3333
25,0.7348,0.2727,0.3333
26,0.6520,0.2727,0.3333
27,0.7161,0.2727,0.3333
28,0.7261,0.5455,0.3333
29,0.7180,0.5455,0.3333
30,0.7454,0.2727,0.3333
31,0.6936,0.2727,0.3333
32,0.7224,0.2727,0.3333
33,0.6728,0.5455,0.3333
34,0.7108,0.5455,0.3333
35,0.6889,0.5455,0.3333
36,0.7035,0.5455,0.3333
37,0.6926,0.5455,0.2917
38,0.7993,0.5455,0.2917
39,0.6801,0.6364,0.3333
40,0.6782,0.6364,0.3333
41,0.6374,0.6364,0.3333
42,0.6764,0.6364,0.3333
43,0.6916,0.6364,0.3333
44,0.7014,0.7273,0.3333
45,0.6829,0.7273,0.3333
46,0.6960,0.7273,0.3333
47,0.7018,0.7273,0.3333
48,0.6851,0.7273,0.3333
49,0.6790,0.7273,0.3333
50,0.6755,0.7273,0.3333
51,0.6957,0.7273,0.4167
52,0.7445,0.7273,0.4167
53,0.6967,0.7273,0.3750
54,0.6750,0.7273,0.4167
55,0.6796,0.7273,0.2917
56,0.6598,0.7273,0.2917
57,0.6814,0.7273,0.3333
58,0.6994,0.7273,0.3333
59,0.7144,0.6364,0.3333
60,0.7428,0.6364,0.3333
61,0.7062,0.6364,0.3333
62,0.7121,0.6364,0.3333
63,0.6809,0.6364,0.3333
64,0.7227,0.6364,0.3333
65,0.6579,0.6364,0.3333
66,0.6872,0.5455,0.3333
67,0.7385,0.5455,0.3333
68,0.6979,0.5455,0.3333
69,0.6842,0.5455,0.3333
70,0.6930,0.5455,0.3333
71,0.6599,0.5455,0.3333
72,0.6710,0.5455,0.3333
73,0.6854,0.5455,0.3333
74,0.6979,0.5455,0.3333
75,0.6935,0.5455,0.3333
76,0.6876,0.5455,0.3333
77,0.6849,0.5455,0.3333
78,0.6800,0.5455,0.3333
79,0.7278,0.5455,0.3333
80,0.6834,0.5455,0.3333
81,0.7047,0.5455,0.3333
82,0.7146,0.5455,0.3333
83,0.7118,0.5455,0.3333
84,0.7221,0.6364,0.3333
85,0.6839,0.7273,0.3333
86,0.6864,0.7273,0.3333
87,0.6894,0.7273,0.3333
88,0.7073,0.7273,0.3333
89,0.6721,0.6364,0.3333
90,0.6888,0.5455,0.3333
91,0.6819,0.5455,0.3333
92,0.7004,0.2727,0.3333
93,0.7313,0.2727,0.3333
94,0.7054,0.2727,0.3333
95,0.6876,0.2727,0.3333
96,0.7163,0.2727,0.3333
97,0.6935,0.2727,0.3333
98,0.7017,0.2727,0.3333
99,0.6743,0.2727,0.3333
100,0.7084,0.5455,0.3333
